"source_genesymbol","target_genesymbol","interact","weight"
"PRKAR2B","AKAP5",0,-0.09106
"JPH2","CAV3",0,0.82435
"GRIN2B","PTPN5",0,0.04168
"CAV1","ESR1",0,-0.27015
"CAV1","KCNA5",0,0.1428
"CAV1","CAV2",0,0.9555
"CAV1","EDNRB",0,0.53973
"CAV1","S1PR1",0,0.63851
"PTGIS","CAV1",0,0.59219
"ACTC1","DMD",0,0.37478
"ACTA1","DMD",0,0.53145
"PGM5","DMD",0,0.48169
"KRT8","ANXA1",0,-0.33893
"FZD4","SLC9A3R1",0,-0.24531
"SV2B","SYT1",0,-0.10985
"CNR1","HCRTR1",0,0.49689
"ADORA2A","CNR1",0,-0.10869
"NUF2","NDC80",0,0.71253
"TSHB","CGA",0,-0.01992
"LTB","LTA",0,0.56285
"HIST1H2AI","IL33",0,-0.14414
"GPRASP1","PER1",0,0.78812
"USP44","PTTG1",0,-0.2765
"MCM10","MCM2",0,0.59091
"MCM10","CDC45",0,0.67203
"ARNT2","NPAS4",0,-0.03797
"SPAG5","AURKA",0,0.58988
"AOC1","AURKA",0,0.09709
"PAX2","WT1",0,0.02574
"CCNF","MYBL2",0,0.61733
"HJURP","CENPA",0,0.80141
"E2F1","CEBPA",0,-0.19977
"GINS4","MCM2",0,0.49967
"DTL","CDT1",0,0.46474
"MUC1","ESR1",0,0.20425
"EPAS1","ESR1",0,-0.29221
"FHL1","ESR1",0,-0.13026
"KLK3","FN1",0,-0.02384
"DCN","FN1",0,-0.00808
"FN1","CRP",0,-0.01829
"FN1","LRG1",0,0.04914
"COMP","FN1",0,0.48082
"GALNT6","FN1",0,0.1671
"PPARG","TNP1",0,0.04503
"GALNT15","MUC1",0,-0.22933
"ASCL1","CDK1",0,0.05332
"ACE2","CDK1",0,-0.01738
"FUT2","CDK1",0,0.17083
"NR1D1","APOA4",0,0.09801
"TSPYL2","CCNB1",0,-0.42218
"RUNX1T1","ZBTB16",0,0.59483
"NLRP7","ZBTB16",0,-0.05394
"HBEGF","ZBTB16",0,0.36668
"RNF112","ZBTB16",0,0.58507
"SOX2","TLX1",0,-0.01583
"COL17A1","KRT18",0,-0.1382
"NR4A3","SIX3",0,-0.04443
"ACTC1","SLC4A1",0,0.06866
"ACTC1","ABLIM3",0,0.14772
"ECT2","RACGAP1",0,0.7843
"UHRF1","HIST1H3J",0,0.07306
"UHRF1","EZH2",0,0.62829
"UHRF1","HIST2H3A",0,0.09208
"UHRF1","EME1",0,0.46835
"TBX2","SOX2",0,-0.05189
"RAD51","POLQ",0,0.71649
"KIF23","ACTA1",0,-0.02736
"LEF1","ALX4",0,-0.11808
"RUNX1T1","BCL6",0,0.58226
"HIST1H3J","AIRE",0,-0.03613
"ECT2","PLK4",0,0.72674
"MAD2L1","UBD",0,0.22877
"KPNA2","GATA3",0,0.03646
"CDC6","KPNA2",0,0.33456
"EBF1","PAX5",0,-0.03461
"EPAS1","F12",0,-0.24054
"ACTA1","VIL1",0,-0.00548
"ACTA1","CNN1",0,-0.01138
"PPP1R3A","PLN",0,0.94493
"GJB2","GJB3",0,0.4291
"GNAI1","RGS4",0,-0.14122
"RASD1","GNAI1",0,0.58681
"RAD51","BLM",0,0.60858
"RAD51AP1","RAD51",0,0.5944
"CDKN3","CDC25A",0,0.61548
"SPAG5","ODF1",0,-0.02853
"TENM1","SORBS1",0,0.31148
"SORBS1","INSM1",0,-0.05136
"FGF2","DCN",0,0.45749
"GPC3","FGF2",0,0.3761
"CCNE1","HIST1H1B",0,0.02443
"CTSE","INS",0,0.01598
"CRYAB","AVP",0,0.26905
"SCN5A","CRYAB",0,0.26536
"HBEGF","BCL6",0,0.44526
"TBX2","NKX2-5",0,0.07181
"ADM","MME",0,0.15201
"PTK6","ERBB2",0,0.19489
"ITGA7","CHRNA1",0,-0.02326
"PLA2G2A","DCN",0,0.21298
"OPRD1","ADRB2",0,-0.10189
"HTR4","ADRB2",0,0.36748
"ADRB3","ADRB2",0,0.35311
"AKAP12","ADRB2",0,0.69756
"ESR2","OXT",0,0.42301
"FHL1","KCNA5",0,0.07391
"ADAMTS5","MMP13",0,-0.07611
"BGN","COL2A1",0,0.23015
"BGN","APOB",0,-0.09479
"KCNA5","KCNA2",0,0.10507
"FOXP3","HIST1H1B",0,-0.02773
"GPLD1","ALPP",0,-0.02178
"APCS","CRP",0,0.99993
"KCNA4","KCNA2",0,0.23256
"ASCL1","BMP2",0,-0.08723
"HBB","HBZ",0,0.18209
"HBA1","HBB",0,0.8829
"HBA1","CPM",0,0.24452
"HBA1","HBG2",0,0.51262
"DEFA5","PRSS1",0,0.01201
"SERPINF2","PRSS1",0,0.12992
"KCNJ3","KCNJ6",0,0.13153
"CNTNAP2","KCNA2",0,-0.11162
"KCNAB1","KCNA2",0,0.48135
"TRIP13","ORC1",0,0.70375
"PRPH","LMNB1",0,-0.06125
"KCNG1","KCNB1",0,0.11792
"KCNG3","KCNB1",0,-0.08665
"APCS","TG",0,0.03402
"HBG2","HBB",0,0.37546
"COL2A1","CHAD",0,-0.03445
"COMP","COL2A1",0,-0.01823
"NELL2","ROBO3",0,-0.12662
"LIPE","FABP4",0,0.8501
"MYOM2","CKM",0,0.92616
"RAB26","ADRA2B",0,-0.19403
"CD209","CLEC4M",0,0.19092
"CEACAM6","CEACAM8",0,-0.01586
"COL17A1","LAD1",0,0.03195
"F7","HPN",0,0.23783
"MYOC","MYL2",0,0.00989
"MYOC","OLFM3",0,-0.00966
"C4BPA","APCS",0,0.23731
"RPE65","RBP4",0,-0.01543
"KCNJ16","KCNJ10",0,-0.03122
"TRDN","HRC",0,0.97788
"SKA1","SKA3",0,0.71955
"KIF15","MKI67",0,0.80095
"TRDN","CASQ2",0,0.87396
"LHX9","LDB2",0,-0.05366
"NEURL2","MYH3",0,0.45803
