"source_genesymbol","target_genesymbol","interact","weight"
"NTRK2","UCHL1",0,0.33711
"KRT8","ANXA1",0,-0.44508
"PDZD3","CFTR",0,0.21681
"ELANE","SERPINA1",0,-0.11717
"F5","ELANE",0,-0.10639
"RUNX3","MYCN",0,0.37426
"PAX2","WT1",0,0.03378
"PAX2","LMX1B",0,0.09156
"FN1","CRP",0,0.04048
"LOX","FN1",0,0.42864
"MIA","FN1",0,-0.0337
"GALNT6","FN1",0,0.04587
"RSC1A1","ODC1",0,0.36797
"USH1C","ANKS4B",0,0.87891
"IFIT2","KRT18",0,0.06524
"TRIM63","MYBPC3",0,0.16745
"MYOZ1","TRIM63",0,0.1505
"IGFBP3","ADAM12",0,0.33933
"HIST1H1A","CCNA1",0,0.03794
"MUC6","TFF1",0,0.23564
"ACTN2","KCNA5",0,0.28063
"ACTN2","ADAM12",0,-0.06932
"TTLL6","MAPT",0,-0.23222
"SOX4","GATA3",0,0.10544
"ACTA1","VIL1",0,-0.09388
"ACTA1","CNN1",0,0.03108
"ACTA1","GC",0,-0.01447
"ACTA1","SPRR1A",0,0.07088
"MMP15","PROC",0,0.30251
"LUM","COL1A2",0,0.8077
"DPP4","CCL5",0,0.01537
"PRG2","CSF2",0,-0.16281
"GATA6","NKX2-1",0,0.04046
"TP53I3","GPX3",0,0.55875
"NEB","DES",0,-0.06406
"ALOX12","ITGB4",0,-0.25966
"CFTR","KRT8",0,0.55335
"PROX1","HNF1A",0,0.46241
"HNF4A","HNF1A",0,0.83838
"CDX2","HNF1A",0,0.70558
"MME","GAST",0,0.01705
"PROX1","NR5A2",0,0.20916
"ITGA7","CHRNA1",0,-0.16831
"PLEKHB1","GNGT1",0,0.15716
"ABCC2","PDZK1",0,0.22449
"S100A9","S100A8",0,0.93283
"PDZK1","CFTR",0,0.25302
"ANO1","CFTR",0,-0.00803
"FCGR2A","CRP",0,0.02834
"FHL1","KCNA5",0,0.44632
"BGN","COL2A1",0,-0.01007
"BGN","APOB",0,-0.01525
"F5","CTSG",0,-0.10658
"RAB3B","PIGR",0,0.01061
"FCN2","CRP",0,-0.01701
"CFHR4","CRP",0,0.25783
"TF","GAST",0,0.16874
"GP6","FCGR3A",0,-0.23588
"FCGR3A","IGHG1",0,0.30966
"HBB","HBZ",0,0.15289
"ONECUT1","NR0B2",0,0.41049
"HNF4A","FOXO6",0,0.08129
"NR0B1","HNF4A",0,-0.06434
"TGM1","MDK",0,-0.42304
"CCL19","CXCL13",0,0.41173
"PRG2","AGT",0,-0.09819
"EDN3","CTSE",0,-0.18527
"PDX1","IAPP",0,-0.04473
"KCNJ3","KCNJ6",0,0.1989
"DPT","LOX",0,-0.12482
"KIR2DL4","FCER1G",0,0.47481
"GP6","FCER1G",0,-0.23352
"CLEC4C","FCER1G",0,0.43631
"KCNG3","KCNB1",0,-0.10464
"MAFA","PDX1",0,-0.01736
"SLURP1","PLAU",0,-0.26405
"HBG2","HBB",0,0.59998
"TGFBI","COL2A1",0,-0.00781
"MMP7","SERPINA1",0,0.23305
"CTRB1","SERPINA1",0,-0.0817
"MEP1B","TNC",0,-0.04649
"MFAP2","FBN2",0,0.24161
"MYOC","MYL2",0,0.08833
"MYOC","OLFM3",0,0.01549
"SLC40A1","HAMP",0,0.16127
"PDX1","SLC2A2",0,0.15975
"SLC7A11","BAAT",0,0.01965
"RRAD","TPM2",0,0.09367
"ABCG5","ABCG8",0,0.91076
"PCDHA1","PCDHGB1",0,0.17452
"SPINK5","CASP14",0,0.0914
"LUM","ACAN",0,0.24505
"MUC16","MSLN",0,0.12523
"LOXL2","MARCKSL1",0,0.38704
"LIN28B","TRIM71",0,0.53999
"P2RX2","GABRR1",0,-0.20239
"ALX4","ALX1",0,0.186
"DAZ1","BOLL",0,0.07918
"CIDEC","CIDEA",0,-0.0587
"IGHG1","IGKC",0,0.94665
"IGLC1","IGHG1",0,0.81321
"A1CF","APOBEC1",0,0.35538
"IGLC1","IGHV3-33",0,0.83537
"MEP1B","MEP1A",0,0.38796
"DEFA3","DEFA1B",0,0.99844
"UPK3B","UPK1B",0,-0.05397
"DSPP","MMP20",0,0.07799
"LIPF","CLPS",0,-0.02312
"SCGB2A2","SCGB1D2",0,0.88157
"CTRB1","LYPD3",0,0.13373
"SYT14","SYT16",0,0.06534
"P2RX2","P2RX1",0,0.39843
"CNGB1","ABCA4",0,0.00584
"P2RX2","P2RX3",0,-0.09599
"NTRK2","ITGB4",1,0.25684
"FGF4","NTRK2",1,0.0256
"FGF19","NTRK2",1,0.08895
"UCHL1","NTRK2",0,0.33711
"ANXA1","KRT8",0,-0.44508
"SYT1","CACNA1E",1,0.12231
"CFTR","PDZD3",0,0.21681
"GUCY2C","PDZD3",0,0.38428
"PDZD3","GUCY2C",0,0.38428
"CNR1","PPP1R1B",0,-0.10859
"MET","CNR1",0,-0.24735
"STAT1","IRF8",1,0.25286
"SHH","GLI2",1,0.00972
"LRP2","SHH",1,0.11784
"SHH","LRP2",0,0.11784
"DISP2","SHH",1,0.32918
"SHH","GPC5",0,0.03394
"SERPINE1","ELANE",-1,-0.13154
"SERPINA1","ELANE",0,-0.11717
"ELANE","F5",0,-0.10639
"MYCN","RUNX3",0,0.37426
"GLI2","GLI1",1,0.6481
"ZIC1","GLI1",1,0.26759
"GLI1","ZIC2",0,0.27451
"PRKCG","TOP2A",1,0.15269
"ISG15","TOP2A",0,0.14012
"SIX1","PAX2",1,0.05086
"WT1","PAX2",0,0.03378
"LMX1B","PAX2",0,0.09156
"IFNG","STAT1",1,0.63924
"IFNG","PSMB9",0,0.66503
"CXCL11","CXCR3",1,0.51455
"CXCR3","CXCL11",0,0.51455
"DPP4","CXCL11",1,0.05965
"WNT2","FZD2",1,0.3875
"NTS","PPP1R1B",0,-0.02136
"DRD1","PPP1R1B",0,0.12044
"PPP1R1B","ADD2",0,-0.05784
"MET","ITGB4",1,0.49089
"ITGB4","MET",0,0.49089
"FGF4","MET",1,0.00033
"MET","PTPRJ",0,0.31875
"EFNA2","MET",1,0.22803
"FGF23","MET",1,0.0421
"FGF20","MET",1,0.07228
"FGF19","MET",1,0.03509
"ISG15","IFIT1",0,0.75379
"COL1A1","FN1",0,0.59801
"COL1A1","ITGA11",1,0.76484
"SIX1","OTX2",1,0.21698
"FOXA2","OTX2",-1,-0.00139
"DMBX1","OTX2",-1,-0.0174
"VCAN","CCL8",0,0.1997
"CCL8","VCAN",0,0.1997
"CXCL10","VCAN",0,0.12027
"VCAN","ITGA4",0,0.61751
"VCAN","CCL20",0,0.0601
"CCL20","VCAN",0,0.0601
"PF4","VCAN",0,0.09517
"VCAN","PF4",0,0.09517
"FN1","MMP9",1,0.2479
"COL1A2","FN1",0,0.64826
"FN1","ITGA4",1,0.4367
"ITGA4","FN1",0,0.4367
"FN1","PLAUR",0,0.15403
"CRP","FN1",0,0.04048
"FN1","LOX",0,0.42864
"FN1","TNFRSF11B",0,0.05337
"FN1","COL2A1",0,0.05737
"FN1","NT5E",0,0.18608
"FN1","MIA",0,-0.0337
"FN1","GALNT6",0,0.04587
"GLI2","ZIC2",0,0.38192
"PIM1","RUNX3",0,-0.319
"PIM1","FOXO6",-1,-0.25347
"PIM1","PTPRO",0,-0.12201
"ODC1","RSC1A1",0,0.36797
"EPO","GATA1",0,-0.07693
"PIK3AP1","PIK3CG",1,0.61043
"HIST2H3A","HIST1H4C",0,0.36596
"BRDT","HIST1H4C",0,0.22789
"CXCL8","MMP9",1,0.27572
"MMP9","CXCL8",0,0.27572
"MMP9","EPHB2",0,0.08041
"MMP9","CXCL6",0,0.62327
"MMP9","CXCL2",0,0.10435
"MMP9","PPBP",0,0.15342
"MMP9","CXCL5",1,0.52392
"MMP9","KISS1",0,0.02975
"MMP9","COL4A1",0,0.34666
"ANKS4B","USH1C",0,0.87891
"KRT18","KRT8",0,0.92365
"KRT8","KRT18",0,0.92365
"KRT18","IFIT2",0,0.06524
"NOX1","KRT18",0,0.28119
"MYBPC3","TRIM63",0,0.16745
"TRIM63","MYOZ1",0,0.1505
"CXCR3","CXCL9",0,0.72802
"CXCL9","CXCR3",1,0.72802
"CTSG","IGFBP3",0,-0.11597
"TF","IGFBP3",-1,-0.13671
"ADAM12","IGFBP3",0,0.33933
"CCNA1","HIST1H1A",0,0.03794
"CDKN2A","CDK6",0,0.13872
"CDK6","CDKN2A",0,0.13872
"CDKN2A","CDKN2A",0,1
"CDKN2A","CDKN2A",0,1
"MMP13","CXCL8",0,0.01669
"PIGR","CXCL8",0,0.07566
"MMP8","CXCL8",0,0.28887
"CXCR2","CXCL8",0,-0.22639
"MMP1","CXCL8",0,0.30587
"CXCL8","ACKR1",0,-0.17439
"TFF1","FCRL4",0,0.02716
"TFF1","MUC6",0,0.23564
"ISG15","STAT1",0,0.61166
"STAT1","ISG15",1,0.61166
"SERPINE1","STAT1",0,0.43503
"EIF2AK2","STAT1",0,0.76521
"IL11","STAT1",0,0.2061
"IL2RG","STAT1",1,0.31254
"TNFSF11","STAT1",0,0.31773
"FGFR4","STAT1",1,0.28038
"BST2","STAT1",0,0.71807
"RSAD2","STAT1",0,0.53907
"CDK6","CDKN2A",0,0.13872
"CDKN2A","CDK6",0,0.13872
"KCNA5","ACTN2",0,0.28063
"ADAM12","ACTN2",0,-0.06932
"PRKCG","MAPT",0,-0.20558
"PTGS2","MAPT",0,-0.19425
"F2R","MAPT",0,-0.4246
"EIF2AK2","MAPT",0,-0.52776
"PPBP","MAPT",0,-0.08921
"CRP","MAPT",0,0.01964
"SST","MAPT",0,-0.0545
"TTBK1","MAPT",-1,-0.05465
"REG1A","MAPT",0,-0.13124
"MAPT","TTLL6",0,-0.23222
"PRKCG","VTN",0,0.05474
"PRKCG","GRIN2D",0,0.34619
"PRKCG","GRM5",0,-0.01045
"PRKCG","GJA3",0,-0.06113
"ZIC1","ATOH1",-1,-0.0166
"SIX1","GATA3",1,0.03848
"GATA3","SOX4",0,0.10544
"ISG15","ACTA1",0,-0.08339
"ISG15","EIF2AK2",0,0.57872
"ISG15","IFIT3",0,0.78469
"ISG15","KRT2",0,-0.01785
"ISG15","IFIT2",0,0.67905
"ISG15","PLOD3",0,0.33465
"ISG15","PLS1",0,0.0876
"VIL1","ACTA1",0,-0.09388
"CNN1","ACTA1",0,0.03108
"GC","ACTA1",0,-0.01447
"SPRR1A","ACTA1",0,0.07088
"CCL8","ACKR1",0,-0.08288
"CASP5","IL1B",1,0.17852
"PROC","MMP15",0,0.30251
"EPHB2","ITGB4",1,0.23769
"FGF4","EPHB2",1,0.11986
"EFNA2","EPHB2",1,0.31621
"FGF23","EPHB2",1,0.09272
"FGF20","EPHB2",1,0.18683
"FGF19","EPHB2",1,0.24663
"PTPRO","EPHB2",0,0.44049
"SIX1","HMX3",0,0.21253
"COL1A2","LUM",0,0.8077
"CCL5","CXCR3",1,0.71319
"CCL5","DPP4",0,0.01537
"PF4","CCL5",1,0.02156
"CCL5","ACKR1",0,-0.08538
"CSF2","PRG2",0,-0.16281
"CXCL10","CXCR3",1,0.30942
"CXCR3","CXCL10",0,0.30942
"CCL20","CXCR3",1,0.17393
"PF4","CXCR3",1,0.09552
"CXCR3","PF4",0,0.09552
"CCL19","CXCR3",1,0.33142
"CCL7","CXCR3",1,0.09964
"CXCL13","CXCR3",1,0.55495
"TET1","HOXA9",1,0.27639
"SERPINE1","LRP2",0,-0.01436
"MMP3","SERPINE1",1,0.25367
"VTN","SERPINE1",-1,-0.00669
"NR0B2","NR1I2",0,0.28379
"NR1I2","HNF4A",1,0.69955
"WNT11","FZD2",1,0.15648
"SIX1","DACH1",0,0.0809
"NKX2-1","GATA6",0,0.04046
"GPX3","TP53I3",0,0.55875
"MMP1","F2R",1,0.31077
"F2R","F2RL2",0,0.68324
"DES","NEB",0,-0.06406
"ITGB4","PIK3CG",1,0.1522
"EPHB1","ITGB4",1,0.07234
"ROS1","ITGB4",1,0.2309
"ITGB4","PLAUR",0,0.38469
"ITGB4","ITGA6",0,0.754
"ITGA6","ITGB4",0,0.754
"EPHA7","ITGB4",1,0.05398
"EPHA8","ITGB4",1,0.09146
"FGFR4","ITGB4",1,0.15048
"LAMA1","ITGB4",0,0.17981
"MMP7","ITGB4",1,0.10729
"ITGB4","ALOX12",0,-0.25966
"CLCA1","ITGB4",0,-0.02947
"KRT8","CFTR",0,0.55335
"HNF1A","PROX1",0,0.46241
"HNF1A","HNF4A",0,0.83838
"HNF1A","CDX2",0,0.70558
"HNF1A","HNF1B",0,0.76649
"GATA4","NKX2-5",0,-0.04204
"NKX2-5","GATA4",0,-0.04204
"NPPA","MME",-1,-0.11507
"GAST","MME",0,0.01705
"NLRP10","IL1B",0,0.03887
"NLRP7","IL1B",0,0.12267
"IL1B","IL12RB2",1,0.13017
"SIX1","OTX1",1,0.62101
"NR5A2","PROX1",0,0.20916
"CHRNA1","ITGA7",0,-0.16831
"GNGT1","PIK3CG",1,0.09074
"GNGT1","PLEKHB1",0,0.15716
"RXRG","NR1H4",0,-0.05513
"EPHA8","PIK3CG",1,0.01837
"PIK3CG","TPM2",0,-0.12889
"PDZK1","ABCC2",0,0.22449
"CXCR2","GPRASP1",0,0.16005
"IL11","MAGEA11",0,0.09372
"MMP1","CXCL6",0,0.55501
"S100A8","S100A9",0,0.93283
"SRMS","PTK6",0,-0.22034
"INHBA","BAMBI",1,0.0978
"CFTR","PDZK1",0,0.25302
"CFTR","ANO1",0,-0.00803
"CRP","FCGR2A",0,0.02834
"KCNA5","FHL1",0,0.44632
"TDGF1","ACVR1C",0,0.07833
"ACVR1C","TDGF1",0,0.07833
"MMP13","CCL7",0,0.05777
"MMP13","COL2A1",-1,-0.00279
"EFNA2","EPHB1",1,0.08779
"FGF23","EPHB1",1,0.06811
"FGF20","EPHB1",1,0.01627
"FGF19","EPHB1",1,0.02172
"COL2A1","BGN",0,-0.01007
"APOB","BGN",0,-0.01525
"CXCR2","CXCL2",-1,-0.26982
"MMP1","CXCL2",0,0.13221
"CTSG","F5",0,-0.10658
"PIGR","RAB3B",0,0.01061
"SPP1","ITGA4",1,0.26409
"MMP8","ACAN",1,0.22284
"CMA1","MMP1",0,-0.1076
"FGF23","ROS1",1,0.20337
"FGF19","ROS1",1,0.06449
"MMP1","PPBP",0,0.12499
