"source_genesymbol","target_genesymbol","interact","weight"
"NTRK2","TRPC3",0,-0.22543
"TRPC3","SLC2A4",0,0.1562
"TRPC7","TRPC3",0,-0.10471
"ITPR2","TRPC3",0,0.18572
"TRPC3","AQP2",0,-0.23825
"GRIN2B","PTPN5",0,0.00874
"CAV1","ABCB1",0,-0.35415
"CAV1","TEK",0,-0.30971
"CAV1","CAV2",0,0.7138
"PTGIS","CAV1",0,-0.19466
"TNNC1","TNNI1",0,0.81831
"GRM1","ADORA1",0,-0.23301
"TRPV5","PDZD3",0,0.27946
"PDZD3","CFTR",0,-0.2379
"PDZD3","PTGIR",0,0.14437
"GRIN1","CDH2",0,-0.15179
"GRIN1","PLAT",0,-0.12083
"EFHC1","CACNA1E",0,0.2493
"KCND2","NCS1",0,-0.22119
"TRPV3","TRPV1",0,0.06385
"SYT4","TFAP2B",0,-0.06339
"SHH","ADCYAP1",0,-0.2331
"CXCL12","ELANE",0,0.30557
"TFPI","ELANE",0,0.4995
"ELANE","SERPINA1",0,0.56505
"ELANE","SERPINA3",0,0.57702
"PTPRJ","FLT3",0,-0.28424
"PRKCD","TOP2A",0,0.03758
"SPAG5","AURKA",0,-0.19183
"AOC1","AURKA",0,-0.41715
"ALB","CRYAA",0,0.24556
"ALB","ORM1",0,0.03801
"HGFAC","MET",0,-0.48583
"CACNA1E","HSPA1A",0,0.02291
"SLC6A4","HSPA1A",0,-0.11897
"SLC6A3","GPR37",0,-0.26992
"DLGAP2","NOS1",0,0.14856
"ZDHHC23","NOS1",0,-0.20517
"USH1C","ANKS4B",0,0.8911
"MYOZ1","TRIM63",0,0.25353
"TRIM63","TNNC1",0,0.33248
"CD22","CD19",0,0.0212
"SFN","ANPEP",0,0.13438
"MST1","KLKB1",0,0.73389
"KLK3","SERPINA3",0,-0.22774
"KLK3","SLPI",0,-0.33231
"VTN","IGF2",0,0.04623
"IGF2","PLG",0,-0.01272
"KNDC1","MAP2",0,0.15161
"SLC6A3","TPPP",0,-0.31047
"PROS1","C4BPA",0,0.35461
