"source_genesymbol","target_genesymbol","interact","weight"
"TRPC6","TRPC3",0,-0.09778
"TRPC3","SLC8A1",0,-0.06836
"TRPC3","AQP2",0,-0.08414
"DNM1","NOS3",0,-0.38156
"SLC9A3R2","PODXL",0,0.66117
"AGTR1","BDKRB2",0,0.15859
"TNNC1","TNNI1",0,0.43122
"CAV3","SLC8A1",0,0.07817
"ANK2","SLC8A1",0,0.42818
"CAV3","NOS1",0,0.01937
"ACTA1","TNNI3",0,-0.05043
"TNNC1","TNNI3",0,-0.09351
"SRCIN1","SNAP25",0,0.16761
"TRIM9","SNAP25",0,0.15867
"KCNQ1","KCNE1",0,0.37397
"MCM10","CDC45",0,0.80529
"CRYAB","CRYAA",0,-0.18223
"ALB","CRYAA",0,0.67624
"HGFAC","MET",0,0.23142
"HJURP","CENPA",0,0.86625
"DTL","CDT1",0,0.64089
"DLGAP2","NOS1",0,0.03948
"LCN2","MMP9",0,0.10394
"MMP9","PRSS2",0,-0.0306
"MYOZ1","TRIM63",0,0.0689
"TRIM63","TNNC1",0,-0.02716
"NEUROD1","GATA3",0,0.03304
"NEUROD1","PITX1",0,-0.01032
"KDR","PDGFRB",0,0.57495
"ACTA1","CNN1",0,0.14122
"ACTA1","GC",0,-0.00552
"ACTA1","DNASE1",0,0.07472
"CDKN1C","NR4A2",0,0.19838
"PPP1R3A","PLN",0,0.142
"CTSS","KNG1",0,-0.19598
"NR1I3","NR0B1",0,-0.03715
"TREM1","TYROBP",0,0.07283
"TREM2","TYROBP",0,0.91897
"CLEC5A","TYROBP",0,0.44899
"PTGIR","TBXA2R",0,0.57176
"CNTN1","PTPRB",0,0.74552
"TREM1","PGLYRP1",0,-0.00592
"DCN","C1QA",0,-0.01907
"ALB","RBP4",0,-0.07664
"CEACAM8","CEACAM1",0,0.40476
"PTX3","SELP",0,0.12666
"PTX3","PLG",0,-0.01413
"PTX3","C1QA",0,-0.02936
"ITIH4","PTX3",0,0.14021
"CNTN1","SCNN1B",0,0.62675
"ADCY1","ADCY2",0,-0.21833
"TTR","RBP4",0,-0.06571
"FCGR1A","FCGR3A",0,0.87181
"HBA1","HBB",0,0.98955
"CR2","C3",0,-0.03171
"LRRK2","EEF1A2",0,0.14882
"CCKBR","CCKAR",0,-0.0348
"CALCA","CALCA",0,1
"MASP1","C3",0,-0.01911
"KNG1","PLG",0,0.44069
"F11","KNG1",0,0.94883
"ANK1","SLC4A1",0,-0.21892
"RDM1","DRD1",0,-0.00574
"RIMS2","RAPGEF4",0,-0.3819
"APOH","LDLR",0,0.17864
"SERPINC1","PLG",0,0.66367
"PTGER3","PTGER1",0,0.50378
"ADIPOQ","C1QA",0,-0.00376
"TRIM9","DCC",0,-0.1204
"CLEC3B","PLG",0,0.34042
"APOH","PLG",0,0.75471
"C7","PLG",0,0.41432
"KLK5","DSG1",0,-0.00469
"DEFA1B","C1QB",0,0.00353
"APOH","F12",0,-0.07164
"MYOC","MYL2",0,0.04853
"MYOC","OLFM3",0,0.23883
"TRDN","HRC",0,0.22356
"TRDN","CASQ2",0,0.21535
"DAZ1","DAZL",0,0.01038
"PKNOX2","HOXB1",0,0.13173
"LHX9","LDB2",0,0.10298
"MUC16","MSLN",0,-0.00174
"CSRP3","SPTB",0,0.17635
"P2RX2","GABRR1",0,0.16721
"KCNJ9","KCNJ6",0,0.06228
"PRSS2","SLPI",0,-0.03432
"DEFA3","DEFA1B",0,0.79149
"GP2","AMY2A",0,0.38131
"CHRNA4","PSCA",0,-0.01351
"LIPF","CLPS",0,0.52528
"PNLIP","CLPS",0,0.99303
"SCUBE3","SCUBE1",0,0.55799
"BPI","PRSS2",0,0.10772
"PNLIPRP2","CLPS",0,0.98772
"CALB1","TRPV5",1,0.47995
"EGF","NTRK1",1,0.22878
"NTF3","NTRK1",1,0.40483
"FGF10","NTRK1",1,0.17416
"ANGPT1","NTRK1",1,0.24306
"FGF9","NTRK1",1,0.20129
"FGF7","NTRK1",1,0.40267
"FGF1","NTRK1",1,0.7426
"FGF5","NTRK1",1,0.23888
"LPA","NTRK1",0,0.38612
"TNNI1","PKD2L1",-1,-0.12848
"TNNI3","PKD2L1",-1,-0.03251
"TRPC3","TRPC6",0,-0.09778
"SLC8A1","TRPC3",0,-0.06836
"WNK4","TRPC3",-1,-0.08349
"AQP2","TRPC3",0,-0.08414
"DNM1","GRM1",0,-0.20898
"NOS3","DNM1",0,-0.38156
"DNM1","AMPH",0,-0.12087
"DNM1","SH3GL3",0,-0.07634
"TRPM6","HIST1H2AI",0,-0.04138
"PDGFRB","SLC9A3R2",0,0.61778
"SLC9A3R2","ATP2B2",0,-0.13587
"PODXL","SLC9A3R2",0,0.66117
"NPHS1","TRPC6",1,0.4105
"NPHS1","NPHS2",0,0.91972
"PRKCG","CASR",0,-0.10002
"NPHS2","TRPC6",1,0.44517
"BDKRB2","AGTR1",0,0.15859
"AGTR1","GNA14",1,0.65035
"TNNI1","TNNC1",0,0.43122
"PRKCG","ANXA1",1,0.05052
"ANXA1","ERBB4",0,-0.39532
"TRPV6","TRPV5",1,0.37521
"TRPV5","TRPV6",1,0.37521
"SLC8A1","CAV3",0,0.07817
"SLC8A1","ANK2",0,0.42818
"NOS1","CAV3",0,0.01937
"TNNI3","ACTA1",0,-0.05043
"TNNI3","TNNC1",0,-0.09351
"SNAP25","SRCIN1",0,0.16761
"SNAP25","TRIM9",0,0.15867
"WNK4","CLDN1",0,-0.24195
"WNK4","CLDN3",0,-0.28444
"WNK4","KLHL3",0,0.40033
"CGA","NOS3",0,0.40447
"EGF","NOS3",0,0.47782
"EPO","NOS3",0,0.28222
"PRKCG","NOS3",-1,-0.1317
"KDR","NOS3",1,0.60156
"ANGPT1","NOS3",0,0.40939
"UCN2","NOS3",0,0.30078
"VIP","NOS3",0,0.55815
"ADIPOQ","NOS3",1,0.0808
"ITLN1","NOS3",0,0.24809
"WNT5A","AQP2",0,-0.18231
"TNFSF9","TNFRSF9",1,0.19334
"TNFRSF9","TNFSF9",0,0.19334
"KCNE1","KCNQ1",0,0.37397
"PKMYT1","MYCN",0,-0.10716
"CDC45","MCM10",0,0.80529
"UHRF1","TOP2A",1,0.71369
"CRYAA","CRYAB",0,-0.18223
"CRYAA","ALB",0,0.67624
"BIRC5","AURKB",1,0.8115
"MET","PTPRB",0,-0.45359
"PTPRB","MET",-1,-0.45359
"DCN","MET",0,-0.33932
"MET","PLCG2",0,-0.08428
"EREG","MET",1,0.46091
"MET","HGFAC",0,0.23142
"MET","MUC20",0,-0.10716
"MUC20","MET",0,-0.10716
"TIMP3","MMP9",-1,-0.08022
"TIMP3","KDR",0,0.58465
"KDR","TIMP3",0,0.58465
"TIMP3","AGTR2",0,0.34889
"E2F1","MYBL2",0,0.6864
"CENPA","AURKB",1,0.78983
