"source_genesymbol","target_genesymbol","interact","weight"
"NUF2","NDC80",0,0.84658
"CXCL12","ELANE",0,0.06138
"BUB1B","TP73",0,0.41158
"MCM10","MCM2",0,0.79221
"MCM10","CDC45",0,0.75923
"SIX3","GMNN",0,0.29387
"HJURP","CENPA",0,0.83247
"DTL","CDT1",0,0.51609
"IDO1","SOCS3",0,-0.05087
"FUT2","CDK1",0,0.31692
"LCN2","MMP9",0,0.05966
"MMP9","PRSS2",0,-0.00265
"UHRF1","EME1",0,0.50809
"KIF23","ACTA1",0,-0.14162
"MAD2L1","UBD",0,0.23592
"ACTA1","SPRR1A",0,0.06487
"CAMP","PGC",0,-0.03423
"LCN2","HGF",0,-0.05799
"RAD51","BLM",0,0.64599
"RAD51AP1","RAD51",0,0.73759
"CDKN3","CDC25A",0,0.66187
"CCNE1","HIST1H1B",0,0.07059
"FCN2","CRP",0,0.32289
"PRTN3","CXCL14",0,0.04917
"HBA1","HBB",0,0.96453
"HBA1","HBG2",0,0.57692
"CALCA","CALCA",0,1
"GNAZ","RGS20",0,0.0938
"GNAO1","GRM6",0,0.00979
"NCAPH","CAPG",0,0.35892
"TRIP13","ORC1",0,0.66355
"MAFA","PDX1",0,-0.00454
"RHAG","SLC4A1",0,0.88531
"HBG2","HBB",0,0.55356
"COMP","COL2A1",0,-0.00376
"MS4A3","CDKN3",0,-0.12327
"ADIPOQ","CDH13",0,0.0448
"COMP","COL9A1",0,0.10372
"MMP12","LPA",0,-0.0986
"SKA1","SKA3",0,0.72915
"SHCBP1","TRIM71",0,0.10462
"MYH2","AMPD1",0,0.29152
"KIF15","MKI67",0,0.7512
"ECM1","COMP",0,-0.0169
"CHRNA3","CHRNB4",0,0.19024
"CKB","CKM",0,-0.05637
"SPC25","SPC24",0,0.72886
"DEFA3","DEFA1B",0,0.85036
"COMP","MATN3",0,-0.01989
"CALML5","TGM3",0,-0.14625
"LIPF","CLPS",0,-0.00157
"SCGB2A2","SCGB1D2",0,0.34755
"PNLIP","CLPS",0,0.02502
"PNLIPRP2","CLPS",0,0.01352
"TIMD4","HAVCR1",1,0.00482
"EGF","STMN1",0,0.11012
"CDK1","STMN1",1,0.74943
"AURKB","STMN1",1,0.56547
"HGF","STMN1",0,-0.16914
"WNK4","STK39",0,0.07703
"WNK4","CLDN4",0,0.09304
"MAP3K15","WNK4",0,0.12189
"CNR1","GNAZ",1,0.05525
"E2F7","E2F8",0,0.79519
"AURKA","NDC80",0,0.57586
"AURKB","NDC80",0,0.61466
"NEK2","NDC80",1,0.82304
"NDC80","NUF2",0,0.84658
"CDK1","FOXM1",1,0.82855
"FOXM1","CDK1",1,0.82855
"CCNB1","FOXM1",1,0.75452
"FOXM1","CCNB1",1,0.75452
"FOXM1","CDC25C",1,0.65351
"FOXM1","AURKB",0,0.61044
"PLK1","FOXM1",1,0.85575
"FOXM1","PLK1",0,0.85575
"FOXM1","CDC25A",1,0.6238
"CCNE1","FOXM1",1,0.16372
"FOXM1","CENPF",1,0.81591
"ASF1B","CHAF1B",1,0.70295
"ELANE","CDC25C",0,-0.08451
"ELANE","CXCL12",0,0.06138
"ELANE","SERPINE1",1,0.10588
"ELANE","CSF3R",1,0.17886
"MYCN","MCM2",1,0.15572
"CDK1","MYCN",0,0.25583
"CCNB1","MYCN",0,0.25712
"PKMYT1","MYCN",0,0.0337
"AURKA","TP73",0,0.34305
"CDK1","TP73",0,0.38967
"PLK1","TP73",0,0.43455
"E2F1","TP73",1,0.48578
"TP73","BUB1B",0,0.41158
"REN","TP73",0,0.05649
"CDC20","PTTG1",0,0.82989
"CDK1","PTTG1",1,0.67609
"E2F1","PTTG1",1,0.51143
"BUB1B","PTTG1",1,0.59257
"AURKA","CDC20",0,0.5045
"CDK1","CDC20",0,0.74818
"CCNB1","CDC20",0,0.85591
"BUB1","CDC20",0,0.76717
"CDC20","BUB1",0,0.76717
"CDC20","MAD2L1",0,0.7197
"PLK1","CDC20",0,0.83022
"E2F1","CDC20",0,0.46535
"BUB1B","CDC20",0,0.75907
"CDC20","BUB1B",0,0.75907
"UBE2C","CDC20",0,0.80358
"CDC20","UBE2C",1,0.80358
"MCM2","MCM10",0,0.79221
"CDC45","MCM10",0,0.75923
"CDK1","TOP2A",0,0.86771
"UHRF1","TOP2A",1,0.72302
"PLK1","TOP2A",1,0.79807
"AURKA","GMNN",0,0.33366
"GMNN","SIX3",0,0.29387
"AURKA","CENPA",1,0.51245
"AURKA","ESR1",0,-0.40584
"AURKA","TPX2",1,0.60754
"TPX2","AURKA",1,0.60754
"AURKA","KIF2C",0,0.54555
"AURKA","KIF11",1,0.53408
"AURKA","AURKB",0,0.49141
"AURKA","PLK1",1,0.55395
"AURKA","DLGAP5",1,0.52327
"AURKA","KIF15",0,0.56321
"CDK1","BIRC5",1,0.67005
"BIRC5","CCNB1",0,0.74567
