"source_genesymbol","target_genesymbol","interact","weight"
"TRPC3","SLC2A4",0,0.41735
"JPH2","CAV3",0,0.61261
"TRPC4","TRPC3",0,0.33213
"CAV1","IGFBP3",0,-0.22496
"CAV1","KCNA5",0,0.23222
"CAV1","TEK",0,0.63299
"CAV1","EDNRB",0,0.66598
"CAV1","S1PR1",0,0.52145
"PI4K2B","CASR",0,0.02435
"CDC20","CDH1",0,0.33074
"HIST1H3J","CDH1",0,0.03523
"RRM2","CDH1",0,0.35968
"SIX1","CDH1",0,0.3855
"GRIN1","CDH2",0,0.04314
"GRIN1","NEFL",0,0.04599
"NUF2","NDC80",0,0.73239
"TSHB","CGA",0,-0.01562
"ELANE","TGFA",0,-0.13532
"ELN","ELANE",0,0.17826
"MCM10","MCM2",0,0.75749
"MCM10","CDC45",0,0.77334
"SPAG5","AURKA",0,0.741
"AOC1","AURKA",0,0.13823
"PLA2G4A","MYBL2",0,0.17087
"CCNF","MYBL2",0,0.75312
"HJURP","CENPA",0,0.8387
"GINS4","MCM2",0,0.70701
"DTL","CDT1",0,0.788
"ASCL1","CDK1",0,0.20939
"ACE2","CDK1",0,-0.00959
"FUT2","CDK1",0,0.22513
"SLC6A3","GPR37",0,0.03937
"USH1C","CDH23",0,-0.1295
"TSPYL2","CCNB1",0,-0.39708
"ZBTB16","GATA1",0,0.42754
"RNF112","ZBTB16",0,0.54564
"SOX2","TLX1",0,0.11446
"USH1C","ANKS4B",0,0.64844
"COL17A1","KRT18",0,0.13924
"NR4A3","SIX3",0,-0.06104
"ACTC1","SLC4A1",0,0.04398
"SCIN","ACTC1",0,-0.05807
"UHRF1","HIST1H3J",0,0.06809
"UHRF1","HIST2H3A",0,0.13132
"IGFBP3","ADAM12",0,0.28935
"TBX2","SOX2",0,-0.23456
"MUC6","TFF1",0,0.13213
"RAD51","POLQ",0,0.69075
"KIF23","ACTA1",0,-0.12827
"ACTN2","KCNA5",0,0.67149
"ACTN2","ADAM12",0,-0.24251
"NEUROD1","PITX1",0,0.02664
"ECT2","PLK4",0,0.7091
"MAD2L1","UBD",0,0.28772
"RGCC","PLK1",0,-0.45081
"CDC6","KPNA2",0,0.77447
"KPNA2","SLC2A2",0,0.03644
"EPAS1","F12",0,-0.35363
"ACTA1","VIL1",0,-0.10004
"NEXN","ACTA1",0,0.23205
"ACTA1","SPTA1",0,0.08957
"ACTA1","CNN1",0,0.329
"ACTA1","SPRR1A",0,-0.03701
"EGLN3","ADRB2",0,-0.22643
"GJB2","GJB3",0,0.43242
"KLF9","PGR",0,0.61801
"RAD51AP1","RAD51",0,0.80953
"BCL2L14","MELK",0,0.13749
"CDKN3","CDC25A",0,0.58266
"SORBS1","INSM1",0,-0.06857
"TWIST1","HOXA5",0,-0.1624
"GPC3","FGF2",0,0.51159
"FCAR","CD79A",0,-0.16237
"CD79A","IGHM",0,0.51395
"CD79A","AMBP",0,0.0355
"MPO","CP",0,-0.13443
"SERPINE1","F2",0,-0.02661
"CCNE1","HIST1H1B",0,0.08971
"THBS1","KNG1",0,-0.03791
"THBS1","FGA",0,-0.07318
"THBS1","F2",0,-0.04353
"ALOX12","ITGB4",0,-0.13423
"HNF4A","HNF1A",0,0.5688
"CDX2","HNF1A",0,0.49572
"ADM","MME",0,0.32758
"SIX1","EYA2",0,0.25473
"ITGA7","CHRNA1",0,-0.08692
"OPRD1","ADRB2",0,-0.18522
"FHL1","KCNA5",0,0.536
"ATP1B1","SLC4A1",0,-0.14224
"FOXP3","HIST1H1B",0,-0.02507
"AGER","S100P",0,-0.18427
"NEFH","NEFL",0,0.34252
"LCAT","A2M",0,0.73104
"PAEP","A2M",0,-0.16539
"AMBP","A2M",0,-0.07585
"CTSE","A2M",0,-0.19801
"GRIA1","CXCR2",0,0.41701
"PRTN3","ELN",0,0.18373
"PRTN3","CXCL14",0,-0.06556
"HBB","HBZ",0,0.28473
"HBA1","HBB",0,0.97223
"HBA1","HBG2",0,0.5576
"HNF4A","FOXO6",0,-0.00069
"NR0B1","HNF4A",0,0.17426
"TGM1","MDK",0,-0.21643
"ST14","F2RL1",0,0.34894
"CALCRL","RAMP2",0,0.76585
"CALCA","CALCA",0,1
"CALCRL","RAMP3",0,0.77686
"NPR1","MSI1",0,-0.20002
"HABP2","KNG1",0,0.09735
"SPTA1","SPTBN2",0,-0.12492
"TNR","NFASC",0,0.37232
"RIMS2","RAPGEF4",0,-0.06878
"HECW1","RNF43",0,0.33193
"TRIP13","ORC1",0,0.6996
"ST14","CDCP1",0,0.40257
"RHAG","SLC4A1",0,0.60363
"PROC","CP",0,0.03642
"HBG2","HBB",0,0.5327
"GRIK4","GRIK2",0,-0.2088
"MMP12","ELN",0,-0.24749
"GPM6B","SLC6A4",0,0.52676
"MS4A3","CDKN3",0,-0.15728
"FBLN1","FGB",0,-0.12311
"ADIPOQ","CDH13",0,0.15421
"PCSK1N","PCSK1",0,0.16989
"COL17A1","LAD1",0,0.39707
"MYOC","MYL2",0,0.22376
"ADAM2","CLGN",0,0.22158
"SLC7A11","BAAT",0,0.01572
"SKA1","SKA3",0,0.79683
"KIF15","MKI67",0,0.77122
"ANKRD1","CASQ2",0,0.12795
"DAZ1","DAZL",0,-0.00245
"SPTB","SPTA1",0,-0.01066
"MUC16","MSLN",0,0.04697
"HTR3A","HTR3B",0,0.02185
"CSRP3","SPTB",0,-0.06321
"GABRR2","GABRR1",0,-0.0118
"P2RX2","GABRR1",0,-0.05427
"TFF3","MUC3A",0,0.19726
"SPC25","SPC24",0,0.76099
"IGHG1","IGKC",0,0.88593
"IGLC1","IGHG1",0,0.77329
"IGHG1","IGLV2-8",0,0.57145
"IGHG1","FCGR3B",0,-0.15284
"IGLC1","IGHV3-33",0,0.55789
"IGLC1","IGLV2-8",0,0.46495
"NGB","ATP1B2",0,-0.08247
"DEFA3","DEFA1B",0,0.81217
"UPK3B","UPK1B",0,0.03747
"PGLYRP3","PGLYRP4",0,0.54117
"CHRNA4","PSCA",0,-0.03707
"LIPF","CLPS",0,0.01164
"CTRB1","LYPD3",0,-0.05777
"PNLIP","CLPS",0,0.93218
"SCUBE3","SCUBE1",0,-0.22822
"SYT14","SYT16",0,0.02175
"P2RX2","P2RX1",0,0.45304
"CNGB1","ABCA4",0,0.05769
"CHRNB4","CHRNA5",0,0.22672
"BPI","PRSS2",0,-0.02405
"PNLIPRP2","CLPS",0,0.85961
"RYR2","CACNA1C",0,0.62774
"CAMK2A","RYR2",1,0.46303
"TG","RYR2",0,0.07145
"SLC2A4","TRPC3",0,0.41735
"CAV3","JPH2",0,0.61261
"TRPC3","TRPC4",0,0.33213
"IGFBP3","CAV1",0,-0.22496
"ITGB4","CAV1",0,-0.21578
"CAV1","ACVRL1",0,0.46948
"KCNA5","CAV1",0,0.23222
"GRK5","CAV1",0,0.5228
"TEK","CAV1",0,0.63299
"FLT4","CAV1",0,0.3574
"BMX","CAV1",0,0.03651
"EDNRB","CAV1",0,0.66598
"S1PR1","CAV1",0,0.52145
"GRK1","CAV1",0,-0.14274
"CASR","PI4K2B",0,0.02435
"GRK5","AGTR1",0,0.54067
"CDH1","CDC20",0,0.33074
"MET","CDH1",1,0.40341
"CDK1","CDH1",0,0.27476
"CDH1","HIST1H3J",0,0.03523
"PLK1","CDH1",0,0.35025
"CDH1","RRM2",0,0.35968
"CDH1","SIX1",0,0.3855
"CSNK1A1L","CDH1",0,-0.31568
"CDH1","CDH3",0,0.54151
"CDH3","CDH1",0,0.54151
"CAMK2A","GRIN1",0,-0.16203
"CIT","GRIN1",0,0.10836
"EPHB2","GRIN1",0,0.10641
"PRKCE","GRIN1",0,-0.19018
"CDH2","GRIN1",0,0.04314
"NEFL","GRIN1",0,0.04599
"GRIN1","GRIN2A",0,-0.01892
"E2F7","E2F8",0,0.53125
"AURKA","NDC80",0,0.67704
"AURKB","NDC80",0,0.73299
"NEK2","NDC80",1,0.75448
"NDC80","NUF2",0,0.73239
"CGA","TSHB",0,-0.01562
"CGA","CGB5",0,-0.00343
"CDK1","FOXM1",1,0.64705
"FOXM1","CDK1",1,0.64705
"CCNB1","FOXM1",1,0.72782
"FOXM1","CCNB1",1,0.72782
"FOXM1","CDC25C",1,0.67974
"FOXM1","AURKB",0,0.71118
"PLK1","FOXM1",1,0.84053
"FOXM1","PLK1",0,0.84053
"FOXM1","CDC25A",1,0.75856
"CCNE1","FOXM1",1,0.42932
"FOXM1","CENPF",1,0.74798
"ASF1B","HIST1H3J",1,0.03622
"ELANE","CDC25C",0,-0.1615
"ELANE","SERPINE1",1,0.40301
"ELANE","THBS1",1,0.45746
"ELANE","CSF3R",1,0.36007
"TGFA","ELANE",0,-0.13532
"ELANE","ELN",0,0.17826
"MYCN","MCM2",1,0.25769
"CDK1","MYCN",0,0.20168
"CCNB1","MYCN",0,0.23406
"PKMYT1","MYCN",0,0.13858
"MYCN","MCM4",1,0.28372
"CDC20","PTTG1",0,0.71115
"CDK1","PTTG1",1,0.72655
"CHEK1","PTTG1",1,0.5903
"BUB1B","PTTG1",1,0.6032
"AURKA","CDC20",0,0.69982
"CDK1","CDC20",0,0.76616
