"source_genesymbol","target_genesymbol","interact","weight"
"CHIA","EGFR",0,-0.09546
"AGER","EGFR",0,-0.15503
"STAP2","EGFR",0,0.12916
"LINGO1","EGFR",0,0.01615
"RRAD","EGFR",0,-0.11717
"IGFBP2","EGFR",0,0.09031
"NTRK2","TRPC3",0,-0.35077
"NTRK2","UCHL1",0,0.37747
"JPH2","CAV3",0,0.6297
"TRPC4","TRPC3",0,0.43975
"TRPC6","TRPC3",0,0.65535
"ELAVL4","GAP43",0,0.80628
"TRPC4","SLC9A3R2",0,0.23654
"SLC9A3R2","PODXL",0,0.65551
"TRPV4","CDH1",0,0.5361
"TRPV4","AQP4",0,-0.33846
"SSTR5","DRD2",0,-0.01007
"CDC20","CDH1",0,0.45417
"HIST1H3J","CDH1",0,0.12283
"SKP2","CDH1",0,0.44778
"RRM2","CDH1",0,0.47061
"SIX1","CDH1",0,0.46059
"NOS2","SLC9A3R1",0,0.15418
"ABCC2","SLC9A3R1",0,0.18157
"CXCR2","SLC9A3R1",0,-0.26157
"FZD4","SLC9A3R1",0,-0.48422
"SLC9A3","SLC9A3R1",0,0.17742
"RLBP1","SLC9A3R1",0,-0.02029
"SV2B","SYT1",0,0.20835
"PDZD3","PTGIR",0,0.11178
"TGM2","NME1",0,-0.43042
"S100A7","TGM2",0,-0.1004
"NUF2","NDC80",0,0.66627
"CENPH","NDC80",0,0.65316
"ASF1B","CHAF1A",0,0.67028
"SLC2A1","GAPDH",0,0.63162
"ELANE","TGFA",0,-0.16333
"ELN","ELANE",0,0.19349
"EZH2","MYCN",0,0.07129
"BUB1B","TP73",0,0.37228
"DBF4","CDK1",0,0.76655
"SCN2A","SCN4B",0,-0.11911
"GPRASP1","PER1",0,0.61831
"MCM10","MCM2",0,0.71143
"MCM10","MCM7",0,0.73584
"MCM10","CDC45",0,0.67054
"CDC25C","PCNA",0,0.71938
"CHAF1A","PCNA",0,0.62556
"HLTF","PCNA",0,0.59493
"TRAIP","PCNA",0,0.74284
"SIX3","GMNN",0,0.15426
"SPAG5","AURKA",0,0.75963
"AOC1","AURKA",0,0.12164
"PAX2","LMX1B",0,0.12749
"FOXG1","CDK1",0,0.13813
"EXO1","MSH2",0,0.70264
"LTF","CP",0,0.09132
"MUC7","LTF",0,0.24315
"CEL","LTF",0,-0.01951
"ITLN1","LTF",0,-0.03858
"TXN","COL1A1",0,-0.00189
"CCNF","MYBL2",0,0.76604
"HJURP","CENPA",0,0.78718
"MCM2","MRC1",0,-0.47207
"GINS4","MCM2",0,0.54037
"NDRG1","APOA1",0,-0.02591
"DTL","CDT1",0,0.75395
"ASCL1","CDK1",0,0.05167
"FUT2","CDK1",0,0.30485
"VANGL2","CDK1",0,0.39732
"SERPINB5","IRF6",0,0.70937
"PRSS21","SERPINB5",0,0.21549
"USH1C","CDH23",0,-0.14361
"TSPYL2","CCNB1",0,-0.50767
"RUNX1T1","ZBTB16",0,0.53063
"ZBTB16","GATA1",0,0.45441
"NLRP7","ZBTB16",0,-0.10185
"RNF112","ZBTB16",0,0.55461
"SOX2","TLX1",0,0.05681
"CAMP","GAPDH",0,-0.22385
"NR4A3","SIX3",0,-0.0913
"FSCN1","ACTC1",0,-0.1166
"ACTC1","SLC4A1",0,0.04184
"ACTC1","ABLIM3",0,0.1906
"ECT2","RACGAP1",0,0.77812
"RACGAP1","RND2",0,0.40106
"UHRF1","HIST1H3J",0,0.19949
"UHRF1","EZH2",0,0.65884
"UHRF1","HIST2H3A",0,0.33273
"UHRF1","EME1",0,0.66434
"TRIM63","MYBPC3",0,0.44378
"MYOZ1","TRIM63",0,0.35836
"TRIM63","TNNC1",0,0.27726
"MYO3A","ESPN",0,0.0961
"IGFBP3","KLKB1",0,-0.23918
"IGFBP3","GPI",0,0.40313
"IGFBP3","ADAM12",0,0.22524
"TPD52L1","SFN",0,0.42784
"TPX2","SIAH2",0,0.483
"VRK1","SOX2",0,0.49755
"TBX2","SOX2",0,-0.33596
"GKN2","TFF1",0,0.01801
"RAD51","POLQ",0,0.63714
"KIF23","ACTA1",0,-0.26715
"CHAF1A","HIST1H3J",0,0.14457
"ACTN2","KCNA5",0,0.66269
"ACTN2","ADAM12",0,-0.33189
"TP63","BRCA1",0,0.6389
"TWIST1","MYOD1",0,0.07166
"TAL1","MYB",0,-0.1444
"ECT2","PLK4",0,0.67425
"MAD2L1","UBD",0,0.33911
"SCN1A","PTPRZ1",0,-0.30378
"RRAD","NME1",0,-0.32749
"CENPH","KIF2C",0,0.7088
"TNS1","DLC1",0,0.817
"MRC1","CDC45",0,-0.44267
"SKP2","RRM2",0,0.5676
"SKP2","CCNA1",0,0.13475
"RGCC","PLK1",0,-0.61128
"FLI1","GATA1",0,0.64104
"CDC6","KPNA2",0,0.79694
"KPNA2","RAG1",0,0.36847
"FERMT2","KPNA2",0,-0.61824
"EPAS1","F12",0,-0.43828
"TGFBR3","ENG",0,0.62227
"ACTA1","VIL1",0,-0.02967
"FHOD1","ACTA1",0,0.36662
"NEXN","ACTA1",0,0.25015
"ACTA1","CNN1",0,0.32986
"ACTA1","SPRR1A",0,-0.09036
"EGLN3","SIAH2",0,0.34822
"EGLN3","ADRB2",0,-0.28938
"NPDC1","E2F1",0,-0.45934
"FBLN5","SOD3",0,0.75923
"CAMP","PGC",0,0.06028
"NR5A1","SOX9",0,0.01624
"PPP1R3A","PLN",0,0.07406
"GJB2","GJB3",0,0.54689
"KLF9","PGR",0,0.67117
"RAD51","BLM",0,0.76442
"RAD51AP1","RAD51",0,0.76101
"RAD54B","RAD51",0,0.76297
"RAD51AP2","RAD51",0,0.18779
"CDKN3","CDC25A",0,0.62927
"SORBS1","INSM1",0,-0.04904
"TWIST1","HOXA5",0,-0.27194
"FGFBP1","FGF2",0,-0.17118
"FCAR","CD79A",0,-0.14755
"MPO","CP",0,-0.09687
"TRIM31","NLRP3",0,-0.03839
"PTPN21","ERBB4",0,0.55991
"ERBB4","GABRG2",0,-0.19032
"GATA6","NKX2-1",0,0.56457
"ALOX12","ITGB4",0,0.26347
"TBX2","NKX2-5",0,-0.21541
"TBX5","NKX2-5",0,-0.22506
"SIX1","EYA2",0,0.49536
"NR5A1","PITX1",0,0.04033
"NR5A1","GATA4",0,0.0293
"LMCD1","GATA6",0,0.65025
"PTGIR","TBXA2R",0,0.55836
"NME2","TBXA2R",0,-0.4189
"CNTN1","PTPRB",0,-0.28695
"NCAPG2","TAL1",0,-0.59349
"AKAP12","ADRB2",0,0.34083
"ALB","CUBN",0,0.09524
"FABP5","S100A7",0,0.36546
"THEG","CCT5",0,0.21369
"FHL1","KCNA5",0,0.54465
"LEP","A2M",0,-0.10832
"PTX3","SELP",0,0.19609
"ITIH4","PTX3",0,0.20176
"KCND2","KCNIP1",0,-0.18079
"IL22RA1","IL20RB",0,0.34009
"AGER","TTR",0,-0.01697
"NEFH","NEFL",0,0.0376
"LCAT","A2M",0,0.73172
"PAEP","A2M",0,-0.0488
"GRIA1","CXCR2",0,0.33313
"CFHR4","CRP",0,0.07304
"PF4","APOH",0,0.0613
"CNTNAP2","CNTN1",0,0.29597
"CNTN1","PTPRZ1",0,0.35284
"TNR","CNTN1",0,-0.10561
"ART1","CAMP",0,0.11393
"PRTN3","ELN",0,0.19858
"PRTN3","CXCL14",0,-0.09872
"RTN4R","NGFR",0,0.25909
"MAG","NGFR",0,-0.09345
"TCF19","NGFR",0,0.13451
"HBB","HBZ",0,0.29388
"HBA1","HBB",0,0.97634
"HBA1","HBG2",0,0.55281
"MFAP4","SFTPD",0,0.16002
"SFTPD","UPK1A",0,-0.0366
"TGM1","MDK",0,0.03139
"ST14","F2RL1",0,0.37012
"EDAR","EDARADD",0,0.19021
"FHOD1","CR2",0,-0.08813
"LRRK2","EEF1A2",0,-0.14374
"CALCRL","RAMP2",0,0.73322
"PMCH","NPY",0,0.29843
"SSTR5","SSTR1",0,-0.20622
"CALCRL","RAMP3",0,0.72935
"ATRNL1","MC4R",0,0.05436
"ADCY10","SSTR5",0,0.00013
"NPR1","MSI1",0,-0.39579
"ADRA1B","ADRA1A",0,0.62866
"NEFH","NEFM",0,0.1593
"RIMS2","RAPGEF4",0,-0.20608
"SERPINB2","PLAU",0,0.11804
"AOC1","DAO",0,-0.00291
"EPHB3","ASCL1",0,-0.01247
"COL4A3","MFAP2",0,-0.35754
"HECW1","RNF43",0,0.23637
"TRIP13","ORC1",0,0.69862
"IGKV3-20","F8",0,-0.13987
"ST14","CDCP1",0,0.48665
"KCNG1","KCNB1",0,-0.17022
"KCNG3","KCNB1",0,-0.21414
"SLURP1","PLAU",0,0.13682
"SERPINE2","PLAU",0,0.33171
"RHAG","SLC4A1",0,0.86584
"TFAP2B","YEATS4",0,0.01165
"PROC","CP",0,0.04364
"LNX1","CXADR",0,0.33389
"HBG2","HBB",0,0.51341
"GRIK4","GRIK2",0,-0.17554
"MFAP2","ELN",0,-0.18555
"MMP12","ELN",0,-0.27033
"ELN","FCN1",0,0.24736
"MS4A3","CDKN3",0,-0.22919
"RAB26","ADRA2B",0,0.03742
"DRD5","GABRG2",0,0.00836
"KCTD1","TFAP2A",0,0.43882
"COL13A1","ITGA1",0,0.68696
"IZUMO1","CD9",0,-0.24987
"RTN4R","MAG",0,-0.15195
"PTGFRN","CD9",0,0.40027
"SCARF2","SCARF1",0,0.68652
"CLEC2A","KLRF2",0,0.23646
"APOH","F10",0,0.44201
"COL17A1","LAD1",0,0.40799
"KLK5","DSG1",0,0.56673
"MFAP2","FBN2",0,0.11294
"APOH","F12",0,-0.11824
"MYOC","MYL2",0,0.20859
"MYOC","OLFM3",0,-0.03793
"SKA1","SKA3",0,0.79887
"SHCBP1","TRIM71",0,-0.39979
"TXNIP","SCEL",0,0.44183
"KIF15","MKI67",0,0.76832
"MIS18A","OIP5",0,0.662
"RMI1","RMI2",0,0.52165
"ANKRD1","CASQ2",0,0.1428
"DAZ1","DAZL",0,0.08879
"PKNOX2","HOXB1",0,-0.12098
"SPINK5","CASP14",0,0.06661
"HTR3A","HTR3B",0,0.74255
"LIN28B","TRIM71",0,-0.03137
"GABRR2","GABRR1",0,-0.2066
"P2RX2","GABRR1",0,-0.19952
"MMRN2","CLEC14A",0,0.70371
"ALX4","ALX1",0,0.08445
"CHRNA3","CHRNB4",0,0.43119
"SPC25","SPC24",0,0.78149
"IGHG1","IGKC",0,0.9297
"IGLC1","IGHG1",0,0.85997
"IGHG1","IGLV2-8",0,0.58628
"IGHG1","FCGR3B",0,-0.13942
"REC114","MEI4",0,0.07485
"IGLC1","IGHV3-33",0,0.55832
"IGLC1","IGLV2-8",0,0.42749
"NGB","ATP1B2",0,-0.07672
"DEFA3","DEFA1B",0,0.81234
"ITIH3","SPINT2",0,-0.44121
