"source_genesymbol","target_genesymbol","interact","weight"
"NOS1","DMD",0,0.75827
"ACTA1","DMD",0,0.5963
"TGM2","ANXA1",0,0.71387
"S100A11","ANXA1",0,0.59583
"STMN2","RGS6",0,0.186
"STMN2","RGS20",0,0.08638
"ACTA1","VASP",0,-0.34592
"ACTB","TGM2",0,0.53779
"TGM2","FN1",0,0.46982
"LTBP1","TGM2",0,0.43539
"TGM2","SPARC",0,0.40988
"S100A10","ANXA2",0,0.89309
"S100A10","KCNK3",0,-0.55646
"NUF2","NDC80",0,0.79211
"ACTB","GAPDH",0,0.60548
"COTL1","ACTB",0,0.82994
"ACTB","CORO1A",0,0.36612
"ACTB","S100A11",0,0.82561
"VSNL1","ACTB",0,0.60341
"MYO1E","ACTB",0,0.77122
"RUNX2","VDR",0,0.75942
"RUNX2","MSX2",0,0.41777
"LHB","CGA",0,0.21294
"TSHB","CGA",0,0.27376
"LTB","LTA",0,0.87921
"UMOD","LTA",0,-0.26193
"SLC2A1","GAPDH",0,0.61714
"RUNX3","MYCN",0,0.08844
"USP44","PTTG1",0,-0.63411
"MCM10","CDC45",0,0.78286
"SH3KBP1","CTSB",0,0.6604
"CTSB","APOE",0,0.58448
"ACAN","CTSB",0,0.49003
"CTSB","CSTA",0,0.48079
"SPAG5","AURKA",0,0.83516
"AOC1","AURKA",0,0.47518
"SLA2","AURKA",0,0.21103
"EYA1","PAX2",0,-0.10444
"SFRP2","PAX2",0,-0.47422
"PAX2","WT1",0,-0.35783
"CXCR4","DPP4",0,0.05154
"MAP1A","ACTA1",0,-0.32484
"BGN","BMP4",0,0.40854
"MMP2","COL1A1",0,0.8953
"HJURP","CENPA",0,0.87839
"LGALS3BP","WNT4",0,0.13394
"DTL","CDT1",0,0.72148
"ARHGDIB","RAC2",0,0.89007
"SELL","VCAN",0,0.1532
"FBN1","VCAN",0,0.93154
"SELPLG","VCAN",0,0.46473
"PLA2G2A","VCAN",0,-0.02295
"MMP2","FN1",0,0.78748
"TIMD4","FN1",0,0.10628
"GZMB","FN1",0,0.21481
"LTBP1","FN1",0,0.73127
"LOX","FN1",0,0.87952
"COL7A1","FN1",0,0.46242
"COL6A2","FN1",0,0.6844
"FN1","C1QA",0,0.4363
"LPA","FN1",0,-0.41706
"MIA","FN1",0,0.21423
"IGFBP5","FN1",0,0.57327
"TNFAIP6","FN1",0,0.7503
"COMP","FN1",0,0.58504
"PPARG","HMGA1",0,0.49091
"PPARG","VDR",0,0.60361
"FUT2","CDK1",0,0.5209
"SERPINB5","COL1A2",0,0.32367
"PRSS21","SERPINB5",0,0.36971
"USH1C","CDH23",0,-0.47393
"LCN2","MMP9",0,0.16659
"MMP9","PRSS2",0,-0.39495
"USH1C","ANKS4B",0,0.63878
"PDIA2","GAPDH",0,-0.39565
"CD28","PTPRC",0,0.91625
"ECT2","RACGAP1",0,0.82968
"RACGAP1","VAV1",0,0.46808
"LTBP1","IGFBP3",0,0.63294
"IGFBP3","ADAM12",0,0.49341
"LUM","MMP14",0,0.70713
"CD22","CD19",0,0.98439
"SFN","ANPEP",0,-0.47025
"RAD51","POLQ",0,0.42485
"KIF23","ACTA1",0,-0.28969
"BACE1","MMP2",0,-0.40212
"COL7A1","MMP2",0,0.43294
"COL6A3","MMP2",0,0.91655
"LCN2","MMP2",0,0.24254
"PALLD","ACTN2",0,-0.54639
"ACTN2","ADAM12",0,-0.39003
"ITGB2","VNN2",0,0.39828
"ESM1","ITGB2",0,0.21257
"ECT2","PLK4",0,0.79494
"MAD2L1","UBD",0,0.30818
"KPNA2","GATA3",0,0.32502
"MRC1","CDC45",0,0.13125
"UBASH3B","KPNA2",0,0.58097
"KPNA2","CDA",0,0.49502
"MMP3","TIMP1",0,0.04332
"ACTA1","VAV1",0,-0.29764
"COTL1","ACTA1",0,-0.38034
"DTNA","ACTA1",0,0.45865
