"source_genesymbol","target_genesymbol","interact","weight"
"STAP2","EGFR",0,0.75568
"LINGO1","EGFR",0,-0.43289
"IL13RA2","EGFR",0,-0.16486
"RRAD","EGFR",0,0.25885
"IGFBP2","EGFR",0,-0.29178
"SLC5A1","EGFR",0,0.78114
"JPH2","CAV3",0,0.22717
"PTGFR","AGTR1",0,0.56933
"SNCA","HSPA8",0,0.62953
"CFTR","HSPA8",0,-0.50584
"STMN2","RGS6",0,0.22344
"STMN2","RGS20",0,-0.08197
"TRPM4","ABCC8",0,-0.02111
"ABCC8","CRYBB1",0,-0.02681
"KCNJ11","ABCC8",0,0.37968
"SCG3","TRPA1",0,0.07525
"CALR","MBL2",0,0.21884
"CALR","APOB",0,-0.23993
"SLC6A4","CALR",0,-0.34104
"CALR","PLAT",0,0.39911
"CALR","PRF1",0,0.32548
"CAV3","NOS1",0,0.02029
"SLC22A11","CAV3",0,-0.00894
"TNNI2","TNNT3",0,0.83757
"PDZD3","CFTR",0,0.40792
"GRIN1","CDH2",0,-0.01123
"GRIN1","PLAT",0,-0.04556
"TGM2","FN1",0,0.34477
"TGM2","NME1",0,0.2115
"NUF2","NDC80",0,0.83529
"FASLG","FN1",0,0.17604
"FASLG","MMP7",0,-0.19851
"ATF3","TP73",0,0.20071
"STAT1","ATF3",0,-0.18646
"LTB","LTA",0,0.93612
"RXRA","CTSL",0,-0.40057
"ZBTB16","RXRA",0,0.60966
"RXRA","MYOD1",0,-0.04501
"RXRA","PARP1",0,-0.60052
"SLC2A1","GAPDH",0,-0.23698
"GZMB","ELANE",0,-0.14805
"ELN","ELANE",0,0.29632
"ELANE","SERPINA1",0,-0.11186
"ELANE","SERPINA3",0,-0.08361
"BUB1B","TP73",0,-0.39149
"MCM10","CDC45",0,0.77759
"AJUBA","AURKB",0,-0.43513
"AJUBA","SLC1A2",0,0.25456
"TOP2A","JUN",0,-0.35395
"CTSB","A2M",0,0.29424
"CTSB","APOE",0,0.35037
"CTSB","CSTA",0,-0.19012
"ARNT2","NPAS4",0,-0.23445
"USP2","AURKA",0,-0.46521
"AOC1","AURKA",0,-0.36953
"SLA2","AURKA",0,0.23792
"FOXG1","CDK1",0,0.1947
"CXCR4","SDC4",0,-0.28638
"LRIG1","MET",0,-0.35772
"PARP1","KLF8",0,-0.71445
"BMP8B","BMP4",0,-0.2806
"SND1","MYBL2",0,0.60569
"HJURP","CENPA",0,0.85257
"E2F1","CEBPA",0,-0.49593
"KLF5","CEBPA",0,0.82926
"CEBPA","GATA2",0,0.42131
"LGALS3BP","WNT4",0,-0.38823
"JAG2","DLL1",0,0.6696
"TIMD4","FN1",0,0.05535
"GZMB","FN1",0,0.17732
"DCN","FN1",0,-0.27912
"FN1","CRP",0,-0.07516
"TAC1","FN1",0,-0.03119
"COL7A1","FN1",0,-0.35466
"FN1","C1QA",0,0.31217
"LPA","FN1",0,-0.14998
"MIA","FN1",0,0.24078
"LOXL3","FN1",0,0.38919
"ASCL1","CDK1",0,0.16705
"ACE2","CDK1",0,-0.19772
"FUT2","CDK1",0,-0.39943
"SERPINB5","IRF6",0,0.86741
"PRSS21","SERPINB5",0,-0.17823
"CXCL8","CTSL",0,0.2206
"CD7","CTSL",0,0.22353
"CTSL","CSTA",0,-0.22236
"CTSC","CTSL",0,0.35789
"SERPINB13","CTSL",0,-0.30313
"CDH23","MAGI1",0,0.44993
"DLGAP2","NOS1",0,0.23149
"CCL4","CXCL8",0,0.13347
"NR1D1","APOA4",0,0.01286
"GZMA","HIST1H1E",0,-0.10928
"RUNX1T1","ZBTB16",0,0.44708
"ZBTB16","TIMP1",0,-0.31829
"ZBTB16","GATA1",0,0.32587
"NLRP7","ZBTB16",0,-0.10357
"RNF112","ZBTB16",0,0.11083
"SOX2","TLX1",0,0.06473
"BTC","MMP9",0,-0.13137
"MMP9","PRSS2",0,-0.01494
"SNCA","GAPDH",0,0.45122
"ACTC1","SLC4A1",0,0.0414
"SCIN","ACTC1",0,-0.07574
"CD28","PTPRC",0,0.88462
"KLF2","FBXW7",0,0.40841
"TRIM63","MYBPC3",0,-0.18285
"TRIM63","KCNMB1",0,-0.29849
"TRIM63","TNNC1",0,0.2616
"CD22","CD19",0,0.75155
"TAT","CXCL8",0,-0.02633
"SOX2","PARP1",0,0.21013
"POU5F1","SOX2",0,-0.18169
"TBX2","SOX2",0,0.2798
"GKN2","TFF1",0,0.99992
"MUC6","TFF1",0,0.99344
"KIF23","ACTA1",0,-0.18694
"LEF1","ALX4",0,-0.03034
"RUNX1T1","BCL6",0,0.42001
"MYOD1","JUN",0,0.02622
"DACH1","JUN",0,0.27785
"MAFB","JUN",0,0.44179
"GATA2","JUN",0,0.3284
"BATF2","JUN",0,-0.28531
"NFKBIA","HOXB7",0,-0.3726
"SUMO4","NFKBIA",0,0.33777
"ITGB2","VNN2",0,0.50393
"ESM1","ITGB2",0,0.03172
"BTG2","AR",0,0.472
"CDC25A","AR",0,-0.57798
"ELF3","AR",0,0.32798
"SH3YL1","AR",0,0.67498
"HEY1","MYOD1",0,0.02585
"MAD2L1","UBD",0,0.18837
"MAD2L1BP","MAD2L1",0,0.43088
"RRAD","NME1",0,-0.25205
"NME1","MCF2",0,0.2486
"FOS","MAF",0,0.41949
"KPNA2","GATA3",0,-0.57234
"CHST9","LHCGR",0,-0.14875
"RGCC","PLK1",0,-0.36138
"ADAM19","NRG1",0,-0.05751
"CDC6","KPNA2",0,0.82229
"KPNA2","CDA",0,-0.17181
"EBF1","PAX5",0,-0.03782
"MMP3","TIMP1",0,-0.08034
"ACTA1","VAV1",0,-0.11376
"COTL1","ACTA1",0,-0.17799
"MYO10","ACTA1",0,-0.17365
"ACTA1","SPTA1",0,-0.06039
"ACTA1","CNN1",0,0.24048
"ACTA1","S100A1",0,-0.12733
"ACTA1","AIF1",0,-0.13804
"ACTA1","SPRR1A",0,0.00466
"EGLN3","ADRB2",0,0.55725
"PAWR","E2F1",0,-0.61312
"SCNN1B","SCNN1A",0,0.83594
"RORA","HR",0,0.71205
"LYZ","ELN",0,-0.11638
"CMA1","EDN2",0,0.08132
"FBXW7","KLF5",0,0.87552
"FBXW7","CEBPD",0,0.43638
"DISC1","FBXW7",0,-0.53588
"KLF9","PGR",0,0.45828
"RAD51","BLM",0,0.6921
"RAD51AP1","RAD51",0,0.66121
"RAD51AP2","RAD51",0,-0.45761
"BCL2L14","MELK",0,0.23946
"CDKN3","CDC25A",0,0.69323
"JUNB","FOS",0,0.7192
"JUNB","FOSL2",0,0.48483
"PRF1","GZMB",0,0.77057
"GRIA3","GZMB",0,-0.11179
"RAB27A","GZMB",0,0.19551
"PRG2","CSF2",0,-0.07477
"CD79A","IGHM",0,0.22144
"CD79A","JCHAIN",0,0.46824
"PARP1","BUB1B",0,0.64321
"PARP1","CTSG",0,-0.39924
"KLF5","PARP1",0,-0.66055
"RNF144A","PARP1",0,0.64737
"CST5","CTSS",0,0.08239
"ADM","EDN1",0,0.47975
"FCGR3A","CD4",0,0.68257
"KCNAB2","CD4",0,0.21984
"GATA4","FOS",0,-0.14494
"NEB","DES",0,0.8637
"S100A1","DES",0,-0.07378
"ALOX12","ITGB4",0,0.59628
"TREM1","TYROBP",0,0.07929
"TREM2","TYROBP",0,0.88713
"UGT2B7","CYP3A4",0,-0.15226
