"source_genesymbol","target_genesymbol","interact","weight"
"KCNJ11","ABCC8",0,0.81659
"ACTA1","TNNI3",0,-0.08549
"NUF2","NDC80",0,0.81655
"GZMB","ELANE",0,0.02653
"F5","ELANE",0,-0.01259
"BUB1B","TP73",0,0.38084
"GPRASP1","PER1",0,0.74078
"MCM10","MCM2",0,0.76831
"MCM10","CDC45",0,0.77969
"SPAG5","AURKA",0,0.63772
"EYA1","PAX2",0,-0.02105
"PAX2","LMX1B",0,0.10267
"MUC7","LTF",0,-0.0183
"CEL","LTF",0,-0.01161
"HGFAC","MET",0,-0.10638
"CCNF","MYBL2",0,0.71528
"HJURP","CENPA",0,0.83976
"GINS4","MCM2",0,0.75535
"DTL","CDT1",0,0.78014
"PLA2G2A","VCAN",0,0.02966
"SERPINB5","COL1A2",0,0.11039
"PRSS21","SERPINB5",0,0.19182
"TSPYL2","CCNB1",0,-0.49124
"ZBTB16","TIMP1",0,-0.22345
"RNF112","ZBTB16",0,0.55808
"LCN2","MMP9",0,0.16731
"FSCN1","ACTC1",0,-0.06981
"UHRF1","HIST1H3J",0,0.39658
"TRIM63","MYBPC3",0,0.15365
"RAD51","POLQ",0,0.7268
"KIF23","ACTA1",0,-0.30558
"BRCA1","FANCA",0,0.64988
"CENPE","FANCA",0,0.59772
"ACTN2","KCNA5",0,0.59707
"ACTN2","ADAM12",0,-0.17323
"TP63","BRCA1",0,-0.02199
"ECT2","PLK4",0,0.73643
"MAD2L1","UBD",0,0.27918
"VTN","IGF2",0,0.20544
"CDC6","KPNA2",0,0.17231
"CNTN2","CHEK1",0,-0.35823
"MMP3","TIMP1",0,0.21939
"GJB2","GJB3",0,0.50191
"RAD51","BLM",0,0.53846
"RAD51AP1","RAD51",0,0.76741
"LUM","COL1A2",0,0.78385
"CDKN3","CDC25A",0,0.60105
"GRIA3","GZMB",0,-0.18399
"CCNE1","HIST1H1B",0,0.08227
"CRYAB","CDH16",0,-0.1001
"ITGA7","CHRNA1",0,-0.24545
"SLC26A9","CFTR",0,-0.17322
"FHL1","KCNA5",0,0.79069
"BGN","COL2A1",0,-0.13149
"GCM1","DLX3",0,0.05132
"FOXP3","HIST1H1B",0,0.26609
"FCN2","CRP",0,4e-04
"SNRNP70","CRP",0,-0.01879
"APCS","CRP",0,0.86448
"FCGR1A","FCGR3A",0,0.91815
"FCGR3A","IGHG1",0,0.41757
"CCKBR","CCKAR",0,0.61328
"SAG","CHRM2",0,-0.02509
"HAND2","PHOX2A",0,0.69874
"ACHE","HAND1",0,-0.01271
"NR2E3","CRX",0,0.02667
"TRIP13","ORC1",0,0.60362
"PRPH","LMNB1",0,-0.32786
"KCNG4","KCNB1",0,-0.04737
"KCNG3","KCNB1",0,-0.09501
"GRIA3","GRIA2",0,0.29552
"APCS","TG",0,0.0051
"GRIK5","GRIK2",0,0.42353
"COL2A1","CHAD",0,0.29851
"COMP","COL2A1",0,-0.00671
