"source_genesymbol","target_genesymbol","interact","weight"
"CAMK2N1","GRIN2B",0,-0.21654
"PTGFR","AGTR1",0,0.3477
"SCG3","CHGA",0,-0.00762
"SV2B","SYT1",0,-0.13805
"S100A1","RYR1",0,0.53061
"TRDN","RYR1",0,0.30777
"CNR1","HCRTR1",0,0.51457
"ELANE","TGFA",0,-0.31249
"TFPI","ELANE",0,0.54599
"ELANE","SERPINA1",0,-0.18114
"ELANE","SERPINA3",0,0.4283
"HGFAC","MET",0,-0.2726
"DCN","FN1",0,-0.25446
"FN1","CRP",0,-0.14312
"TAC1","FN1",0,-0.11683
"SCGB1A1","FN1",0,-0.06758
"FN1","LRG1",0,0.52734
"SLC6A3","GPR37",0,-0.14987
"RUNX1T1","ZBTB16",0,0.46048
"ZBTB16","TIMP1",0,-0.27065
"RNF112","ZBTB16",0,0.45459
"LCN2","MMP9",0,0.24057
"MMP9","PRSS2",0,0.02451
"ACTC1","SLC4A1",0,0.15263
"ACTN3","ACTN2",0,0.59473
"ACTN2","ADAM12",0,0.21757
"PROS1","F10",0,-0.40211
"MMP3","TIMP1",0,-0.02359
"ACTA1","VIL1",0,-0.03398
"ACTA1","ITGA2",0,-0.04125
"ACTA1","S100A1",0,-0.04713
"ACTA1","SPRR1A",0,0.05037
"LGALS3","MMP7",0,0.3646
"GJB2","GJB3",0,0.15809
"LCN2","HGF",0,-0.19544
"PRG2","CSF2",0,-0.05993
"TENM1","SORBS1",0,-0.27394
"MPO","CP",0,0.35001
"CST5","CTSS",0,0.2705
"S100A1","DES",0,-0.20633
"TBX5","NKX2-5",0,0.18125
"TREM1","PGLYRP1",0,-0.08426
"PLA2G2A","DCN",0,0.34441
"ITIH4","PTX3",0,0.17869
"FCN2","CRP",0,0.19004
"APCS","CRP",0,0.64398
"PAX9","MSX1",0,-0.16035
"HBA1","HBB",0,0.98828
"HBA1","HBG2",0,0.40615
"LRRK2","EEF1A2",0,0.11697
"CALCA","CALCA",0,1
"GABBR1","GABBR2",0,-0.40484
"SERPINA5","FGA",0,0.06204
"SERPINF2","FGA",0,0.11254
"NFASC","DCX",0,0.24296
"SERPINB2","PLAU",0,0.35554
"EPHB3","ASCL1",0,-0.02774
"ACP5","SPP1",0,0.3686
"SLURP1","PLAU",0,-0.10145
"SERPINA5","PLAU",0,-0.18125
"RHAG","SLC4A1",0,0.28336
"SOST","LRP4",0,-0.08146
"PROC","CP",0,-0.12063
"HBG2","HBB",0,0.41912
"NELL2","ROBO3",0,-0.35804
"FBLN1","FGB",0,0.0925
"SERPINA5","FGB",0,0.06066
"HCN4","PEX5L",0,-0.09418
"MMP7","SERPINA1",0,0.23939
"KLK5","SERPINA1",0,0.07792
"PRSS2","SERPINA1",0,0.2455
"CTRB1","SERPINA1",0,-0.15013
"PCSK1N","PCSK1",0,-0.10049
"SERPINA10","F10",0,0.30102
"KLK5","DSG1",0,-0.01677
"ECM1","FBLN1",0,-0.12723
"MYOC","MYL2",0,0.07159
"HGFAC","SPINT1",0,-0.25101
"SERPINF2","F11",0,0.22292
"KCND3","DPP10",0,-0.15013
"KCND3","KCNIP2",0,0.39315
"ATP2A1","SLN",0,0.81572
"CTRB1","SERPINA3",0,0.13102
"NEGR1","NPC2",0,-0.44496
"TFF3","MUC3A",0,0.14311
