"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"A1CF","#","#",2,5.80707806451483,0.0814513890962012,0.00833105525039981,312
"ABCA4","#","#",2,2.65622210985179,0.0279675085322458,-0.083846544036127,329
"ABCC2","#","#",3,2.3340105076747,0.0423073715462048,13.6853693863871,168
"ABCG5","#","#",2,4.38781790624055,0.0573603034082045,-0.00803619290859022,316
"ABCG8","#","#",2,5.43999167666384,0.075220318934006,-0.00673038988665666,315
"ACAN","#","#",3,4.3647429254854,0.0940130596136661,13.853368892509,161
"ACKR1","#","#",6,-2.19381388257512,0.0945957441519174,6.43687985770132,223
"ACTA1","#","#",9,-5.57206502806189,0.408500742430309,15.8952336997693,11
"ACTN2","#","#",4,-2.03180166468934,0.0518569563953678,15.5172262965424,63
"ACVR1C","#","#",2,2.88786768344858,0.0318995525132105,-0.165278925454861,395
"ADAM12","#","#",4,4.56893194572942,0.137989470784369,15.4084490350485,75
"ADD2","#","#",1,2.08634318494231,0.000586948310971398,6.21582615616023,294
"AFP","#","#",2,2.55007691202365,0.0261657577810964,6.2759725548435,247
"AGR2","O95994","Oncogene",1,3.19459034391475,0.00999286205928233,6.23794336372407,263
"AGRN","#","#",2,2.26163938712475,0.0212697046597136,15.6467842738384,51
"AGT","#","#",6,3.71232581713654,0.171923218442988,16.0147325710411,4
"AHR","#","#",2,2.15767610703189,0.0195049906469087,-0.126715029274394,352
"AIM2","O14862","TS",1,2.46702479426689,0.00381786873687636,6.22342339121831,277
"AKR1C4","#","#",4,5.05545070180621,0.154506196027633,6.57775419855059,221
"ALAS2","#","#",1,-2.47704804985143,0.00390293809775148,6.22362342459754,275
"ALOX12","#","#",2,-2.8445046865571,0.0311634917792354,14.6481931118714,118
"ALX1","#","#",2,5.08179349531308,0.0691401207195373,-0.0195477172477573,318
"ALX4","#","#",2,4.39841972252262,0.0575402628490517,-0.0216269370547313,319
"ANGPT4","#","#",2,-2.02130097853844,0.0171901050446509,15.4797492798428,70
"ANK1","#","#",1,2.34735297091866,0.0028021902039756,11.8835580454529,211
"ANKS4B","#","#",2,4.35425280305345,0.0567905560139071,-0.0730732597278626,324
"ANO1","#","#",2,4.0723102137369,0.0520047505090308,12.0732042236088,207
"ANXA1","#","#",2,-2.71313114709191,0.0289335051358848,14.404303761183,134
"APOA4","#","#",2,3.01821976823759,0.0341122005791433,6.29465794038515,240
"APOB","#","#",6,3.39625164273435,0.155827712679172,15.2572398961675,88
"APOBEC1","#","#",2,4.38410161978666,0.0572972216857452,0.00536875170006086,313
"APOC2","#","#",1,3.84198560950506,0.015487434258189,13.3050812742968,188
"APOE","#","#",3,2.34471756261337,0.042579990251616,8.959502464368,220
