"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ACKR2","#","#",4,-2.45247006250117,0.0720731193996778,6.59580920436952,127
"ACP5","#","#",2,2.38227736976138,0.0253697038779681,10.886571023384,105
"ACTA1","#","#",9,-5.73461958939968,0.459021786298152,14.8732830550242,34
"ACTC1","#","#",2,-3.49737907853045,0.0460141829489075,0.020402573277235,184
"ACTN2","#","#",5,-3.02755478209475,0.121392203166109,13.1194214575906,68
"ACTN3","#","#",2,-3.83842679942316,0.0523281832600838,11.2314505628231,102
"ADAM12","#","#",4,2.27273334307042,0.0654179938386858,13.6397354148672,60
"ADAMTS4","#","#",1,-2.64474489763901,0.00574711269592756,3.19174973676045,158
"AGR2","O95994","Oncogene",1,4.551113257807,0.0233939252707344,-0.175588438190421,211
"AGTR1","#","#",2,-3.12736529149378,0.0391639182399871,-0.18154622298408,213
"ALK","Q9UM73","Oncogene",6,3.99108287340234,0.202932525002486,13.1773772356949,67
"AMPH","#","#",2,-2.52935259740035,0.0280925868535471,10.0131103033305,116
"AMY2A","#","#",2,-3.31022798982622,0.0425493539530637,0.0905052412965886,175
"ANKRD1","#","#",1,-2.58631879605035,0.00520627573820505,3.18978377468056,161
"ANXA1","#","#",1,2.23768117324203,0.00197901760972747,-0.278107221667066,265
"AOC1","#","#",1,4.41969622578004,0.0221774280911899,3.25147453286878,141
"APCS","#","#",2,-2.5807535264215,0.0290441999620727,11.8720948790357,85
"APOC2","#","#",1,2.60228005847326,0.00535402546607484,-0.245035901604262,235
"APOE","#","#",1,2.53391274714561,0.0047211650208164,-0.247193170421312,236
"ASCL1","#","#",2,-2.05489010636999,0.0193086069806846,8.59257102242849,124
"ASF1B","#","#",1,2.69253957514603,0.00618953701100871,3.19335796529265,156
"ATP2A1","#","#",2,-2.35328055960821,0.0248328702998078,-0.316349249383929,273
"BMP10","#","#",1,-2.84736779226093,0.00762274613564891,-0.299816574578942,269
"BMPR1B","#","#",2,-2.41869674637077,0.0260439554303392,-0.263190129096888,250
"C1QL1","#","#",1,3.94138662620195,0.0177498263575241,9.77604302555027,118
"C1R","#","#",1,-2.02388978517086,0,-0.269237479706965,258
"C1S","#","#",1,-2.18257538536616,0.00146891603085587,-0.264316074902852,251
"C8A","#","#",2,4.15114332948889,0.0581176729625121,-0.133851188496117,200
"C8B","#","#",2,3.18635969538442,0.0402561134423129,-0.137892855248864,202
"CACNA1S","#","#",1,-2.06479173125036,0.000378619888732409,3.17223506947591,165
"CALCA","#","#",4,-4.04701729014577,0.131114544248845,0.228595372041074,167
"CAMK2N1","#","#",2,3.20306707170866,0.0405654261069279,-0.260512192712754,247
"CCL13","#","#",2,2.4269334863176,0.0261964466372918,12.0930935231334,81
"CCL14","#","#",1,-2.03026173315602,5.89836540408343e-05,10.1443453870711,113
"CCL17","#","#",1,4.5477767255577,0.0233630397606287,13.0516056756763,71
"CCL18","#","#",2,3.01839841646646,0.0371465557400135,14.9239713177338,27
"CCL21","#","#",1,-3.14649121149313,0.0103916626924999,13.1795927466127,66
"CCL22","#","#",2,2.79374754519312,0.0329874730538339,-0.027721488008701,188
"CCL7","#","#",5,2.72913411322095,0.107580146372425,13.4834738063336,62
"CCNA1","#","#",3,2.16177414869148,0.0412984539751538,14.834065792007,37
"CCND1","P24385","Oncogene",1,2.6205385844495,0.00552304043323814,3.19093522590776,159
"CCR3","#","#",3,2.69721929213092,0.0561679308629265,3.37503125097334,136
"CCR8","#","#",3,2.85349293632815,0.0605076981930256,3.39080646360393,135
"CDC45","#","#",1,2.08099680462844,0.000528626518426355,3.17278034904954,164
"CDH2","#","#",3,4.00837727468127,0.0925791927010986,0.0416784779267444,181
"CDH4","#","#",2,4.31389297373059,0.061130744862527,0.0487285612353817,180
"CDKN2A","Q8N726/P42771","TS",8,2.72259037609779,0.182884452057348,3.83269420981249,128
"CDT1","Q9H211","Oncogene",3,2.60793239339133,0.0536884061283084,3.3660180880694,137
