hallmark,set_size,NES,pvalue,p.adjust,gene_set
MYOGENESIS,196,-2.47934454847539,0.00103092783505155,0.00558098002009153,KCNH1/MYO1C/ANKRD2/NAV2/CAV3/ENO3/PRNP/MYOZ1/MAPRE3/APOD/MYL3/ADCY9/PPFIA4/MRAS/SSPN/MYBPC3/FST/MEF2C/SORBS3/KCNH2/MEF2A/REEP1/MEF2D/SH2B1/LAMA2/PTGIS/NOS1/CSRP3/PGAM2/COL6A2/WWTR1/GADD45B/TCAP/ACTN3/CTF1/CD36/PPP1R3C/DTNA/DMD/GSN/CLU/RYR1/COX6A2/PDLIM7/CASQ2/FGF2/TAGLN/HSPB2/DES/CKM/MYL7/MYLK/CFD/COX7A1/TNNT3/MYH2/SGCG/MYH11/ACTN2/TPM2/MYH1/CASQ1/SH3BGR/SORBS1/SGCA/DMPK/EFS/SMTN/SVIL/MYH3/SCHIP1/MYL2/GNAO1/CRYAB/HRC/HSPB8/MYOM1/CACNA1H/MYH7/PYGM/LDB3/ITGA7/GPX3/NCAM1/ACTA1/FXYD1/FHL1/SPEG
MYC_TARGETS_V2,58,3.06755676526657,0.00156494522691706,0.00558098002009153,CBX3/SORD/EXOSC5/WDR43/TMEM97/CDK4/BYSL/RRP9/MCM4/PRMT3/RRP12/HSPD1/NIP7/NPM1/PA2G4/PES1/MRTO4/FARSA/NOLC1/GNL3/TFB2M/PUS1/PLK1/RCL1/DDX18/PLK4/UTP20/GRWD1/HSPE1/NOP16/IPO4/WDR74/NOC4L/MCM5/TBRG4/RABEPK/UNG/NOP2/SLC19A1/PHB/NOP56/TCOF1/AIMP2/MYC/PPAN/MPHOSPH10/IMP4/DCTPP1
PROTEIN_SECRETION,94,2.07641676670786,0.00167785234899329,0.00558098002009153,TMED2/GLA/ERGIC3/ZW10/ICA1/RAB22A/LAMP2/STAM/TOM1L1/AP2B1/SCAMP3/ANP32E/M6PR/COPB2/BET1/YKT6/AP2S1/SCAMP1/KRT18/TMED10/ARCN1/ADAM10/CLTA/CLCN3/TMX1/COPB1/AP3B1/COPE/YIPF6/RAB2A/ARFGEF2/ARF1/LMAN1/IGF2R/TSG101/CTSC/PPT1/ARFGEF1/TPD52/CLTC/GOSR2/ARFIP1/RPS6KA3/RAB5A/SEC24D/AP3S1/ATP7A/GNAS/SOD1/COG2
INTERFERON_ALPHA_RESPONSE,95,2.11303745031667,0.00168634064080944,0.00558098002009153,PNPT1/IFITM1/RIPK2/CXCL11/NCOA7/HELZ2/EPSTI1/USP18/TAP1/LY6E/PSMB9/PSMA3/LAMP3/CXCL10/NMI/EIF2AK2/TRIM26/PROCR/BATF2/PSMB8/IFIH1/CASP8/PSME2/CD47/ELF1/ISG15/LGALS3BP/IFI30/LAP3/PSME1/IFI27/HERC6/UBE2L6/ADAR/TRIM21/IL7/OAS1/TRIM5/GBP4/IFIT3/CMPK2/MX1/CD74/PLSCR1/CCRL2/MVB12A/NUB1/TRIM14/IFI35/BST2/PARP14/HLA-C/RTP4
UNFOLDED_PROTEIN_RESPONSE,107,2.73637264940252,0.00168918918918919,0.00558098002009153,DKC1/EXOSC5/PSAT1/CKS1B/RRP9/SRPRB/NPM1/DDX10/EXOSC4/KDELR3/SLC7A5/XPOT/NOLC1/SLC1A4/SSR1/EIF4EBP1/NOP14/PDIA6/MTHFD2/YWHAZ/NHP2/CALR/LSM4/KHSRP/NFYA/EIF4E/HYOU1/NOP56/CHAC1/YIF1A/HSP90B1/SERP1/EXOSC2/PDIA5/SLC30A5/BANF1/GEMIN4/PREB/HSPA9/SDAD1/DNAJC3/EXOSC1/IGFBP1/RPS14/EIF4A3/CNOT6/ASNS/EIF4A1/PAIP1/SPCS1/EIF2S1/PARN/POP4/CEBPG/XBP1/ALDH18A1/EXOSC9/EEF2/HSPA5/IMP3/ATF6/STC2/GOSR2/EXOC2
UV_RESPONSE_UP,154,1.61234033639169,0.00174520069808028,0.00558098002009153,PPAT/FEN1/SIGMAR1/BID/CYB5B/RFC4/ATP6V1F/CCNE1/RPN1/POLE3/DDX21/EIF2S3/CTSV/CHRNA5/LYN/GRPEL1/HNRNPU/TUBA4A/GGH/TAP1/E2F5/CDC5L/FKBP4/TFRC/CDK2/PDAP1/YKT6/STIP1/AP2S1/HSPA13/IGFBP2/AQP3/ASNS/TGFBRAP1/MSX1/PPIF/AMD1/MRPL23/DNAJA1/TMBIM6/CEBPG/PPT1/ATP6V1C1/MMP14/CREG1/GRINA/HYAL2/SPR/CASP3/CXCL2/FGF18/DNAJB1/GCH1/GLS/PTPRD/LHX2/SHOX2/PPP1R2/CDC34/C4BPB/SQSTM1/APOM/ALDOA
DNA_REPAIR,148,2.68075683510669,0.00183150183150183,0.00558098002009153,RFC3/NME1/PRIM1/POLR2D/ALYREF/HPRT1/FEN1/RPA3/PCNA/ZNRD1/GTF2H3/POLB/RFC4/RFC5/RAE1/UMPS/BCAP31/RFC2/POLA1/POLR1C/TMED2/CSTF3/CCNO/SSRP1/POLA2/NELFCD/RALA/ADRM1/LIG1/ARL6IP1/TP53/ITPA/NUDT21/POLR1D/IMPDH2/POLD1/ERCC8/SEC61A1/ZWINT/ERCC2/POLR3C/NCBP2/TAF9/BOLA2/RAD51/APRT/POLR2K/MPG/TYMS/DGUOK/SF3A3/TARBP2/RPA2/DDB1/POLR2J/POLR2G/POLR2C/SAC3D1/NT5C3A/DAD1/CLP1/POLH/TAF12/POLR2F/PNP/TSG101/MRPL40/GTF2F1/DCTN4/NELFE/GTF3C5/COX17/NELFB/EDF1/ZNF707/RRM2B/STX3/RBX1/UPF3B/CANT1/SUPT4H1/CMPK2/GTF2H1/POM121/GUK1/GPX4
OXIDATIVE_PHOSPHORYLATION,184,2.07644782648731,0.00185528756957328,0.00558098002009153,ATP6V1F/HSD17B10/PDP1/FXN/TIMM10/VDAC1/MRPS12/MRPL15/ATP6V1G1/MRPS30/TOMM22/GRPEL1/TIMM50/LRPPRC/NDUFA7/GPI/MRPL11/BAX/LDHA/HSPA9/TIMM13/GOT2/MDH2/ATP6AP1/POR/COX7A2L/AIFM1/NDUFC2/UQCRH/MRPS15/MRPS22/SLC25A6/ATP1B1/NDUFS6/TIMM8B/POLR2F/MTX2/BCKDHA/COX6B1/PMPCA/TIMM9/COX17/ATP6V1C1/TIMM17A/ATP6V0B/COX15/HCCS/DLAT/IDH2/OPA1/NDUFA9/PDHX/LDHB/NDUFA4/NDUFB6/SUPV3L1/NDUFA3/IDH1/PRDX3/PHB2/UQCRQ/CYCS/ETFB/IDH3G/NDUFB2/GPX4/NDUFB4/NDUFB3/SUCLA2/VDAC3/FDX1/SLC25A5/NDUFAB1/ATP6V0E1/COX11/COX6A1/NDUFB5/COX7B/COX7A2/CYC1/ABCB7/SDHC/ATP6V1H/NDUFA2/NDUFA1/PDHA1/GLUD1/ECHS1/IMMT
G2M_CHECKPOINT,190,3.16304065037017,0.00185873605947955,0.00558098002009153,DKC1/CHEK1/CCND1/PRIM2/SLC12A2/RBL1/MCM3/E2F1/KIF20B/TFDP1/MCM6/BRCA2/CCNF/DBF4/KPNA2/CDK4/SLC7A1/CKS1B/MCM2/SMC2/FBXO5/STMN1/UBE2S/MAD2L1/SUV39H1/RACGAP1/INCENP/DTYMK/CENPE/HMGA1/SNRPD1/CCNA2/TMPO/TACC3/CDC6/SLC7A5/CDKN3/KIF2C/NOLC1/CHAF1A/G3BP1/AURKA/NCL/CKS2/TRAIP/KIF15/PRC1/TPX2/PTTG1/BUB3/PLK1/E2F3/EXO1/KIF4A/CDK1/PLK4/ORC6/ODC1/SMC4/POLA2/KIF11/KIF23/UBE2C/SQLE/TOP2A/MYBL2/TOP1/BUB1/MCM5/SMARCC1/ORC5/GINS2/CDC25A/NUSAP1/CENPF/SYNCRIP/CENPA/RAD54L/BIRC5/CDC45/TTK/CCNB2/NDC80/HMMR/CUL4A/HMGB3/NEK2/PRMT5/HNRNPU/KPNB1/SMC1A/DDX39A/EZH2/STIL/MYC/LMNB1/RAD23B/MKI67/CDC20/HSPA8/PBK/NUP50/GSPT1/CDC25B/ESPL1/RPA2/BARD1/XPO1/AURKB/RAD21/FANCC/CTCF/UCK2/KIF22/AMD1/DR1/TROAP/POLQ/CDC7/NUP98/LIG3/ATF5/HIRA/ODF2
E2F_TARGETS,195,3.54106510534636,0.00188323917137476,0.00558098002009153,RFC3/ATAD2/DSCC1/CSE1L/TRIP13/CHEK1/PAICS/BRCA1/PRIM2/RNASEH2A/MCM3/POLD2/NME1/LYAR/MCM6/BRCA2/PRDX4/KPNA2/CDK4/MMS22L/CKS1B/UBE2T/MCM2/MCM7/STMN1/UBE2S/NCAPD2/MAD2L1/MCM4/SUV39H1/RACGAP1/MSH2/RAN/TIPIN/SNRPB/GINS1/RPA3/PRKDC/PCNA/TIMELESS/CENPE/HMGA1/GINS4/RANBP1/DCLRE1B/PA2G4/TMPO/TACC3/DIAPH3/RAD51AP1/CDKN3/KIF2C/NOLC1/HELLS/AURKA/RFC2/CKS2/SPC24/DNMT1/POP7/CDKN2A/PTTG1/CHEK2/PLK1/KIF4A/CDK1/SSRP1/PLK4/ORC6/CCNE1/CDCA3/SMC4/SLBP/MTHFD2/POLA2/NUP205/LIG1/ZW10/TOP2A/MYBL2/MCM5/TCF19/NUP107/TBRG4/CDC25A/TP53/SYNCRIP/HMGB2/NUDT21/MELK/DCK/BIRC5/TK1/POLD1/UNG/CCNB2/SPC25/SPAG5/HMMR/USP1/DEK/HMGB3/TUBG1/PMS2/RRM2/NOP56/CDCA8/BUB1B/SMC1A/DDX39A/EZH2/PHF5A/ASF1B/MYC/LMNB1/DLGAP5/ASF1A/ANP32E/MKI67/CDC20/GSPT1/CDC25B/DCTPP1/ESPL1/TFRC/DEPDC1/RPA2/IPO7/BARD1/XPO1/EXOSC8/TUBB/AURKB/RAD21/PRPS1/CIT/KIF18B/SMC3/ORC2/CENPM/CTCF/CBX5/PPP1R8
