hallmark,set_size,NES,pvalue,p.adjust,gene_set
XENOBIOTIC_METABOLISM,192,-1.79544530907903,0.00113122171945701,0.00434253951710961,FBLN1/CYP2C18/CYP2S1/CYP17A1/TAT/DHRS1/FMO3/PDK4/HSD17B2/HSD11B1/TTPA/AKR1C2/CYP2E1/CYB5A/ARG1/FBP1/GCKR/LCAT/PAPSS2/ID2/PC/BPHL/AP4B1/SLC22A1/IGFBP4/LEAP2/HRG/ATOH8/ABCC3/ANGPTL3/AOX1/CFB/PROS1/ITIH4/FMO1/PTGDS/CDO1/SERPINA6/HGFAC/CYP2J2/TMEM176B/VTN/AKR1C3/CYP4F2/VNN1/ENPEP/G6PC/DDC/HNF4A/RBP4/UPB1/ABCC2/PLG/FABP1
EPITHELIAL_MESENCHYMAL_TRANSITION,198,-1.88743695900873,0.00113378684807256,0.00434253951710961,NOTCH2/TPM4/ELN/SGCG/TFPI2/MYLK/P3H1/CDH11/IL6/PDGFRB/SNAI2/SERPINE1/HTRA1/COL12A1/BMP1/ECM1/FLNA/GREM1/BGN/ACTA2/SDC1/NT5E/PMP22/EDIL3/IL32/FBLN1/PTX3/MEST/PRSS2/LAMC2/PCOLCE2/FSTL3/TGM2/LUM/COL16A1/CADM1/THBS1/COL7A1/SLIT3/MYL9/THY1/ECM2/COMP/ABI3BP/TPM2/FOXC2/TPM1/ID2/RHOB/DAB2/TGFBR3/CALD1/IGFBP4/MATN2/SERPINE2/TNC/MGP/TAGLN/VCAM1/FMOD/CXCL1/GAS1/CXCL12/CXCL6/CDH6/DCN/CDH2/FBLN5/ANPEP/IGFBP2/SFRP1
TNFA_SIGNALING_VIA_NFKB,198,-1.63126722774019,0.00113378684807256,0.00434253951710961,FOSB/TNFSF9/SOCS3/SLC2A6/TNF/RNF19B/LAMB3/TSC22D1/TGIF1/SOD2/IL6/JUNB/CLCF1/ETS2/CCNL1/EFNA1/SERPINB8/NFKB2/DUSP1/RCAN1/CXCL3/SERPINE1/DNAJB4/CCL20/PHLDA2/SPSB1/MAP2K3/ZC3H12A/IRF1/HBEGF/ICAM1/BCL3/TNFAIP8/DUSP2/CEBPD/PTX3/NFIL3/LIF/F2RL1/CCL2/DUSP5/EGR3/BIRC3/DDX58/FOS/BCL6/BTG2/CFLAR/SGK1/ZFP36/TRIP10/IER3/TRAF1/ID2/RHOB/KLF2/PTGER4/PLAU/F3/TNC/HES1/TNFAIP2/PFKFB3/EDN1/CXCL2/CXCL1/CXCL6
KRAS_SIGNALING_DN,166,-1.73541615054338,0.0011454753722795,0.00434253951710961,GDNF/MTHFR/LFNG/NRIP2/LYPD3/TGM1/DLK2/KRT5/RGS11/IFI44L/ENTPD7/NR6A1/HNF1A/TFAP2B/TCF7L1/FGGY/NOS1/ITGB1BP2/PRODH/BTG2/SGK1/CLSTN3/GAMT/TAS2R4/CACNA1F/OXT/CELSR2/NUDT11/ALOX12B/MSH5/DCC/KCNQ2/KRT1/C5/EDN1/PKP1/EDN2/KRT15/AKR1B10/ADRA2C/KCND1/SLC6A3/NTF3/SLC12A3/CLDN16/EDAR/CKM/MYH7/KLK7/NPHS1/IGFBP2/FGFR3
COAGULATION,131,-1.99667032874304,0.00115207373271889,0.00434253951710961,SERPINE1/HTRA1/F11/F2RL2/BMP1/F2/S100A13/PDGFB/MMP8/FYN/C8A/SH2B2/CFD/A2M/PROZ/CRIP2/TF/THBS1/F8/COMP/CFH/RAPGEF3/CASP9/MASP2/S100A1/CTSV/C1S/LEFTY2/SERPINC1/CPN1/SERPING1/PLAU/F3/FGG/C1R/KLKB1/HRG/CFB/CTSE/PROS1/APOA1/CFI/MST1/FGA/PLAT/SERPINA1/ANG/HNF4A/PROC/PLG
UNFOLDED_PROTEIN_RESPONSE,107,1.74992101494504,0.00150375939849624,0.00434253951710961,PARN/HSPA9/XPOT/EEF2/POP4/CNOT4/EIF2S1/BANF1/SPCS3/CEBPG/YIF1A/EIF4E/SDAD1/ASNS/CALR/EXOSC9/ATP6V0D1/CHAC1/KHSRP/SEC31A/SEC11A/SLC1A4/EIF4G1/SRPRB/EIF2AK3/FKBP14/EXOSC5/SLC30A5/LSM4/HERPUD1/NOP14/IGFBP1/DKC1/SPCS1/RRP9/NPM1/IMP3/STC2/HYOU1/YWHAZ/ATF4/EDC4/DNAJC3/PAIP1/DNAJB9/DCTN1/TATDN2/MTHFD2/RPS14/LSM1/TTC37/EXOSC4/SERP1
ANDROGEN_RESPONSE,96,2.16286715547965,0.00151975683890578,0.00434253951710961,KLK3/STK39/ABHD2/GPD1L/INPP4B/SCD/BMPR1B/PTPN21/CENPN/AKT1/IQGAP2/LMAN1/MERTK/ACSL3/TMPRSS2/B2M/SPCS3/KLK2/KRT8/ZBTB10/GSR/UBE2I/CCND1/ZMIZ1/HOMER2/INSIG1/UAP1/HERC3/PIAS1/VAPA/RPS6KA3/PA2G4/SLC38A2/ABCC4/HMGCR/PTK2B/CAMKK2/PDLIM5/SEC24D/NGLY1/XRCC6/NDRG1/HMGCS1/TPD52/ADRM1/CDC14B
CHOLESTEROL_HOMEOSTASIS,73,1.84649825821908,0.0015220700152207,0.00434253951710961,LGALS3/DHCR7/SC5D/AVPR1A/LGMN/CPEB2/TM7SF2/SCD/ALCAM/SREBF2/CYP51A1/CD9/TRIB3/PPARG/ABCA2/ATF5/ADH4/EBP/CHKA/NSDHL/HMGCR/SQLE
MYC_TARGETS_V2,58,1.95940180273392,0.00152905198776758,0.00434253951710961,UTP20/LAS1L/TBRG4/PRMT3/SLC29A2/AIMP2/FARSA/PLK4/PPAN/CDK4/PA2G4/MCM4/TCOF1/RCL1/EXOSC5/NDUFAF4/NOC4L/WDR74/GRWD1/SUPV3L1/PES1/NOP16/UNG/RRP9/NPM1/MPHOSPH10
PI3K_AKT_MTOR_SIGNALING,101,1.66633748628545,0.00153139356814701,0.00434253951710961,E2F1/ITPR2/PLA2G12A/GSK3B/MKNK2/ECSIT/AKT1/PAK4/IRAK4/DDIT3/TRIB3/RPTOR/PRKAG1/GNGT1/TBK1/PTPN11/EIF4E/CALR/SMAD2/MAPK1/CDK4/RPS6KA3/MAPK9/TRAF2/ACACA/SQSTM1/YWHAB/MAPKAP1/EGFR/ARPC3/PPP1CA/UBE2N/ARF1/PIK3R3/RAF1/ATF1/NFKBIB/CFL1/HRAS/PIN1
