hallmark,set_size,NES,pvalue,p.adjust,gene_set
P53_PATHWAY,193,2.0439997289261,0.00113378684807256,0.00427204374572796,DDB2/TNFSF9/FDXR/CDKN2A/BAX/PHLDA3/GM2A/RHBDF2/CCND2/RAP2B/TP53/AEN/DRAM1/ALOX15B/ZMAT3/SLC7A11/MDM2/PERP/PPM1D/SFN/PVT1/KRT17/TRIAP1/MAPKAPK3/PDGFA/ITGB4/TAX1BP3/CEBPA/IFI30/FAS/PCNA/TAP1/CDK5R1/SP1/S100A10/PLK2/TRIB3/CTSD/POLH/SPHK1/CDKN1A/RAD51C/RB1/TCHH/RPL36/ZNF365/PTPRE/TGFA/IL1A/IRAK1/RPL18/GLS2/APAF1/ST14/PRMT2/NUPR1/TPD52L1/ADA/ERCC5/STOM/SEC61A1/EPHA2/CDKN2B/AK1/VAMP8/TOB1/DEF6/HMOX1/PROCR/CASP1/TPRKB/RETSAT/NHLH2/OSGIN1/CCND3/STEAP3/RAD9A/VWA5A/PLXNB2/TRAF4/IER5/RPS27L/TRAFD1/DGKA/FUCA1/HRAS/EPHX1/PLK3/BAK1/FAM162A/SLC35D1/RRAD
G2M_CHECKPOINT,189,2.38420755100275,0.00113765642775882,0.00427204374572796,GINS2/HMGB3/MARCKS/TOP2A/CDC45/E2F1/TPX2/TRAIP/UBE2C/PRIM2/BUB1/MYBL2/MCM2/SLC38A1/AURKB/PBK/KIF4A/CENPA/NEK2/CDC6/BIRC5/MKI67/TTK/MCM5/EXO1/E2F2/PTTG1/DTYMK/AURKA/LBR/NUSAP1/CCNB2/TROAP/MCM3/CHMP1A/STIL/NOTCH2/CHAF1A/ORC6/EZH2/CENPF/ORC5/CDC20/CHEK1/KIF22/KPNB1/XPO1/TACC3/ODC1/CDK4/KIF2C/MYC/PLK4/CENPE/LMNB1/FANCC/KIF15/CDKN3/POLQ/RACGAP1/HMMR/PML/MAD2L1/RBL1/PRC1/CCNF/SAP30/KIF11/NDC80/SYNCRIP/CBX1/STMN1/CDKN2C/CUL1/RPA2/PLK1/BRCA2/KIF20B/SNRPD1/CDK1/HMGA1/CCNA2/KPNA2/CDC27/SUV39H1/POLE/CKS2/DBF4/DKC1
MYC_TARGETS_V1,194,2.57902020895782,0.00113765642775882,0.00427204374572796,TYMS/CDC45/NME1/CBX3/MCM2/POLD2/PSMB3/PPIA/SSBP1/RUVBL2/MCM7/MCM5/RPS2/PA2G4/PHB2/EIF4A1/PCNA/PPM1G/RFC4/POLE3/EIF3B/YWHAE/SET/RPL14/CDC20/KPNB1/XPO1/CAD/RRP9/RPLP0/PSMD3/PSMB2/ODC1/TUFM/CDK4/SF3B3/MYC/CCT5/RNPS1/SNRPD2/PSMD14/CLNS1A/RPL6/CCT2/IMPDH2/PRDX4/PABPC4/MAD2L1/SRM/PWP1/RPL18/RAN/FBL/NCBP2/RSL1D1/SYNCRIP/ERH/NHP2/CCT3/LSM7/PSMD7/CUL1/CDK2/GOT2/PRPF31/SNRPG/GNL3/C1QBP/APEX1/PSMC4/MRPL23/NPM1/NOP16/CCT7/SNRPD1/PABPC1/UBE2L3/LDHA/PSMA2/EIF3D/CCNA2/KPNA2/PHB/HNRNPC/DDX18/MRPS18B/SNRPA/RPS5/CANX/SNRPB2/NAP1L1/RPS6/SERBP1/MCM4/PSMA7/RRM1/MCM6/RPS3/YWHAQ/AIMP2/HNRNPA1/RPL34/CTPS1/PSMA4/VDAC3/EIF4H/SLC25A3/RPS10/NOP56/FAM120A/PGK1/HNRNPU/PTGES3/PSMA6/NDUFAB1/XPOT/HDDC2
DNA_REPAIR,148,2.15782277380475,0.00113895216400911,0.00427204374572796,DDB2/TP53/RFC2/TYMS/TAF6/NME1/MPG/LIG1/RFC5/POLD1/NT5C3A/POLR2J/ITPA/TK2/BCAP31/PCNA/BOLA2/RFC4/APRT/FEN1/RAD51/CETN2/POLH/GPX4/NT5C/RALA/SAC3D1/ARL6IP1/TMED2/POLR2D/PRIM1/DGUOK/ALYREF/CCNO/RPA3/SUPT4H1/IMPDH2/NME4/ZWINT/ADRM1/POLR2G/MRPL40/NCBP2/NELFE/ADA/ERCC5/RPA2/SDCBP/CANT1/TARBP2/SEC61A1/ERCC2/EDF1/POLR1C/AK1/POLR2E/TAF10/STX3/GTF2F1/GTF2H5/NME3/RAE1/CSTF3/GTF2H3/RRM2B/UMPS/NELFCD/COX17/POLR3C/VPS37D/POLR2C/POLR2I/CLP1/GTF3C5/POLR2F/DCTN4/AAAS/SURF1/NELFB/TAF12/TAF9/RBX1/POM121/XPC
ALLOGRAFT_REJECTION,191,2.32184885662799,0.00114025085518814,0.00427204374572796,CDKN2A/IGSF6/TAPBP/CCND2/LY86/NME1/HLA-G/HLA-A/CD86/GALNT1/PTPN6/PSMB10/ITGB2/BRCA1/EREG/CAPG/TRAF2/CTSS/FCGR2B/SPI1/RPS19/EIF5A/FAS/ACHE/TAP1/TIMP1/DEGS1/PRKCG/CCR5/CCL5/NCK1/CD4/IFNAR2/IFNGR2/MMP9/GZMA/IFNGR1/CRTAM/TLR6/NLRP3/ST8SIA4/CD3D/CD80/RPL39/HLA-DRA/IL27RA/CCL4/CD2/WAS/CD8A/GBP2/HLA-DQA1/CSK/CD74/MAP3K7/EGFR/CD40/CD96/HLA-DMB/STAT1/B2M/GPR65/IL18/RIPK2/HLA-DMA/TLR2/LYN/NPM1/CCL22/HDAC9/EIF3D/CXCL13/NCF4/MAP4K1/LCP2/CCR1/HLA-DOA/F2/FGR/CXCR3/IL12RB1/FASLG/CCND3/CD8B/KLRD1/C2/ELF4/IL7/TRAT1/RPS9/CD3E/BCAT1/ITGAL/IL2RB/PTPRC/IL2RG/TLR3/MRPL3/MTIF2/CD40LG/CFP/CD3G/SIT1/IRF8/PRF1/UBE2D1/TLR1/RPL9
E2F_TARGETS,195,2.82501475247074,0.00114285714285714,0.00427204374572796,CDKN2A/HMGB3/MELK/TP53/RFC2/TOP2A/NME1/PRIM2/RNASEH2A/CHEK2/SPC24/RRM2/MYBL2/MCM2/LIG1/POLD2/ASF1B/SNRPB/AURKB/BRCA1/TBRG4/TUBB/KIF4A/PSMC3IP/DLGAP5/RAD51AP1/POLD1/UBE2T/DEPDC1/BIRC5/PPM1D/MKI67/NCAPD2/MCM7/MCM5/NUP107/KIF18B/CDCA8/RPA1/TRIP13/PA2G4/DCTPP1/GINS3/PTTG1/PCNA/GINS1/AURKA/LBR/POP7/TK1/CCNB2/MCM3/GINS4/ORC6/EZH2/CBX5/TUBG1/CDKN1A/RAD51C/CDC20/CHEK1/BUB1B/KIF22/XPO1/TACC3/CDK4/KIF2C/E2F8/MMS22L/MYC/TIMELESS/PLK4/CCNE1/CENPE/LMNB1/CDKN3/RPA3/RACGAP1/HMMR/PRDX4/UBR7/MAD2L1/NBN/RAN/SPC25/WDR90/SYNCRIP/CENPM/ATAD2/STMN1/CDKN2C/RPA2/DONSON/PLK1/NAA38/BRCA2/UNG/DSCC1/TIPIN/PMS2/HELLS/CDK1/CDCA3/HMGA1/KPNA2/LYAR/RBBP7/SUV39H1/POLE/CKS2
MTORC1_SIGNALING,195,2.00396109103164,0.00114285714285714,0.00427204374572796,HK2/FDXR/CTSC/TES/BUB1/PLOD2/RRM2/MCM2/GSK3B/GAPDH/ITGB2/ALDOA/PDAP1/SLC7A11/PPIA/SKAP2/GLA/RPA1/G6PD/SERPINH1/IFI30/CYB5B/RPN1/AURKA/EGLN3/TRIB3/SLC1A4/SYTL2/SCD/SQSTM1/ATP2A2/TUBG1/CDKN1A/CXCR4/M6PR/RIT1/YKT6/RRP9/VLDLR/ABCF2/PSPH/GMPS/HMBS/ACTR3/TPI1/ELOVL6/CCT6A/PSMD12/ACLY/ENO1/PSMD14/PSMC2/LTA4H/NMT1/CALR/SHMT2/TXNRD1/GPI/CCNF/TOMM40/NUPR1/PLK1/CORO1A/ACACA/UNG/PSMC4/ELOVL5/PDK1/PSME3/LDHA/P4HA1/PSMD13/ASNS/TBK1/GCLC/FKBP2/TM7SF2/CANX/SSR1/SLA/PNO1/PRDX1/MCM4/PGM1/BCAT1/ACTR2/HSP90B1/SEC11A/ME1/CDC25A/NUFIP1/PSMA4
COMPLEMENT,198,1.54352813246558,0.00114678899082569,0.00427204374572796,APOC1/PLA2G7/CTSC/TFPI2/DYRK2/CLU/TMPRSS6/MMP14/LIPA/PSMB9/GRB2/APOBEC3F/CTSS/C3/CFB/PFN1/FCER1G/STX4/C1QC/PPP4C/C1QA/ITGAM/MMP15/CDK5R1/LGALS3/CASP3/TIMP1/CTSD/CCL5/PLEK/PHEX/GZMA/RHOG/SRC/CTSL/LTA4H/ANG/ADAM9/PSEN1/APOBEC3G/PDP1/ANXA5/VCPIP1/SCG3/SIRT6/KCNIP3/PLAUR/F10/AKAP10/FN1/OLR1/WAS/DPP4/TIMP2/PIK3R5/GZMK/GNB2/XPNPEP1/CTSB/DGKH/LYN/IRF2/PRSS36
GLYCOLYSIS,198,2.06019321685223,0.00114678899082569,0.00427204374572796,MET/HK2/XYLT2/VCAN/FUT8/SPAG4/CLDN3/ENO2/CHPF2/PLOD2/KIF20A/KDELR3/PYGB/NOL3/ALDOA/PMM2/PFKP/EFNA3/PKM/SOX9/PYGL/CHPF/PPIA/CENPA/DEPDC1/ALG1/SLC16A3/GUSB/G6PD/GALE/ELF3/AURKA/EGLN3/PGLS/SDC3/GPC4/TALDO1/HS2ST1/B4GALT7/B4GALT4/IGFBP3/CXCR4/TGFBI/VLDLR/TSTA3/POLR3K/EXT1/GAL3ST1/TPI1/ENO1/ANG/HMMR/LHX9/TGFA/CLN6/CASP6/MED24/CHST4/B3GALT6/SAP30/ABCB6/AGRN/RPE/STMN1/EGFR/B3GNT3/B4GALT1/PGAM1/CHST12/CD44/GOT2/TXN/PSMC4/RBCK1/CDK1/LDHA/GPR87/P4HA1/ISG20/CITED2/GCLC/COPB2/GNE/TPBG/B4GALT2/DSC2/NT5E/SRD5A3/GPC1/MIF/IL13RA1/NSDHL/MDH2/B3GAT1/GYS2/COG2/IDUA/ME1/QSOX1
INFLAMMATORY_RESPONSE,198,1.74936110707567,0.00114678899082569,0.00427204374572796,MET/TNFSF9/TNFAIP6/HRH1/CD70/TAPBP/ITGB8/MMP14/RGS1/AHR/DCBLD2/CLEC5A/EREG/MSR1/RTP4/CXCL6/EMP3/P2RX7/ADGRE1/C3AR1/NMI/AXL/ABCA1/TNFSF10/TNFRSF9/MARCO/TIMP1/CX3CL1/PTAFR/EBI3/CCL5/P2RX4/SPHK1/CD14/ATP2A2/CDKN1A/IFNGR2/CYBB/CCL17/SCN1B/RHOG/MYC/SRI/NLRP3/KCNJ2/PTPRE/GNA15/IL1A/PSEN1/CXCL8/ADRM1/AQP9/CD48/GPR183/PLAUR/OLR1/OSM/CXCR6/CCRL2/PIK3R5/NPFFR2/CD40/IL18/RIPK2/KLF6/TLR2/LYN/ATP2C1
