hallmark,set_size,NES,pvalue,p.adjust,gene_set
E2F_TARGETS,195,3.1668319238282,0.000784313725490196,0.00335976347265153,MCM4/MCM2/CCNB2/CHEK1/MAD2L1/MYBL2/GINS1/AURKA/KIF2C/PLK1/TRIP13/CDCA8/KIF4A/UBE2T/CDC20/BIRC5/CDK1/UNG/PTTG1/RAD51AP1/DEPDC1/TOP2A/CDC25A/KPNA2/DLGAP5/MELK/NCAPD2/RACGAP1/CDKN3/CKS1B/ORC6/CENPE/TK1/CSE1L/PLK4/PRIM2/HMGA1/BUB1B/RNASEH2A/AURKB/ASF1B/GINS4/UBE2S/PCNA/DSCC1/SPC25/GINS3/CCNE1/CHEK2/HELLS/MCM7/MMS22L/MKI67/HMGB3/TIMELESS/PAICS/RFC2/RRM2/MCM5/MCM6/HMMR/ESPL1/ATAD2/CENPM/MSH2/E2F8/KIF18B/SPAG5/STMN1/KIF22/BRCA1/RANBP1/LMNB1/PRKDC/SPC24/CDCA3/TMPO/TUBB/TUBG1/POP7/MCM3/TCF19/POLD2/DCTPP1/CDKN2A/SMC4/TIPIN/NUP205/SNRPB/SUV39H1/CKS2/CDK4/RAN/RPA1/SSRP1/RFC3/PHF5A/TACC3/RPA3/EZH2/NME1/PMS2/SMC6/SYNCRIP/ZW10/POLA2/RAD51C/PA2G4/PRDX4/NUP107/TBRG4/XRCC6/RAD21/XPO1/ANP32E/NUDT21/SLBP/BRCA2/DIAPH3/USP1/LIG1/NOP56/DEK/CTPS1/PPP1R8/SMC1A/CTCF/SMC3/PSMC3IP/DCK/RBBP7/UBR7/TFRC/RAD1/EIF2S1/MTHFD2/TRA2B/ASF1A/DNMT1/DCLRE1B/TP53/WEE1/AK2/NOLC1/LBR/RPA2/BRMS1L/LYAR/POLD3/NBN/HUS1/NUP153/HMGB2/POLE4/POLD1/BARD1
MTORC1_SIGNALING,195,2.65089345506992,0.000784313725490196,0.00335976347265153,SLC2A1/MCM4/MCM2/AURKA/PLK1/CCNF/UNG/BUB1/CDC25A/GMPS/GAPDH/SLC9A3R1/SORD/RRM2/HPRT1/TPI1/SLC7A5/GPI/AK4/SRD5A1/SLC1A4/PSPH/PSMD14/GCLC/TUBG1/ALDOA/NUP205/PSAT1/RPA1/PDK1/EGLN3/CCT6A/DHFR/SHMT2/PGK1/ENO1/UCHL5/PNO1/PSME3/PSMD12/PSMC4/TCEA1/PSMB5/PDAP1/ACTR2/PSMG1/RPN1/CD9/PLOD2/SSR1/ACTR3/ATP2A2/IMMT/TOMM40/YKT6/CALR/LDHA/PSMC2/PSMA4/SLC1A5/FDXR/HK2/PRDX1/PPIA/P4HA1/PHGDH/ME1/GSR/NUFIP1/G6PD/HMBS/GSK3B/CACYBP/STIP1/POLR3G/HSPA4/GOT1/ABCF2/DHCR7/EEF1E1/EIF2S2/SLC7A11/TFRC/ACLY/MLLT11/MTHFD2/SQLE/SC5D/IDH1/HSP90B1/COPS5/HSPE1/GTF2H1/SERP1/TUBA4A/M6PR/EBP/PSMD13/CANX/PITPNB/RIT1/CYB5B/PSMC6/HSPA9/HSPD1/SLC37A4/NMT1/PSMA3/ACSL3/RAB1A/ASNS/ELOVL6/ATP6V1D/TES/DDX39A/FADS2/DAPP1/CTSC/HSPA5/NFYC/RDH11/ACACA/TMEM97/TXNRD1/FKBP2/SCD/GLA/RRP9/SEC11A
ESTROGEN_RESPONSE_LATE,197,1.87041312831421,0.000786163522012579,0.00335976347265153,PERP/GJB3/TRIM29/CDC20/STIL/TOP2A/GINS2/CDC6/PLK4/TFAP2C/RNASEH2A/CELSR2/KIF20A/SLC9A3R1/SORD/PKP3/TPD52L1/SLC16A1/HPRT1/KRT13/SLC7A5/LSR/SIAH2/SLC1A4/ST14/MDK/SFN/TPBG/CYP4F11/RBBP8/CDH1/IDH2/HR/KRT19/CXCL14/HSPA4L/LAMC2/FRK/PPIF/CD9/GAL/PLAC1/CA12/RAPGEFL1/IGSF1/TSTA3/FKBP4/DLG5/FAM102A/DHRS2/NMU/UGDH/FGFR3/COX6C/MAPK13/DHCR7/ST6GALNAC2/ETFB/FABP5/NXT1/PTGES/AMFR/OVOL2/HOMER2
GLYCOLYSIS,198,2.51305993631065,0.000788643533123028,0.00335976347265153,CENPA/GPR87/AURKA/EFNA3/CDK1/DEPDC1/DSC2/KIF20A/HMMR/SLC25A10/BIK/SDC1/STMN1/FAM162A/HS6ST2/PKM/TPI1/AK4/GPC1/GCLC/GOT2/ALDOA/TGFA/TPBG/PFKP/COPB2/EGLN3/PGK1/PGAM1/MDH1/MDH2/ENO1/MIF/B3GNT3/IGFBP3/ARTN/XYLT2/B4GALT2/PGM2/POLR3K/PSMC4/PLOD2/RPE/LDHA/B4GALT4/PKP2/NANP/PC/NSDHL/TSTA3/HK2/PPIA/TXN/FKBP4/P4HA1/ADORA2B/CASP6/FUT8/ME1/SDHC/PAXIP1/MPI/GYS1/BPNT1/G6PD/KIF2A/DLD/SOX9/GOT1/SLC25A13/PMM2/PLOD1/HAX1/CLN6/TALDO1/GNPDA1/SRD5A3/AGL/SOD1/EXT2/EGFR/PDK3/KDELR3/MET/IDH1/HOMER1/HS2ST1/COG2/AGRN/ABCB6/ME2/CHPF2/AKR1A1/HDLBP/B4GALT7/ECD/LHPP/CHPF/MIOX/SPAG4/ALG1/SLC37A4/CD44/PRPS1/GLCE/PYGB/B3GALT6/TPST1/EXT1/CHST2/DPYSL4/SLC35A3/HSPA5/B4GALT1/ENO2/ALDH9A1/TGFBI
MITOTIC_SPINDLE,198,1.87671931728706,0.000788643533123028,0.00335976347265153,TPX2/CCNB2/KIF11/TTK/NEK2/AURKA/KIF2C/PLK1/KIF4A/CENPF/ECT2/BIRC5/KIF23/ANLN/CDK1/BUB1/TOP2A/NDC80/PRC1/DLGAP5/RACGAP1/CENPE/NUSAP1/KIF15/INCENP/ESPL1/KIF20B/KIF22/LMNB1/FSCN1/FBXO5/NET1/SASS6/CEP72/CKAP5/SMC4/DLG1/KIF3C/LRPPRC/SAC3D1/KNTC1/BRCA2/MARCKS/TUBD1/STAU1/TLK1/SMC1A/ARF6/SMC3/LLGL1/WASF1/NCK1/MAPRE1/PIF1/CEP250/YWHAE/ABI1
G2M_CHECKPOINT,190,3.00846756452801,0.000789265982636148,0.00335976347265153,MCM2/CENPA/TPX2/CCNB2/KIF11/CHEK1/MAD2L1/TTK/MYBL2/NEK2/AURKA/KIF2C/PLK1/UBE2C/KIF4A/EXO1/CENPF/CDC20/STIL/CCNF/BIRC5/KIF23/CDK1/PTTG1/BUB1/TOP2A/NDC80/PRC1/CDC25A/KPNA2/RACGAP1/CDKN3/CKS1B/ORC6/CENPE/CDC45/GINS2/CCNA2/CDC6/PLK4/NUSAP1/KIF15/PRIM2/HMGA1/INCENP/AURKB/UBE2S/RAD54L/TRAIP/MKI67/HMGB3/MCM5/MCM6/DKC1/POLQ/HMMR/ESPL1/RBL1/KIF20B/TROAP/STMN1/PBK/DBF4/KIF22/SLC7A5/LMNB1/SMC2/CBX1/FBXO5/CHAF1A/TMPO/SNRPD1/MCM3/DTYMK/TFDP1/HOXC10/ORC5/SMC4/SUV39H1/CKS2/CDK4/TACC3/EZH2/MNAT1/SLC38A1/SYNCRIP/POLA2/UCK2/E2F1/BUB3/KPNB1/SMARCC1/NCL/RAD21/XPO1/SLC7A1/E2F2/BRCA2/MARCKS/ATF5/NUP50/HNRNPU/RAD23B/SMC1A/PRMT5/CTCF/LIG3/ODC1
MYC_TARGETS_V1,194,3.07693138042485,0.000789265982636148,0.00335976347265153,MCM4/MCM2/MAD2L1/CDC20/RFC4/KPNA2/CDC45/CCNA2/PCNA/MCM7/MCM5/MCM6/CCT5/CCT3/RRM1/PRPS2/HPRT1/CSTF2/NCBP2/RANBP1/HDAC2/PPM1G/CLNS1A/CCT7/SNRPD1/PSMD14/GOT2/TYMS/CBX3/FBL/ILF2/TFDP1/SNRPD3/POLD2/CCT4/SF3B3/SERBP1/SNRPG/SET/PABPC1/CDK4/POLE3/RAN/MRPL9/PGK1/NME1/SNRPD2/EIF3B/SYNCRIP/HDGF/PWP1/YWHAQ/RUVBL2/CAD/PA2G4/ERH/PRDX4/CYC1/TRIM28/PSMB2/SSBP1/BUB3/KPNB1/XRCC6/PSMC4/SMARCC1/CCT2/PHB2/VBP1/UBA2/DDX18/XPO1/PSMB3/SSB/RSL1D1/LDHA/SRPK1/ABCE1/VDAC1/UBE2L3/HNRNPC/EIF3D/PSMA4/PSMD3/LSM7/XPOT/AIMP2/EIF3J/LSM2/ACP1/USP1/PPIA/PSMD7/NOP56/DEK/VDAC3/CTPS1/HNRNPU/PHB/C1QBP/PSMA2/APEX1/NPM1/RAD23B/RNPS1/PSMD1/RPLP0/COX5A/TUFM/SNRPB2/PSMD8/NDUFAB1/ODC1/PTGES3/RPS2/EIF4G2/TCP1/PSMA7/YWHAE/GLO1/EIF2S2/NCBP1/EIF2S1/RPL6/G3BP1/HNRNPA1/EIF4E/TRA2B/PRPF31/NOP16/HDDC2/STARD7/CNBP/NHP2/HNRNPR/COPS5/HSPE1/RPL18/NOLC1/FAM120A/RPS10/RPS5/CUL1/EIF4H/HSP90AB1/MRPS18B/PRDX3/RPS3/CANX/PCBP1/EIF1AX/EXOSC7/PSMA6/PSMC6/HSPD1/SNRPA/SRSF3/TXNL4A/ORC2
OXIDATIVE_PHOSPHORYLATION,184,2.49397522594155,0.000794912559618442,0.00335976347265153,OPA1/MTX2/GPI/TOMM22/GOT2/MRPS30/UQCRH/NDUFS6/LRPPRC/NDUFB5/MRPS12/IDH2/MDH1/MDH2/MRPL35/MRPL11/MRPL15/NDUFB4/CYC1/COX6B1/MRPS22/HSD17B10/PHB2/TIMM10/IMMT/NDUFA9/LDHA/CYCS/VDAC1/POLR2F/PDHX/UQCRC1/COX6A1/COX7A2L/AFG3L2/MRPS11/VDAC3/HCCS/VDAC2/NDUFA8/SDHC/PDP1/TIMM50/COX5A/SUPV3L1/TIMM8B/AIFM1/NDUFS3/FH/COX8A/NDUFB3/NDUFAB1/DLD/COX6C/ACO2/NDUFA6/SLC25A5/ECHS1/COX5B/UQCR10/TIMM9/UQCRFS1/NDUFC2/ETFB/DLAT/COX7B/ETFA/COX10/NDUFA1/SDHD/ATP1B1/ATP6V1G1/TIMM17A/IDH1/NDUFS1/FXN/ATP6V1F/SDHA/SLC25A12/MRPS15/LDHB/CS/TIMM13/COX7A2/NDUFA7/BCKDHA/SDHB/COX15/NNT/NDUFC1/NDUFB2/PRDX3/SUCLG1/NDUFS8/OAT/SLC25A11/COX4I1/ATP6V1C1/HSPA9/NDUFB7/NDUFB6/COX17/GRPEL1/UQCRC2/UQCR11/UQCRQ/PDHA1/MRPL34/IDH3B/ATP6V1D/MFN2/NDUFV2/HADHA/ISCA1/ECH1/ATP6V1E1/ECI1/NDUFA5/ATP6V1H/SUCLA2/NDUFA3/SLC25A6/NDUFA2/NDUFB8/GPX4/NDUFV1/HTRA2/SURF1/NDUFB1/COX7C
DNA_REPAIR,148,2.44491477470293,0.000823723228995058,0.00335976347265153,RFC4/RAD51/ZWINT/FEN1/RFC5/PCNA/RFC2/RAE1/HPRT1/POLR2D/NCBP2/UMPS/GTF2H3/ALYREF/TYMS/PRIM1/ARL6IP1/SSRP1/RFC3/DGUOK/RPA3/NME1/TMED2/POLA2/NELFCD/DDB1/POLR2J/CANT1/SAC3D1/NUDT21/POLB/POLA1/BCAP31/MRPL40/POLR2F/ADRM1/POLR2H/LIG1/CSTF3/VPS37D/POLR2G/GTF2A2/POLR2K/ITPA/POLR1C/BOLA2/SEC61A1/TAF6/POLR2I/ZNRD1/GTF2H5/POLR3C/SNAPC5/CLP1/ERCC2/NME4/APRT/TP53/RBX1/BRF2/SF3A3/GTF3C5/GTF2H1/RPA2/SUPT4H1/ADA/MPC2/POLD3/TARBP2/ERCC8/ERCC4/TAF9/TAF13/UPF3B/POLR1D/EDF1/POLE4/POLD1/GTF2F1/NELFE/POM121/RNMT/NT5C3A/TAF12/COX17/POLR2A/TSG101/CETN2/POLR2E/DAD1/NELFB
SPERMATOGENESIS,131,1.952059014378,0.000836120401337793,0.00335976347265153,NCAPH/CCNB2/TTK/NEK2/AURKA/KIF2C/CDK1/RFC4/BUB1/CDKN3/RPL39L/DBF4/TOPBP1/COIL/TSN/MAP7/GMCL1/EZH2/DMRT1/STRBP/HSPA4L/PSMG1/VDAC3/GAD1/MLF1/SCG5/YBX2/IL12RB2/IDE/THEG/CLPB/TALDO1/SLC2A5/CLGN/ACRV1/NF2/CCNA1/DMC1/GSTM3/CNIH2
