"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ACAN","#","#",2,2.84483503376018,0.0494303088816247,13.9684257034169,141
"ACKR2","#","#",4,-2.01122655580902,0.0809878916371907,14.754331568057,131
"ACTA1","#","#",4,-3.81305148243306,0.177557807303589,0.081354101891906,252
"ADD2","#","#",1,2.70262120770045,0.00940712846299667,6.33179328014543,190
"ADIPOQ","#","#",2,-2.1622242638382,0.0311378367578623,14.5584282046818,134
"ADM","#","#",2,2.13513968470406,0.0304120294154851,14.8236110291671,129
"AFP","#","#",2,-2.15523068832724,0.0309504242664152,15.3076010956056,116
"AGR2","O95994","Oncogene",1,-2.64097991959776,0.008581202771537,-0.230408518368695,321
"AHNAK2","#","#",1,4.01167306924618,0.0269469884688837,6.37974852066014,179
"ALB","#","#",2,-4.96029109868606,0.106119893637405,0.053199823232411,256
"ALPI","#","#",2,2.80682503072123,0.0484117241307664,17.2821259685945,33
"AMY2A","#","#",2,-4.46910665426069,0.0929572273666932,0.668587002463386,233
"ANGPT2","#","#",1,3.39786116161128,0.0187225817466398,16.6688348722783,58
"ANK1","#","#",5,2.10848898837807,0.114452172748828,17.3235841267078,28
"ANXA4","#","#",2,2.02700166220584,0.0275141674870928,0.581118331526063,235
"APBB1IP","#","#",1,2.40030233350124,0.00535638694055603,6.32071826107992,197
"APOH","#","#",2,-2.21674585908562,0.0325988959809983,16.6482519193536,59
"AQP2","#","#",1,-8.5342907165608,0.0875451074008441,6.54542814222759,162
"AURKB","#","#",12,2.32390697514189,0.346848639737207,15.8858496677437,95
"AVP","#","#",2,-2.5210561687001,0.0407537451291191,-0.225451319528331,320
"AVPR2","#","#",1,-3.18321253294968,0.015846525413215,-0.232349510453567,323
"BDNF","#","#",1,2.10739465797569,0.00143174516410153,15.9891478221665,89
"BIRC3","#","#",1,2.12149833784806,0.00162071901440957,16.3283035722122,72
"BIRC5","#","#",2,2.01926873471947,0.0273069419836105,16.9728162774137,48
"BMP7","#","#",6,-2.97147510518915,0.212082021870725,0.0623926743248977,255
"BMPR1B","#","#",10,-2.10026781288759,0.254607831297005,-0.00631785857489187,265
"BPI","#","#",3,-2.25411571153721,0.0638030057479581,14.7868873408458,130
"BPIFB1","#","#",1,2.013147377768,0.000168934920031803,6.30653539364432,220
"BRS3","#","#",1,2.17675056189849,0.00236103825104708,-0.256639247411282,345
"C1QA","#","#",14,2.57881215551063,0.456940551870785,16.0489373674344,85
"C1QB","#","#",2,2.72762884854883,0.0462894400729532,17.0353006724552,43
"C1QC","#","#",2,2.68450766550813,0.0451338869034569,6.42947281083998,170
"C3","#","#",8,3.31016770621178,0.328015916948436,16.5962892566747,64
"C7","#","#",2,-3.32904401529099,0.0624060480393002,16.6269153489102,62
"CA10","#","#",1,-4.68441819540322,0.0359610357187031,6.40439357505231,174
"CA9","#","#",1,6.56292739962507,0.0611309998963755,6.47321006990928,163
"CALB1","#","#",1,-7.43823482171064,0.0728591598696298,0.115708347609054,247
"CALCA","#","#",4,-2.65357987370835,0.115415212971786,0.072902525698868,254
"CAMK2A","#","#",7,-3.03028965110727,0.257412884162095,16.1293345970529,82
"CAV1","#","#",7,2.48693379528745,0.206450274145686,14.0515396940137,139
"CAV2","#","#",2,2.2026562923784,0.0322213264822674,15.8220730735842,101
"CAV3","#","#",2,-2.53064920011807,0.041010817340001,15.0793111722212,125
"CCL11","#","#",3,-2.4226582342916,0.0705778609106718,14.7508015447806,132
"CCL18","#","#",1,5.67439990023335,0.0492257053786249,16.190728923446,80
"CCL20","#","#",5,2.40738593323886,0.134476629850379,17.476468066674,16
"CCL4","#","#",4,2.29234487125864,0.0960546007353462,16.8316049147089,52
"CCL5","#","#",4,3.23712437355245,0.146690639515651,17.2860891628276,32
"CCND1","P24385","Oncogene",4,2.53239731246317,0.108920359034111,1.41208156953897,223
"CCR5","#","#",7,2.87257260803133,0.24262023571057,17.0138142848477,45
"CCR6","#","#",2,2.31376151938556,0.0351987029863989,15.2701751778573,117
"CCR8","#","#",2,2.87852939372737,0.0503332438594866,6.44368822722669,168
"CD180","#","#",1,2.14700126569843,0.00196243029214881,-0.2652863353806,351
"CD2","#","#",2,2.89238700485398,0.050704597457181,16.2454911996258,76
"CD244","#","#",2,2.21708429151086,0.0326079652280381,-0.425553196059209,361
"CD247","#","#",11,2.09767345540472,0.282366740735787,17.1323297415991,36
"CD27","#","#",1,3.20567040991522,0.0161474363469804,-0.209674857074968,310
"CD36","#","#",2,2.42346785193447,0.0381385921858917,6.41034717126593,173
"CD3D","#","#",9,2.56801417367267,0.282872141407143,17.408043942093,22
"CD3E","#","#",7,2.38106319937929,0.19652042461212,17.5532656724335,10
"CD3G","#","#",4,2.58835034190875,0.111919196077043,17.5997288165327,6
"CD70","#","#",1,6.3427268133732,0.0581805534171111,-0.104068105876603,283
"CD80","#","#",2,2.16720315038335,0.0312712600018948,-0.261087905482079,348
"CD86","#","#",2,2.31292604779829,0.035176314179492,-0.256457213222259,344
"CD8A","#","#",4,3.55306045976506,0.163623428462404,17.5900533572275,8
"CD8B","#","#",3,3.0775909813921,0.0969040035980579,6.57101603847868,160
"CDC25C","#","#",1,2.54729054621817,0.00732586786740503,6.3261029637802,192
"CDC45","#","#",2,2.52416210028614,0.0408369772863886,0.345522683995638,241
"CDCA2","#","#",1,4.8564056541946,0.0382654791396131,6.41069408933607,172
"CDK5R2","#","#",1,2.56129917441523,0.00751356812945639,6.32661614981523,191
"CDKN2A","Q8N726/P42771","TS",10,4.72052028609874,0.605692940376904,1.72426770317981,222
"CEL","#","#",1,-3.65507928505963,0.022169022646952,16.0174156506701,87
"CENPA","#","#",4,2.06392768504573,0.0838124410874243,17.3343437912104,27
"CFHR4","#","#",2,-2.49695277327202,0.0401078269743168,7.44055498084068,153
"CHGA","#","#",2,-2.77497935154807,0.0475583297452605,15.7986999992192,102
"CHRNA1","#","#",2,4.88734794965784,0.104165177159125,-0.0531084390424694,272
"CHRNA4","#","#",2,-4.36437768601648,0.0901507206185261,0.00176838101097156,264
"CHRND","#","#",2,2.81150455387008,0.0485371250920824,-0.0768389654090199,276
"CLDN16","#","#",1,-5.61153490789777,0.0483833833918281,-0.125190823090075,285
"CLDN19","#","#",1,-5.3852081967081,0.0453508535536503,-0.132709144988049,288
"CLPS","#","#",6,-6.65046034364558,0.507848238359908,1.23535958098829,227
"CNKSR1","#","#",1,-2.97884958054704,0.0131082858668463,6.3419125110529,186
"CNTN1","#","#",3,-3.4187319152969,0.110616747299218,12.2622126625015,149
"COL1A1","#","#",3,2.58938164616807,0.0772795937982385,17.4870927477412,14
"COL4A1","#","#",1,2.01275196301732,0.0001636367958131,6.3065209081911,221
"COL4A3","#","#",1,-2.38222939656492,0.00511422939655777,6.32005618491393,198
"COL4A4","#","#",1,-2.15491357990368,0.00206844662928522,6.31172879546434,211
"COL4A5","#","#",1,-2.20676668030898,0.00276322133508353,6.31362835954917,207
"COL4A6","#","#",1,-4.25843287503705,0.0302532993766433,6.38878821280961,176
"CP","#","#",3,5.10495773235475,0.178397479992078,14.3981201995727,136
"CPAMD8","#","#",1,-3.02259646555913,0.0136944461721375,-0.231684866634817,322
"CR1","#","#",3,-2.11604938751284,0.058253193553225,15.525110595438,110
"CR2","#","#",4,-3.57991147152336,0.165062524959929,17.2879869137516,31
"CRP","#","#",4,2.75712386903317,0.120964717115352,15.9123558154205,93
"CRYAA","#","#",2,-4.44982754407275,0.0924405894798868,0.0397857687399973,258
"CSPG4","#","#",3,2.55215691821087,0.0757832821478607,16.0394291747481,86
"CSRP3","#","#",4,-2.21471275213652,0.0918938595413205,-0.194895041717055,306
"CTLA4","#","#",4,2.06112105123839,0.0836620178215029,-0.308016564198928,358
"CTSE","#","#",1,2.72603015571284,0.00972078270625758,6.33265083343656,189
"CTSS","#","#",9,2.11830701564174,0.228641894733994,0.673703562839892,232
"CTSV","#","#",6,-2.72485446063287,0.192255344072165,6.83171347074447,155
"CXCL10","#","#",3,2.80607816353668,0.0859900811900535,17.1965680428103,35
"CXCL11","#","#",2,3.40117694622124,0.0643390524488229,15.8856008548807,96
"CXCL13","#","#",1,3.86247992005078,0.0249479638102007,15.8699375288681,97
"CXCL5","#","#",1,5.07083119961978,0.0411385464022062,6.41854926215652,171
"CXCL9","#","#",2,3.56827637358061,0.0688169507644579,15.946360196532,91
"CXCR3","#","#",9,2.96526768979205,0.330776996347096,16.6325951181151,61
"CXCR4","#","#",2,2.71298727543816,0.0458970780127918,6.43155943029958,169
"DACH1","#","#",1,-2.14729344086599,0.00196634511912148,6.31144964258198,212
"DACH2","#","#",1,-3.43850733404134,0.0192671959022291,6.35875141466767,184
"DAZ1","#","#",2,2.11498977145382,0.0298720559156993,-0.270642322580549,353
"DAZL","#","#",2,-2.46009729528099,0.0391201809636395,-0.264827019572565,350
"DCN","#","#",5,-2.42523556308851,0.135672457219472,17.0342475419687,44
"DLGAP2","#","#",2,-2.96952826072667,0.0527718139952448,15.8971445753515,94
"DLL4","#","#",1,2.30979884839964,0.00414373944708506,6.31740279549528,203
"DNASE1","#","#",2,-2.43542195878828,0.0384589360421904,0.0137179291573337,262
"DPT","#","#",2,-2.22368238303547,0.0327847796156836,14.7006190411297,133
"DRD2","#","#",2,-2.10469947492137,0.0295962985283868,-0.203423232717649,309
"E2F2","#","#",3,2.03266002864806,0.0549012155527312,1.15355347005037,228
