"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCB11","#","#",1,-4.19849980835577,0.00641634994446158,5.1988117208653,605
"ACAN","#","#",1,4.38586332708955,0.0069641100215359,-0.0365722483529963,756
"ACE2","#","#",2,2.65622411985326,0.00967299500929134,7.93015204451619,79
"ACKR1","#","#",5,-3.09647686673686,0.0394049567931293,5.23616868204552,547
"ACTA1","#","#",23,-5.72371431374898,0.379009373106735,7.35189274928058,433
"ACTG2","#","#",1,-5.07750099625724,0.00898612319427683,-0.0331734488907222,750
"ACTN2","#","#",13,-4.17622116420665,0.152862165837647,7.63453254295971,374
"ACTN3","#","#",7,-3.27390964480653,0.0611412424223961,6.08018950119121,534
"ADAM12","#","#",3,3.89602338687122,0.028312221996456,7.84000780794128,220
"ADAMTS1","#","#",1,-2.90572764613062,0.00263691100135472,-0.0406820994771869,776
"ADAMTS12","#","#",2,2.42188579169023,0.0083028117253359,-0.0481595224938945,821
"ADAMTSL1","#","#",2,-2.04500001509782,0.00609914920416173,-0.0430053082186589,791
"ADCY5","#","#",2,-4.2640672081456,0.0190741021182777,7.84384190184892,213
"ADD2","#","#",3,-2.60792892944463,0.0170149311890361,7.84728309349239,207
"ADGRB1","#","#",2,-2.69428230735119,0.00989552238130121,-0.0452345178375715,805
"ADRA1A","#","#",2,-4.93793779359745,0.0230142437885427,7.86849159120586,177
"ADRA2B","#","#",1,-2.54968487863665,0.00159601459269281,7.89480850156719,140
"ADRB1","#","#",2,-2.46337947848464,0.00854542656551616,7.88984730438703,148
"ADRB2","#","#",9,-2.72750259076893,0.0659070275361653,7.71220819927283,349
"ADRB3","#","#",2,-5.26364009321743,0.0249186349736444,7.78623190741095,289
"AFP","#","#",1,3.20806011423854,0.00352078453848746,5.19553272442383,640
"AGER","#","#",6,-2.52344080475856,0.0384058761880253,7.77449556381472,300
"AGT","#","#",8,2.16768357517456,0.0448400177305607,7.38089621058457,429
"AHNAK","#","#",2,-2.22224597434256,0.00713551168233402,7.86307365438676,186
"AJUBA","#","#",6,2.19013867962764,0.0325593934046776,7.96796553006356,34
"AKAP12","#","#",4,-3.15601466520359,0.0310485985145501,7.88560689183937,153
"AKAP6","#","#",4,-3.15798392490794,0.0310716271565126,7.95780178455152,45
"AKR1C4","#","#",2,7.4907796988291,0.037940787527883,5.23451062735246,548
"AKT3","#","#",8,-2.56613272441062,0.0541589945803007,7.7996205192423,275
"ALDOB","#","#",1,2.87377278382379,0.00254349047873442,5.19442601699543,659
"ALK","Q9UM73","Oncogene",11,-4.76410676532825,0.147349291311393,7.90308438055155,119
"ALPP","#","#",2,4.86914348707331,0.0226120014000713,-0.041350156585554,779
"AMPD1","#","#",2,-3.00367990552823,0.0117045794845131,-0.0301166989860237,743
