"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCA4","#","#",3,3.5242299417651,0.0197982126496508,6.89316196910603,226
"ABCB1","#","#",5,-2.72394281304381,0.0268449059436742,6.913694102565,171
"ABCC8","#","#",4,-3.75109697819061,0.030047168593261,-0.0358064187524066,1113
"ABCC9","#","#",2,-4.66281553427824,0.0169142052094656,-0.0299266567646955,1070
"ABLIM3","#","#",2,-3.59440821121635,0.0119725059475693,6.92741798403144,133
"ACAP3","#","#",1,-2.15218057461392,0.000324542144645703,5.23068641319853,993
"ACKR1","#","#",6,-3.35100123197172,0.0418454166349985,5.26640948994998,785
"ACKR2","#","#",8,2.61694196323561,0.0437638232991992,0.831853563353043,1019
"ACKR4","#","#",4,-2.986408984887,0.0229733531849955,6.58599034296117,481
"ACPP","#","#",2,2.53888877293006,0.00709041695725031,6.85238368918736,281
"ACTA1","#","#",33,-3.74992944057936,0.281532062431555,5.67805446659423,683
"ACTC1","#","#",11,-3.57021275173018,0.0861703903543336,6.67781817466578,438
"ACTG2","#","#",1,-5.80553646467845,0.00877346687385721,-0.02174258928026,1037
"ACTN1","#","#",15,-2.07589266081315,0.0673594295872932,6.25360340408441,577
"ACTN2","#","#",9,-2.1577653021329,0.0402586636211235,6.05001744101098,623
"ADAMTSL1","#","#",2,-3.06417753256057,0.00952003253523916,-0.0351789574923995,1104
"ADARB1","#","#",1,-2.53474413558703,0.00120927684557949,5.23144760732109,962
"ADCYAP1","#","#",4,-3.14283124197331,0.0244203514144204,6.35850551790085,550
"ADIPOQ","#","#",4,-5.02753264304486,0.0418549520981351,6.78767218091533,356
"ADM2","#","#",1,4.4700573280837,0.00568497425445294,6.93443774710327,111
"ADORA1","#","#",2,2.28888139496872,0.0059340590322601,6.90957574738821,190
"ADRA1A","#","#",5,-4.43166233470508,0.0465916732054674,6.11212104959029,606
"ADRA1D","#","#",3,-3.73414177159026,0.0212545689176949,6.3500934530218,552
"ADRB2","#","#",18,-2.05560212811753,0.080917206792576,5.5945668895515,700
"ADRB3","#","#",3,-5.00893773767375,0.0300990304100722,6.5068105029027,514
"AFF3","#","#",1,-2.2170267717019,0.000474508546676763,5.23081543893211,986
"AGR2","O95994","Oncogene",2,4.47381498287973,0.0160400218664805,5.24420745039199,816
"AGRN","#","#",2,2.32232644289968,0.0060887522518843,-0.0353907485911948,1107
"AGTR1","#","#",4,-4.14648663354775,0.033704756342548,6.6153918531654,464
"AHNAK","#","#",1,-2.66956995179483,0.00152108144578067,5.23171587285743,953
"AIFM1","#","#",3,2.26374652734681,0.0110530508220264,6.56861800363885,486
"AKAP13","Q12802","Oncogene",4,-2.44643783043341,0.0179783012084489,6.76133644313805,385
"AKR1C4","#","#",4,2.67227774706422,0.0200674537727028,5.24767250889239,804
"AKT3","#","#",15,-3.76208547393737,0.125852976010329,5.49551648553979,723
"ALDH1A2","#","#",1,-3.44287182584856,0.00330945616848603,5.23325452656509,917
"ALDOB","#","#",1,-2.11386565745049,0.000235933243443342,5.23061017726619,997
"ALK","Q9UM73","Oncogene",14,2.98512218382115,0.091996806041159,6.75791505406565,388
"ALPI","#","#",1,4.07367538514497,0.00476828250563764,6.40241584651712,541
"ALPL","#","#",2,3.17506371596319,0.0100329138669628,6.89937669028792,218
"AMBP","#","#",2,4.67110140350544,0.0169525298006214,6.95689639880787,40
"AMPH","#","#",5,-2.43190852814611,0.0234680440039985,6.55642891698579,491
"ANGPT1","#","#",17,-2.11323481175661,0.0784291529524784,5.27508424228734,781
"ANGPT4","#","#",14,-3.74459272449299,0.116586234159828,5.26405901986896,787
"ANGPTL1","#","#",2,-4.30932604328019,0.015279211963868,6.82007749483973,317
"ANK1","#","#",8,2.72903818389235,0.0458377357441017,5.96792263804168,636
