"source_genesymbol","target_genesymbol","interact","weight"
"RYR2","ITPR1",0,0.76627
"RYR2","AKAP6",0,0.88173
"TRPC3","SLC2A4",0,0.57575
"TRPC4","TRPC3",0,0.47842
"TRPC3","SLC8A1",0,0.61625
"TRPC3","AQP2",0,0.28258
"PTGFR","AGTR1",0,0.64251
"ACTC1","DMD",0,0.87606
"ACTA1","DMD",0,0.51953
"PGM5","DMD",0,0.91565
"RGS2","ADCY5",0,0.66004
"LRRK2","RGS2",0,0.7249
"CACNA1C","BIN1",0,0.74562
"TNNT2","TPM1",0,0.71454
"TPM1","TPM2",0,0.93545
"TNNT1","TPM1",0,-0.0563
"ANK2","SLC8A1",0,0.50441
"KCNMA1","MAP1A",0,0.90186
"KCNMA1","CACNA1H",0,0.93577
"KCNMB1","KCNMA1",0,0.94165
"BRCA2","FLNA",0,-0.15584
"FLNA","DCN",0,0.57868
"FLNC","FLNA",0,0.94954
"ASB2","FLNA",0,0.89052
"GRIN1","NEFL",0,-0.04187
"IL1RAPL1","NCS1",0,0.44728
"NUF2","NDC80",0,0.48643
"ATF3","TP73",0,-0.0688
"SHH","ADCYAP1",0,0.11503
"ELANE","SERPINA1",0,-0.03634
"BUB1B","TP73",0,0.29293
"GPRASP1","PER1",0,0.6832
"MCM10","MCM2",0,0.58162
"MCM10","CDC45",0,0.61207
"SPAG5","AURKA",0,0.6342
"AOC1","AURKA",0,0.03457
"MAP1A","ACTA1",0,0.53
"MAP1A","MAP1B",0,0.92645
"HJURP","CENPA",0,0.66094
"DTL","CDT1",0,0.59979
"HDAC4","ESR1",0,0.02858
"FHL1","ESR1",0,0.04669
"NR2F1","ESR1",0,0.06339
"HIST1H1C","CDK1",0,0.18109
"TSPYL2","CCNB1",0,-0.31837
"RUNX1T1","ZBTB16",0,0.59503
"ZBTB16","GATA1",0,0.40282
"HBEGF","ZBTB16",0,0.06848
"ZBTB16","GNAO1",0,0.56681
"RNF112","ZBTB16",0,0.55135
"MYLK","PPP1R12A",0,0.93688
"MMP9","PRSS2",0,-0.00237
"BLM","APBB1",0,-0.26905
"TSHZ3","APBB1",0,0.67299
"UHRF1","HIST2H3A",0,0.04768
"UHRF1","EME1",0,0.34592
"TRIM63","KCNMB1",0,0.65744
"RAD51","POLQ",0,0.56315
"KIF23","ACTA1",0,-0.0746
"CENPE","FANCA",0,0.35974
"ACTN3","ACTN2",0,0.36953
"ACTN2","KCNA5",0,0.48947
"PALLD","ACTN2",0,0.81454
"MAPT","BIN1",0,0.60807
"MAD2L1","UBD",0,0.10751
"ACTA1","VIL1",0,-0.01432
"DTNA","ACTA1",0,0.51598
"NEXN","ACTA1",0,0.56068
"ACTA1","GAS7",0,0.37701
"ACTA1","CNN1",0,0.57332
"ACTA1","SPRR1A",0,-0.03428
"ACTA1","SMTN",0,0.51526
"LRRK2","MAP1B",0,0.71539
"FBLN5","SOD3",0,0.62276
"KLF9","PGR",0,0.43354
"RAD51","BLM",0,0.61675
"RAD51AP1","RAD51",0,0.50953
"FGF2","DCN",0,0.49867
"MYO3A","MPDZ",0,-0.00106
"THBS1","DCN",0,0.46357
"SYNC","DES",0,0.86868
"COL14A1","DCN",0,0.66772
"FHL1","KCNA5",0,0.59422
"ADAMTS5","MMP13",0,0.06336
"KCNA5","KCNA2",0,0.25641
"ANXA6","A2M",0,0.6318
"AMBP","A2M",0,-0.02235
"CTSE","A2M",0,-0.07728
"DOK6","NTRK3",0,0.19943
"GRIA1","CXCR2",0,-0.00936
"CNTNAP2","CNTN1",0,-0.00602
