"source_genesymbol","target_genesymbol","interact","weight"
"RYR2","PKD2",0,0.63018
"RYR2","ITPR1",0,0.74148
"RYR2","AKAP6",0,0.57946
"HAVCR1","PKD2",0,-0.17883
"ITPR1","PKD2",0,0.89348
"PKD2","TPM1",0,0.85219
"PKD2","FLNA",0,0.85689
"PKD2","ACTN2",0,0.37365
"JPH2","CAV3",0,0.31007
"ELAVL4","GAP43",0,0.92593
"DLG2","GRIN2B",0,-0.34819
"GRIN2B","PTPN5",0,-0.3129
"CAV1","KCNA5",0,0.67797
"PTGIS","CAV1",0,0.7207
"CASR","FLNA",0,-0.14218
"PI4K2B","CASR",0,-0.04852
"ITPR1","BRCA1",0,-0.5358
"TRPC1","DMD",0,0.84399
"NOS1","DMD",0,0.78468
"ACTA1","DMD",0,0.19979
"PGM5","DMD",0,0.88326
"SSTR5","DRD2",0,0.02522
"RGS2","ADCY5",0,0.73781
"RGS2","ADRA1A",0,0.47724
"LRRK2","RGS2",0,0.73478
"KCNE2","CACNA1C",0,0.15449
"TPM1","TPM2",0,0.94639
"TNNT1","TPM1",0,-0.12272
"TRPC1","FGFR1",0,0.89039
"L1CAM","FGFR1",0,0.68121
"FLRT1","FGFR1",0,0.66676
"CAV3","SLC8A1",0,0.27834
"ANK2","SLC8A1",0,0.7901
"KCNMA1","TRPC1",0,0.77294
"KCNMA1","MAP1A",0,0.89955
"KCNMA1","CACNA1H",0,0.89854
"KCNMB1","KCNMA1",0,0.93101
"KCNMB2","KCNMA1",0,0.37159
"SCG3","CHGA",0,0.39261
"CAV3","TRPC1",0,0.34884
"CAV3","NOS1",0,0.22531
"CAV3","SVIL",0,0.23988
"SLC22A11","CAV3",0,-0.15808
"ACTA1","TNNI3",0,-0.07156
"SNAP25","CENPF",0,-0.45822
"TRIM9","SNAP25",0,0.53183
"BRCA1","FLNA",0,-0.49253
"BRCA2","FLNA",0,-0.43272
"FLNC","FLNA",0,0.90066
"ASB2","FLNA",0,0.9251
