"source_genesymbol","target_genesymbol","interact","weight"
"RYR2","PKD2",0,0.58458
"RYR2","ITPR1",0,0.72094
"RYR2","AKAP6",0,0.52256
"RYR2","RTN1",0,0.27236
"HAVCR1","PKD2",0,-0.30021
"ITPR1","PKD2",0,0.86456
"PKD2","TPM1",0,0.83115
"PKD2","FLNA",0,0.83569
"PKD2","ACTN2",0,0.29357
"JPH2","CAV3",0,0.23316
"ELAVL4","GAP43",0,0.92096
"DLG2","GRIN2B",0,-0.38308
"GRIN2B","PTPN5",0,-0.32726
"CAV1","NOS2",0,-0.36437
"CAV1","KCNA5",0,0.61596
"PTGIS","CAV1",0,0.66539
"ITPR1","BRCA1",0,-0.466
"TRPC1","DMD",0,0.81068
"NOS1","DMD",0,0.72716
"ACTA1","DMD",0,0.13119
"PGM5","DMD",0,0.85488
"SSTR5","DRD2",0,0.11706
"RGS2","ADCY5",0,0.67815
"RGS2","ADRA1A",0,0.35992
"LRRK2","RGS2",0,0.70262
"KCNE2","CACNA1C",0,0.09013
"TPM1","TPM2",0,0.9318
"TRPC1","FGFR1",0,0.85308
"L1CAM","FGFR1",0,0.6095
"FLRT1","FGFR1",0,0.5668
"CDC20","CDH1",0,0.49159
"HIST1H3J","CDH1",0,0.10931
"RRM2","CDH1",0,0.69214
"SIX1","CDH1",0,0.14679
"ANK2","CDH1",0,-0.72833
"CAV3","SLC8A1",0,0.19675
"ANK2","SLC8A1",0,0.74675
"KCNMA1","TRPC1",0,0.7173
"KCNMA1","MAP1A",0,0.87619
"KCNMA1","CACNA1H",0,0.87576
"KCNMB1","KCNMA1",0,0.90689
"KCNMB2","KCNMA1",0,0.28978
"CAV3","TRPC1",0,0.27458
"CAV3","NOS1",0,0.14117
"CAV3","SVIL",0,0.14723
"SLC22A11","CAV3",0,-0.2066
"ACTA1","TNNI3",0,-0.02828
"SNAP25","CENPF",0,-0.49415
"TRIM9","SNAP25",0,0.46405
"BRCA1","FLNA",0,-0.42324
"BRCA2","FLNA",0,-0.52424
"FLNC","FLNA",0,0.87543
"ASB2","FLNA",0,0.90959
"PHLDB2","FLNA",0,0.53502
"PDZD3","CFTR",0,0.20808
"GRIN1","NEFL",0,-0.01392
"GRIN1","DLG4",0,-0.15228
"TRDN","RYR1",0,0.56668
"IL1RAPL1","NCS1",0,0.51707
"DSN1","NDC80",0,0.76233
"NUF2","NDC80",0,0.87472
"CENPH","NDC80",0,0.80319
"KCNQ1","KCNE1",0,-0.15271
"STOM","SLC2A1",0,-0.30297
"CXCL12","ELANE",0,0.13652
"GZMB","ELANE",0,-0.14331
"ELANE","SERPINA1",0,-0.09131
"F5","ELANE",0,-0.06234
"ELANE","SERPINA3",0,0.49295
"BUB1B","TP73",0,0.52892
"DBF4","CDK1",0,0.89401
"GPRASP1","PER1",0,0.69346
"USP44","PTTG1",0,-0.43862
"MCM10","MCM2",0,0.92142
"MCM10","CDC45",0,0.88754
"AJUBA","AURKB",0,0.46472
"AJUBA","SLC1A2",0,-0.17048
"CDC25C","PCNA",0,0.81619
"SPAG5","AURKA",0,0.82605
"USP2","AURKA",0,-0.18829
"EYA1","PAX2",0,0.09599
"FOXG1","CDK1",0,0.21481
"MAP1A","ACTA1",0,0.13984
"MAP1A","MAP1B",0,0.76299
"HGFAC","MET",0,-0.40413
"CHRDL1","BMP4",0,-0.27426
"CCND1","MYBL2",0,0.37102
"CCNF","MYBL2",0,0.82883
"HJURP","CENPA",0,0.83682
"GINS4","MCM2",0,0.90723
"DTL","CDT1",0,0.73518
"ACE2","CDK1",0,0.50197
"NOS1","ATP2B4",0,0.6842
"DLGAP2","NOS1",0,0.61172
"TSPYL2","CCNB1",0,-0.5267
"RUNX1T1","ZBTB16",0,0.50183
"ZBTB16","GNAO1",0,0.54677
"RNF112","ZBTB16",0,0.55379
"LCN2","MMP9",0,0.14371
