"source_genesymbol","target_genesymbol","interact","weight"
"PTEN","MME",0,0.49827
"MVP","PTEN",0,0.52898
"PTEN","WWP2",0,0.65724
"ECSCR","PTEN",0,-0.33075
"STAP2","EGFR",0,0.34519
"LINGO1","EGFR",0,0.30142
"IL13RA2","EGFR",0,0.42033
"EGFR","HIP1",0,-0.40836
"RAB31","EGFR",0,-0.41068
"IGFBP2","EGFR",0,0.46585
"SLC5A1","EGFR",0,-0.07015
"KDR","GABARAP",0,-0.39625
"GABRG2","GABARAP",0,-0.12961
"PTPN13","CRIP2",0,0.23242
"SEMA4A","HAVCR1",0,-0.07902
"PRKCD","GAP43",0,-0.24479
"ELAVL4","GAP43",0,0.10963
"TRPC4","SLC9A3R2",0,0.1719
"SLC9A3R2","PODXL",0,0.59899
"CAV1","NOS2",0,0.09121
"CAV1","IGFBP3",0,0.50413
"MCL1","CAV1",0,-0.32403
"CAV1","FLOT1",0,-0.27736
"CAV1","NCF1",0,-0.30653
"CAV1","CAV2",0,0.84062
"CAV1","HTR1F",0,0.17362
"CAV1","S1PR1",0,-0.17822
"MALL","CAV1",0,0.31928
"CASR","FLNA",0,-0.06816
"PI4K2B","CASR",0,0.1107
"TRPC4","VASP",0,-0.09846
"PACSIN3","ADAM12",0,0.362
"UBC","LYN",0,0.28419
"GJA1","UBC",0,-0.27225
"SLC2A1","UBC",0,0.13966
"ARRB2","UBC",0,0.59028
"USP3","UBC",0,0.33307
"BMI1","UBC",0,-0.32395
"MAPT","UBC",0,-0.16672
"CBL","UBC",0,0.1926
"LEPR","UBC",0,-0.14698
"HIF1A","UBC",0,0.22871
"CSF3R","UBC",0,0.36458
"UBC","DCN",0,-0.16432
"UBC","FTH1",0,0.64774
"NFATC4","UBC",0,-0.28984
"UBC","USP2",0,-0.24361
"RABGEF1","UBC",0,0.35333
"RAG1","UBC",0,-0.2814
"KLF1","UBC",0,0.1678
"ZC3H12A","UBC",0,0.55526
"PEX5","UBC",0,-0.41826
"UBC","TOM1",0,0.6917
"ANKS1B","UBC",0,-0.13366
"USP15","UBC",0,0.19394
"UBTD2","UBC",0,-0.44285
"TRPC1","DMD",0,0.54808
"ACTC1","DMD",0,-0.04159
"ACTA1","DMD",0,-0.01986
"DAG1","DMD",0,0.71431
"ARRB2","DRD2",0,-0.12714
"PAWR","DRD2",0,0.18318
"STAT3","STMN1",0,-0.56036
"KCNQ2","KCNQ3",0,-0.05311
"RGS2","ADCY5",0,-0.2026
"LRRK2","RGS2",0,0.81289
"KRT8","ANXA1",0,-0.25863
"PLA2G4A","ANXA1",0,0.66611
"S100A11","ANXA1",0,0.5869
"VMP1","TJP1",0,-0.47114
"CDC42BPB","TJP1",0,0.92065
"UBN1","TJP1",0,-0.42925
"CSF2RB","EPOR",0,0.16673
"STXBP2","STX3",0,0.47521
"STMN2","RGS20",0,-0.00521
"IQGAP1","EPB41",0,0.35887
"TUBA4A","EPB41",0,0.10525
"EPB41","GYPC",0,0.41767
"EPB41","SLC4A1",0,0.61825
"BCAM","EPB41",0,-0.1419
"SPTB","EPB41",0,0.66065
"KCNJ8","ABCC8",0,0.15624
"CDC20","CDH1",0,0.17321
"IRS1","CDH1",0,0.65972
"MYO6","CDH1",0,0.78732
"SIX1","CDH1",0,0.82504
"SCG3","TRPA1",0,0.04224
"CASP4","APP",0,-0.38
"NUMB","SELP",0,0.35531
"CAV3","SLC8A1",0,-0.05071
"CTTN","CTNND1",0,0.81257
"CTTN","KCNA2",0,0.45261
"SHANK2","CTTN",0,0.59235
"SRCIN1","CTTN",0,0.5516
"CTTNBP2","CTTN",0,0.57151
"CAV3","TRPC1",0,-0.05282
"DAG1","CAV3",0,-0.04905
"CAV3","DYSF",0,-0.03291
"ACTA1","TNNI3",0,0.00608
"PAPPA","TNNI3",0,-0.02025
"TNNC1","TNNI3",0,0.14745
"SMAD5","FLNA",0,-0.31706
"FLNA","DCN",0,-0.13041
"FLNA","FLNB",0,-0.29361
"CALCR","FLNA",0,-0.10157
"KCNJ2","FLNA",0,-0.26918
"FLNA","F3",0,-0.14631
"PHLDB2","FLNA",0,-0.11652
"PDLIM2","FLNA",0,0.13027
"HOMER1","TRPC1",0,0.58568
"S100A13","SYT1",0,0.26827
"ARL1","SYT1",0,0.6737
"SV2B","SYT1",0,0.16738
"ACTA1","VASP",0,-0.00857
"KIF3A","PPP1R15A",0,-0.36768
"TRPV5","PDZD3",0,0.40614
"CD2AP","CBL",0,-0.51173
"KCND2","NCS1",0,0.23181
"NUF2","NDC80",0,0.96931
"CENPH","NDC80",0,0.90562
"FASLG","FN1",0,-0.13321
"FASLG","PSTPIP1",0,-0.04189
"FASLG","MMP7",0,-0.06441
"FSHB","CGA",0,0.16398
"KCNQ1","KCNE1",0,0.53354
"CD40","MS4A1",0,-0.16316
"ZBTB16","RXRA",0,0.36198
"RXRA","IGFBP3",0,-0.42124
"PPARGC1A","RXRA",0,-0.28957
"RXRA","BHLHE40",0,0.25907
"STOM","SLC2A1",0,0.29494
"ITGAM","ELANE",0,-0.02225
"CXCL12","ELANE",0,-0.14483
"GZMB","ELANE",0,0.38953
"ELANE","TGFA",0,-0.18342
"ELANE","SERPINA1",0,-0.00429
"F5","ELANE",0,-0.05321
"SERPINB1","ELANE",0,-0.07779
"EZH2","MYCN",0,0.30671
"RUNX3","MYCN",0,-0.27053
"RNF144B","TP73",0,-0.32667
"SIVA1","TCAP",0,-0.05206
"HRAS","TP73",0,0.39501
"BUB1B","TP73",0,0.22347
"SCN2A","ANK3",0,0.33269
"SCN2A","SCN4B",0,0.31895
"ROBO1","ROBO2",0,0.8088
"NOD2","VIM",0,0.3106
"DDR1","IRS1",0,0.76668
"WWC1","DDR1",0,0.32591
"PTPRJ","FLT3",0,0.59268
"FLT3","SOCS6",0,-0.25471
"SLA","FLT3",0,0.54459
"BMI1","H2AFX",0,0.07526
"PAXIP1","H2AFX",0,0.48885
"H2AFX","LMNA",0,0.53092
"HIF1A","PER1",0,0.48692
"FBLIM1","PXN",0,-0.44193
"MCM10","MCM2",0,0.89447
"MCM10","CDC45",0,0.88218
"RAD51","IRS1",0,0.45732
"IRS1","PTPRC",0,-0.53793
"TRIM72","IRS1",0,-0.06356
"FBXO40","IRS1",0,-0.27797
"AJUBA","RARA",0,-0.40544
"AJUBA","AURKB",0,0.15026
"AJUBA","SNAI1",0,-0.20004
"AJUBA","SLC1A2",0,-0.106
"PRKCD","TOP2A",0,-0.52111
"SETMAR","TOP2A",0,0.60481
"ARRB2","PTAFR",0,0.62711
"CDC25C","PCNA",0,0.89029
"MCL1","PCNA",0,-0.5712
"FANCL","PCNA",0,0.71014
"TRAIP","PCNA",0,0.79522
"FOXG1","CDK1",0,0.40492
"APP","CAT",0,-0.28251
"COL1A2","APP",0,0.29282
"APP","CRYAB",0,0.39146
"SNCA","APP",0,-0.18176
"APP","FLOT1",0,-0.31699
"LILRB2","APP",0,-0.43098
"BGN","APP",0,0.27078
"APP","A2M",0,0.61224
"APP","TTR",0,-0.07106
"APP","KNG1",0,-0.07
"LRP1B","APP",0,0.64579
"APP","NTN1",0,0.71418
"SORL1","APP",0,-0.3072
"APP","AGRN",0,0.83018
"FBLN1","APP",0,0.63933
"MSRB1","APP",0,-0.3284
"COL25A1","APP",0,0.66676
"MEP1B","APP",0,-0.17743
"PRSS2","APP",0,-0.15002
"EXO1","MSH2",0,0.83855
"CXCR4","SDC4",0,-0.20851
"LYZ","LTF",0,0.22065
"MUC7","LTF",0,0.04996
"ITLN1","LTF",0,-0.0168
"MAP1A","ACTA1",0,-0.06642
"MAP1A","MAP1B",0,0.20371
"MAP1A","TUBA4A",0,-0.36567
"EZH2","STAT3",0,-0.57698
"IRAK3","STAT3",0,0.7376
"IL1RAP","STAT3",0,0.74483
"STAT3","ASAP2",0,-0.15791
"FRK","STAT3",0,-0.37063
"STAT3","BHLHE40",0,0.38151
"STAT3","SOX1",0,-0.17902
"STAT3","DIRAS3",0,-0.22433
"RAD51","RAD51C",0,0.82427
"HIC1","MECOM",0,0.20915
"SMAD1","COL4A1",0,0.6059
"ZBTB16","BMI1",0,-0.18739
"PHC2","BMI1",0,-0.44496
"DNMT3L","DNMT3B",0,0.0043
"TRIM25","KLF5",0,-0.29674
"ZC3HAV1","TRIM25",0,0.61764
"ALB","ORM1",0,0.45991
"EFEMP1","TIMP3",0,0.4175
"BGN","BMP4",0,0.28408
"CHRDL1","BMP4",0,0.5439
"MMP2","COL1A1",0,0.8365
"HJURP","CENPA",0,0.92492
"YAP1","SOCS6",0,0.8749
"YAP1","PRRG2",0,0.64352
"LGALS3BP","WNT4",0,0.61681
"DTL","CDT1",0,0.80423
"CDT1","HDAC11",0,0.40066
"HSPA1A","ERN1",0,0.26341
"TNFRSF10D","ERN1",0,0.20369
"TNFRSF1A","ERN1",0,0.19802
"MYO6","GIPC1",0,0.541
"RGS19","GIPC1",0,-0.57766
"GIPC1","NRP1",0,0.3715
"PLEKHG5","GIPC1",0,0.63616
"IRF5","TRIM21",0,0.48549
"JAG2","DLL1",0,0.56093
"MAGI2","DLL1",0,0.48873
"CNKSR3","DLL1",0,0.72589
"DOK1","SH2D1A",0,-0.4625
"RTKN","RAC2",0,-0.54833
"ARHGDIB","RAC2",0,0.83768
"SELL","VCAN",0,0.19883
"FBN1","VCAN",0,-0.07369
"SELPLG","VCAN",0,0.12484
"PLA2G2A","VCAN",0,0.05315
"MMP2","FN1",0,0.73276
"PDGFA","FN1",0,0.62631
"TIMD4","FN1",0,-0.05762
"GZMB","FN1",0,-0.15266
"CTSD","FN1",0,-0.1958
"LTBP1","FN1",0,0.37957
"DCN","FN1",0,0.39679
"FN1","CRP",0,-0.0119
"COL7A1","FN1",0,0.26533
"COL6A2","FN1",0,0.49913
"LPA","FN1",0,0.17666
"IGFBP5","FN1",0,0.32122
"FN1","LRG1",0,-0.17253
"TNFAIP6","FN1",0,-0.1638
"LOXL3","FN1",0,-0.22175
"COMP","FN1",0,0.23238
"HSPA1A","KRT18",0,-0.08622
"DNAJB1","HSPA1A",0,0.90003
"SOX9","HSPA1A",0,-0.10238
"CACNA1E","HSPA1A",0,-0.02881
"HSPA1A","APOB",0,0.18391
"PEX5","HSPA1A",0,-0.27067
"SLC5A1","HSPA1A",0,0.05544
"IGF2R","CTSD",0,0.30635
"IGF2R","PLIN3",0,0.48608
"PTK2B","SOCS3",0,0.52303
"IDO1","SOCS3",0,-0.1027
"SIX2","EYA1",0,0.23057
"ASCL1","CDK1",0,0.23571
"ACE2","CDK1",0,0.20761
"FUT2","CDK1",0,0.16759
"VANGL2","CDK1",0,0.43654
"NTHL1","CDK1",0,0.13004
"SMC4","CDK1",0,0.92046
"SERPINB5","COL1A2",0,0.34937
"SERPINB5","IRF6",0,0.69406
"PDK1","PTPN6",0,-0.00871
"FHOD1","HRAS",0,-0.25133
"SPI1","PIM1",0,0.37558
"SLC6A3","GPR37",0,0.06946
"MAGI1","ADGRB1",0,0.3143
"MAGI1","AMOT",0,0.54723
"MAGI1","NET1",0,0.85752
"CCL4","CXCL8",0,0.47732
"IRS2","PTPN6",0,0.36831
"SSTR2","PTPN6",0,-0.12536
"KLRB1","PTPN6",0,-0.13417
"CD300LF","PTPN6",0,0.75832
"CLEC4A","PTPN6",0,0.61418
"TREML1","PTPN6",0,0.56425
"GZMA","HIST1H1E",0,0.42856
"RUNX1T1","ZBTB16",0,-0.1139
"ZBTB16","TIMP1",0,0.22353
"ZBTB16","GATA1",0,0.35345
