"source_genesymbol","target_genesymbol","interact","weight"
"RYR2","PKD2",0,0.571
"RYR2","ITPR1",0,0.54419
"PKD1","COL2A1",0,-0.08609
"HAVCR1","PKD2",0,-0.11283
"PKD2","PKHD1",0,-0.0914
"ITPR1","PKD2",0,0.73931
"PKD2","TPM1",0,0.70392
"PKD2","FLNA",0,0.75859
"PKD2","ACTN2",0,0.26586
"CABP1","CACNA1C",0,0.66268
"TRPC3","SLC2A4",0,0.11157
"JPH2","CAV3",0,0.20169
"TRPC4","TRPC3",0,0.09935
"TRPC3","SLC8A1",0,0.1251
"TRPC3","AQP2",0,-0.0297
"DLG2","GRIN2B",0,-0.106
"TRPV4","AQP5",0,0.37904
"CAV1","ABCB1",0,0.73539
"CAV1","KCNA5",0,0.58467
"CAV1","TEK",0,0.76179
"CAV1","CAV2",0,0.89838
"CAV1","EDNRB",0,0.77641
"CAV1","S1PR1",0,0.81928
"LRP1","CAV1",0,0.7056
"PTGIS","CAV1",0,0.73415
"CASR","FLNA",0,-0.16066
"TRPV4","CDH1",0,0.37576
"PTGFR","AGTR1",0,0.22617
"ITPR1","CA8",0,-0.3377
"TRPC1","DMD",0,0.71947
"ACTC1","DMD",0,0.27191
"ACTA1","DMD",0,0.21355
"PGM5","DMD",0,0.84028
"RGS2","ADRA1A",0,0.30563
"LRRK2","RGS2",0,0.59178
"TPM1","TPM2",0,0.93568
"TNNT1","TPM1",0,-0.1515
"ABCC8","CRYBB1",0,-0.01634
"KCNJ8","ABCC8",0,0.23125
"CDC20","CDH1",0,0.31095
"RRM2","CDH1",0,0.48007
"SIX1","CDH1",0,0.32218
"CALR","THBS1",0,-0.33321
"NKX2-1","CALR",0,0.05467
"FBN1","CALR",0,-0.46002
"PDIA2","CALR",0,0.09303
"TRPV6","NEDD4",0,-0.40371
"FZD4","SLC9A3R1",0,-0.43177
"RLBP1","SLC9A3R1",0,0.03691
"LAPTM4B","NEDD4",0,-0.42507
"CAV3","SLC8A1",0,0.26178
"KCNMA1","TRPC1",0,0.74063
"KCNMA1","TBXA2R",0,0.75505
"KCNMA1","CACNA1H",0,0.85398
"KCNMB1","KCNMA1",0,0.90037
"LRRC26","KCNMA1",0,-0.11917
"SCG3","CHGA",0,0.07098
"CAV3","TRPC1",0,0.22511
"CAV3","SVIL",0,0.18321
"ACTA1","TNNI3",0,-0.05895
"RCAN3","TNNI3",0,-0.04428
"PAPPA","TNNI3",0,-0.14303
"TNNC1","TNNI3",0,0.28431
"SNAP25","CENPF",0,-0.35643
"TRIM9","SNAP25",0,0.61502
"BRCA2","FLNA",0,-0.35657
"FLNA","DCN",0,0.617
"FLNC","FLNA",0,0.9124
"CALCR","FLNA",0,-0.24783
"ASB2","FLNA",0,0.91534
"PHLDB2","FLNA",0,0.72847
"S100A1","RYR1",0,0.18701
"TRDN","RYR1",0,-0.05394
"TGM2","NME1",0,-0.33697
"S100A7","TGM2",0,-0.05395
"AKAP13","TGM2",0,0.45362
"NUF2","NDC80",0,0.7304
"CENPH","NDC80",0,0.60408
"SHH","ADCYAP1",0,-0.0414
"SLC2A1","GAPDH",0,0.39257
"CXCL12","ELANE",0,0.11683
"GZMB","ELANE",0,0.09086
"ELANE","TGFA",0,-0.12183
"ELANE","SERPINA1",0,-0.03385
"F5","ELANE",0,-0.04346
"EZH2","MYCN",0,0.26794
"RUNX3","MYCN",0,0.04637
"BUB1B","TP73",0,0.13336
"USP17L2","H2AFX",0,-0.29636
"GPRASP1","PER1",0,0.83364
"MCM10","MCM2",0,0.78543
"MCM10","CDC45",0,0.75084
"SPAG5","AURKA",0,0.77657
"AOC1","AURKA",0,0.3257
"EYA1","PAX2",0,0.0638
"PAX2","WT1",0,-0.18564
"PAX2","LMX1B",0,0.1818
"KANK2","AIFM1",0,-0.58469
"FOXG1","CDK1",0,0.3839
"MIP","CRYAA",0,-0.03644
"LYZ","LTF",0,-0.00317
"LTF","CP",0,0.33071
"MUC7","LTF",0,0.00798
"HIC1","MECOM",0,-0.49045
"MUC1","MET",0,0.1831
"EFEMP1","TIMP3",0,0.5838
"CCNF","MYBL2",0,0.80627
"HJURP","CENPA",0,0.8281
"GINS4","MCM2",0,0.55358
"IL1A","NFKBIE",0,0.03646
"DTL","CDT1",0,0.61433
"SETD7","E2F1",0,-0.4913
"ACTC1","EZR",0,-0.22793
"EZR","ERBB2",0,0.16995
"S100P","EZR",0,0.33273
"GALNT15","MUC1",0,-0.19973
"HIST1H1C","CDK1",0,0.23259
"FUT2","CDK1",0,0.25858
"SERPINB5","IRF6",0,0.17535
"PRSS21","SERPINB5",0,0.15312
"USH1C","CDH23",0,-0.17483
"CD300LF","PTPN6",0,0.50405
"CBLC","TGFB1I1",0,-0.23546
"WSB1","LRRK2",0,0.72889
"TSPYL2","CCNB1",0,-0.62587
"RUNX1T1","ZBTB16",0,0.59306
"ZBTB16","GATA1",0,0.32855
"NLRP7","ZBTB16",0,-0.13497
"ZBTB16","GNAO1",0,0.44261
"RNF112","ZBTB16",0,0.66621
"MYLK","PPP1R12A",0,0.8192
"SOX2","TLX1",0,-0.00705
"LCN2","MMP9",0,0.03011
"USH1C","ANKS4B",0,0.67036
"COL17A1","KRT18",0,0.13183
"SNCA","GAPDH",0,-0.46668
"CAMP","GAPDH",0,0.29979
"PDIA2","GAPDH",0,0.12555
"FOXP3","PPP1CA",0,0.49974
"SCIN","ACTC1",0,-0.10382
"ACTC1","ABLIM3",0,0.25648
"PRLR","VAV1",0,-0.24139
"ECT2","RACGAP1",0,0.69679
"RACGAP1","VAV1",0,0.26602
"BLM","APBB1",0,-0.70568
"LRP1","APBB1",0,0.88078
