"HGNC_ID","log2FoldChange","padj","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8","TP9","TP10","TP11","TP12","TP13","TP14","TP15","TP16","TP17","TP18","TP19","TP20","TP21","TP22","TP23","TP24","TP25","TP26","TP27","TP28","TP29","TP30","TP31","TP32","TP33","TP34","TP35","TP36","TP37","TP38","TP39","TP40","TP41","TP42","TP43","TP44","TP45","TP46","TP47","TP48","TP49","TP50","TP51","TP52","TP53","TP54","TP55","TP56","TP57","TP58","TP59","TP60","TP61","TP62","TP63","TP64","TP65","TP66","NT1","NT2","NT3","NT4","NT5","NT6","NT7","NT8","NT9","NT10","NT11","NT12","NT13","NT14","NT15","NT16","NT17","NT18","NT19","NT20","NT21","NT22","NT23","NT24","NT25","NTa26","NTa27","NTa28","NTa29","NTa30","NTa31","NTa32","NTa33","NTa34","NTa35","NTa36","NTa37","NTa38","NTa39","NTa40","NTa41","NTa42","NTa43","NTa44","NTa45","NTa46","NTa47","NTa48","NTa49","NTa50","NTa51","NTa52","NTa53"
"NTRK2",-4.47213860531719,2.63587868596856e-65,152.3,269.4,86.3,121.2,6.7,48.3,15.6,61.3,43.7,36.1,9.2,415.2,67.7,362.1,43,67.2,26.2,43,94.5,179.7,108.7,388.4,399,166.8,107.6,106.8,128,10,170.1,26.3,86.6,104.8,71.1,78.1,153.6,31.9,311.1,332.5,22.8,295.1,727.1,130.5,26.4,54.1,108.5,126.5,94.9,23.3,14.3,154.9,75.8,104.7,152.9,106,64,1023.8,246.3,599,312.4,224.8,86.7,123.7,278,212.1,390.8,225.3,5220.7,15334.1,12365.9,3403.6,7639.5,2268.5,3224.9,8767.7,10327.5,6567,4617.6,3006.1,4071,2053.4,8606.6,3018.5,2372.8,8364.1,11967.2,4737.4,2297,11190.5,2620.9,3195.7,5274.3,553.4,3133.2,7013.3,0,2138,3224,844.9,1401.5,1112.8,1900.2,1117.5,2898.2,774.6,390.6,899.3,982.6,572,575.7,2652.5,1127.1,743.9,1814.4,1020,1011.1,2298.6,1530.5,381.9,269.3
"TRPC3",4.93859578017209,4.60248550379424e-41,18.9,115.6,491,42.6,0,279.3,346.5,192.4,1615.4,32,3.7,902.7,349.5,219.2,33.4,84.9,497.2,978.7,1280.9,13.7,272.9,1400.4,148.4,1422.9,41.6,2.8,314.9,644.3,108.8,396.1,432.9,1002.6,9.6,0,6.6,348.5,9.1,460.4,3150.5,309.4,22.5,25.2,1.1,4.5,2573.4,0,98.4,2441.2,0.6,23.8,798.6,12.9,22.8,53.4,1.7,20.4,78.8,495.1,6.2,414.6,11.3,153.5,1635.6,47.9,545.8,3057.7,15.8,12.4,8.4,17,16.8,7.5,28.1,19.9,17.1,20.9,8.4,27.9,16,7.8,8,22.5,12.3,10,23.6,19.3,12.7,6.3,10,19.7,6.4,4.2,30,23.6,0,42.2,12.1,10.4,41.7,10.4,16.4,11.7,19.7,21.1,25.1,8.2,9.3,12.2,7.4,23.6,0,2.3,19.4,32.3,2.9,17.9,0,10.2,10.4
"TRPC7",-5.1282965748938,1.98995731449048e-28,0,1.1,0,1.5,3.3,0.8,1.6,0,0.8,0,0,0.8,0,0,1.2,0,0,0,13.9,0,0,0,0,0,0,2.1,6.1,0,0.8,0.8,2.3,0,0,0,0,0,0,1.5,0.8,1.6,0,0,0,0,0,1,0.7,1.8,0.6,1,4.3,2.3,0,0.9,0,0,0.7,1.2,1.6,0.9,0,2.6,4.5,0,5,0,15.2,0,2.8,14.3,1.3,18,63.3,32.8,0,35.9,4.2,6.5,66.2,39.2,31.1,634.5,1.3,0,3.4,28.9,0.7,0,1.6,0,0,119.5,10.6,6.6,0,14.8,7.6,110.3,0,2.1,10.6,5.8,5.8,22.7,0,42.8,27.9,27.8,22.1,1.4,53.6,1.2,60.3,27.7,52.8,10.1,90.7,36.6,227.9
"ITPR2",2.27841121712012,3.20000084179173e-38,21943.5,4412.5,6147.9,26515.6,6312.8,24918.4,17269.9,4819.6,18478.1,13183,23699.5,10896.5,11818.5,12313.9,4924.5,13172.2,16182.9,2420.7,2198.5,15474.8,27051.1,5090.3,15489.1,11143,10710.4,5458.2,7644.2,5529.6,15315,28336.5,9869.4,5698.9,12670.3,701.6,12127.3,3688,8314.7,17867.8,8612.5,9832.9,13897.7,16125.8,1053.1,5776.7,5617.2,3221.1,24465.2,22110.4,4132,11029.5,9014.2,5703.4,13061.7,22590.1,5532.8,10148.9,23100.7,2804.5,23573.1,11398.9,6623.3,9180,2686.8,10220.6,10410.2,13404.9,2806.3,4369.7,2591.6,3140.8,2457.5,2304.5,2418.1,4151.9,3943,3655.9,3911.4,2582.7,4030.7,3597.8,4311.3,2442.8,2512.7,4361.3,2885.1,3149.2,1617.6,4842.5,2949.3,2749.9,4203.9,1691.8,1891.2,1530.5,0,970.9,2087.3,2170.6,2053,1576.7,1086.5,1538.6,1834.1,1340.1,2060.4,1317.3,1809.2,1502.3,2176.3,2066,1489.7,774.4,3105.9,1475.1,1547.4,1533.9,1439.8,1050.3,1512.3
"GRIN2B",-3.7163928075804,1.04429510061896e-28,0,3.3,0,0,0,1.5,0.8,0,0,0,0.9,2.4,1.7,0,0,0,0,1.5,0,0,1.6,0,0,1.3,2,238.5,1.7,6.4,2.3,6.6,1.2,0,0,280.3,0,0,0,1.5,0.8,1.6,1.2,0,2.2,0,0,19.5,2.8,2.5,1.9,2,0,1.2,0,0.9,26.1,5.4,2.8,25.7,1.6,0.9,0,1.8,13.4,0,0.8,1.2,28.9,48,33,62.6,20.2,16.5,4.9,33.4,12.2,35.9,13.2,5.9,54.6,66.9,55,9.5,11.7,42,17.4,54.3,6.7,37.7,7.9,20.9,31.2,25.2,22.9,18.3,429.9,54.9,9.1,27.1,18.9,6.2,24.1,13.6,54.4,3.2,3.6,28.5,25.6,107.8,8.8,16.6,10.3,14.1,15.1,12.7,13.2,29.2,6.8,26.4,10.4
"CAV1",2.16164760915564,6.83496552235073e-22,8167.2,1235.9,3240.9,3581.6,6518.9,7043.2,2221.3,4651.4,15197.9,4674.4,2443.8,10642.2,12335,13783,4560.2,6300.7,6196.2,6732.8,11743.7,4768.1,9278.7,3377.8,12849.2,3856.8,7535.9,293.3,9280.2,5587,14203.4,5334.1,7161.1,7784.6,7634.4,48408.5,6027.2,15977.5,5299.6,11691,13141.8,3721.7,6815.5,10178.7,4496.6,16735.1,3611,276.7,11411.9,2499.5,125.3,10237.9,4506,3077.2,3862.3,22366,1308.2,9270,7949.2,8082,5406,8923.4,2743.5,17669.9,4151.4,6929.3,8911.2,4540.3,2034.3,1424.9,2078.8,1751.5,3716.2,2192.7,1273.8,2715.9,2778.8,1285.4,2409.4,3487.2,1913.4,1249.9,1771,1178.2,4204.5,3081.4,2332.3,3803.1,2832.7,2188.9,3039.3,8787.5,1293.3,320.7,1125.5,1752,0,1004.6,2013.1,233.1,393.9,470.1,1987,2172.8,1668.5,314.4,4873.4,513.9,372.6,309.5,1039.6,1217.4,457.4,1118.1,499.3,1367.7,509.9,1463.2,433.1,475.4,466.1
"PTGIS",-2.97648252443859,3.00722770349583e-22,22.5,45.8,4.1,39.6,14.2,14.3,22.9,66.4,19.4,4.1,3.7,66.6,14.6,570,54.9,18.6,9.9,9.2,380.2,25,18.5,85.5,54.8,67.1,55.8,41.3,99.5,31,9.3,6.6,23.4,39.5,126.3,344.8,36.5,59.2,24.8,41.2,10.6,77.3,163.6,41.5,152.6,11.3,0,42.2,21.6,17.2,12.3,30.8,36.1,420.5,78.6,4.3,179.4,1076.9,29.1,779.9,57.7,23.6,22.6,17.5,319.7,39.9,0,86.7,527.5,607.6,843,525.5,1097.3,924.2,528.2,1523.2,1693.1,474.8,536.4,2078.4,885.5,151.8,515.3,279.2,733.5,1067.3,465.7,1086.8,588.8,1827.3,1619.9,2855.7,471.2,1102.7,446.3,463.9,0,605.7,1083.7,231,189.4,426.4,1111.6,1950.1,757.3,153.9,492.7,97.9,230.5,448.6,251.8,1306.2,764.4,356.7,333.6,652.6,145.1,1761.5,154.2,392.1,155.4
"TNNC1",-2.63588908232518,2.32762486609532e-33,9.9,14.2,23.6,89,73.4,30.2,12.3,23.3,13.7,411.1,37.9,30.1,12.8,78,35.8,23,29.8,12.3,50.8,17.5,20.9,26.9,77.5,10.6,20.3,29.2,26,40.1,31.1,52.7,79.6,15.2,12.7,207,42,19.4,6.5,48.5,38,121.5,21.9,65.2,3.3,13.5,17.5,59.7,117.9,46.6,68.8,38.7,119.8,101.2,196.8,24.1,45.5,61.2,56.1,66.6,14,25.4,82.9,14.9,78.8,110.6,106.7,12.7,262.4,320.8,151,503,392,873.9,758.9,310,101,561.5,227,344.9,244.8,268.6,306.1,1130.6,307.1,211.9,102.4,438.2,424.2,101,148.4,78.9,198.7,165.6,284,338.1,0,312.4,239.2,272.6,462.1,257.9,55,139.1,128.5,350,562.6,689.3,479.7,292.1,245.9,116.5,661.4,68.1,243.2,196.4,682.9,285.9,857.1,201.1,259
"GRM1",2.09189285019556,3.6855378177169e-08,883,12,29.8,117.4,2677.5,617.5,50,158.8,5818.2,31.2,62.8,1109.1,107.9,356.9,143.3,127.4,259.5,1791.7,206,103.6,157,1581.6,190,4497.5,152.3,45.6,192.9,353.6,355.8,88.1,293.6,85.8,35,1.6,540.3,117.3,139.8,566.3,993.4,67.9,8.9,65.2,9.9,144.2,33.8,9.3,392.2,1196.4,9.7,1345.8,3327.6,257.4,1356.7,898.2,45.5,12.2,86.6,5.8,1074.3,1020.8,2176.4,321,220.1,158.5,529.9,3031.1,176.3,523.9,274,171.5,560.1,82.5,180.1,670.6,134.2,428.5,310.7,10.7,204,62,689,315.5,117.9,359.8,323.4,356.7,115.2,371,121,7.2,236.9,4.2,45.9,310.6,0,120.3,231.6,22.9,22.7,16.6,25.1,4.9,70.6,24.3,1.8,32.6,18.6,1.7,8.8,66.6,33,4.7,53.8,12.7,10.3,7.8,102,0,0
"TRPV5",-6.83540101452494,9.36799029281423e-49,4.5,1.1,0,1.5,0,0,0,0,0,0,0,1.6,0,0,3.6,0,0,0,0,6.2,0,1.9,0,0,0,0,0.9,14.6,0,0,0,2.3,3.2,0.8,0,0,0,0.7,0,1.6,1.2,0,51.6,0,0,0,0,0,0,2,0.7,1.2,0.8,0,0.8,0.7,0.7,2.3,2.3,0.9,1.9,0.9,0,0,0.8,0,305.1,3.1,21.1,247.1,8.1,47.3,219.4,64.6,18.1,112.8,9,447.8,189.7,328.3,28.2,67.4,13,24.7,230,66.6,34.4,8.4,0,19.7,8.3,396.2,396.9,5.2,0,27.4,0,526.5,1257.5,715.5,80,496,61.4,484.5,0,65.3,79.2,26.1,932.1,23.6,84.5,1.2,243.2,996.9,64.5,62.8,104.3,249.9,331.5
