"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCB11","#","#",1,-3.95942030229213,0.00659307565158009,5.04678319808799,583
"ACACB","#","#",1,-3.21152676382351,0.00407365936868459,-0.0485832742122214,733
"ACAN","#","#",2,3.99901252909837,0.0201978550203648,5.06319874483248,543
"ACKR1","#","#",4,-2.87843580266376,0.0320411951533888,5.07748893641108,532
"ACTA1","#","#",23,-6.24954356240945,0.47746786675092,7.20813711023928,420
"ACTG2","#","#",1,-5.23787220174294,0.0108997748897768,-0.0370676667522094,702
"ACTN2","#","#",12,-4.27831208966423,0.166202372408048,7.45087185613044,375
"ACTN3","#","#",7,-3.17758834636468,0.0681850595255015,5.7943359705865,520
"ADAM12","#","#",3,4.25196588264283,0.0362256197461531,7.68229745858821,193
"ADAMTS1","#","#",1,-3.02097046194916,0.00343173558534289,7.68435253758258,189
"ADAMTS12","#","#",2,2.4818578890551,0.00997622879366395,-0.059620190144975,786
"ADCY5","#","#",2,-4.42157855121317,0.0230448370089893,7.66426139008151,222
"ADCYAP1R1","#","#",1,-5.75230610988691,0.0126327396741836,-0.0411287418448569,712
"ADD2","#","#",3,-2.17226391196416,0.0152080494410546,7.6626785193578,225
"ADGRB1","#","#",2,-2.57607163904723,0.0106109813181712,-0.0541637876538739,765
"ADRA1A","#","#",2,-4.64816837182792,0.0245714555829754,7.65831451206023,227
"ADRA2B","#","#",1,-2.74876662308774,0.00251476712844413,7.72007717692716,135
"ADRB2","#","#",7,-2.52564733073402,0.0528117810032488,7.804600411891,42
"ADRB3","#","#",2,-4.90968152312212,0.0263333654208675,7.62492289748387,268
"AGER","#","#",6,-2.26738490244984,0.0390836500804953,7.65248563579717,233
"AGTR2","#","#",2,-3.43241666304281,0.0163804912450751,7.59090335369076,305
"AHNAK","#","#",2,-2.06138780466301,0.00714336790478137,7.68382937802072,191
"AJUBA","#","#",6,2.27960535516124,0.0393306510716404,7.78579195490175,64
"AKAP12","#","#",4,-2.82136606907795,0.0312721957776166,7.67325792365782,205
"AKAP6","#","#",4,-3.17161412586509,0.0359916945401216,7.81240244711486,38
"AKT3","#","#",8,-2.63786000165065,0.0643439577213408,7.5942725489784,300
"ALB","#","#",2,-2.82949847523275,0.0123184106908487,-0.054863717308151,770
"ALK","Q9UM73","Oncogene",10,-4.80526131478873,0.155129066813516,7.73023037225763,123
"AMPD1","#","#",2,-3.4486878912388,0.0164901164661825,-0.0220975272647151,689
"AMPH","#","#",2,-2.43093941607811,0.00963317240042093,7.73506002250244,113
"ANGPT4","#","#",9,-2.78933919310746,0.0778226404414557,6.53061229047592,500
"ANK2","#","#",4,-3.92194837221847,0.0461022475567854,7.73591523149435,112
"ANKRD1","#","#",2,-2.36501484968283,0.00918901446222245,7.57564422189119,321
"ANKS1B","#","#",1,-3.56830814468836,0.00527554275736232,5.04519346096502,591
"ANOS1","#","#",1,3.20563905519293,0.00405382554444378,7.67719731649301,199
"APBB1","#","#",4,-3.06358177062266,0.0345359874862292,7.79599584278383,51
"APOB","#","#",3,-2.57172753446961,0.0192450484383666,7.73975120516886,107
"APOBEC1","#","#",1,2.21237996098669,0.000707850473979615,-0.0526689012320662,753
"APOBEC2","#","#",1,-2.34109882792096,0.00114146353866003,-0.0522310474528159,751
"AR","#","#",52,-2.32081313624226,0.399795404531248,6.49157962383303,504
"AREG","#","#",6,3.12040837529453,0.056325044342926,7.08716049531999,440
"ARHGEF17","#","#",1,-2.57036239704988,0.00191377983694073,5.04113715289356,634
"ARID3A","#","#",1,2.20994433422751,0.000699645619410742,7.73766060949352,109
"ARR3","#","#",4,-2.53854709159745,0.0274612858000537,7.73478946971685,114
"ASB2","#","#",2,-4.49536691792796,0.0235419762488072,7.79805445346316,48
"ASF1B","#","#",4,2.72137972665322,0.0299249065915764,7.41096344870579,386
"ASGR1","#","#",1,2.1465426175345,0.000486065331329943,7.68648046043637,187
"ASPM","#","#",1,2.9217199767798,0.00309739215869293,5.04256530125733,613
"ATAD2","#","#",2,2.47536904178744,0.00993251105411284,7.74690735346864,97
"ATP1B2","#","#",2,-3.95876338654575,0.0199266818121371,-0.0270983094267469,692
"ATP2B2","#","#",2,-3.24862859942773,0.0151422437773359,5.05709863689009,549
"ATP2B4","#","#",5,-3.065565788227,0.0448896410878281,7.7276020908696,125
"AURKA","O14965","Oncogene",33,2.91025406536101,0.316777920037974,6.47738984092497,506
"AURKB","#","#",32,2.44038770160638,0.256323609206091,6.54862444995591,495
"AXIN2","#","#",4,2.84592776227941,0.031603158015445,7.68139622696832,194
"AZU1","#","#",2,-2.16258131224834,0.0078251456114208,7.2065696446305,421
"BAAT","#","#",2,2.83595505185167,0.0123619110112252,-0.0511486542301091,744
"BAMBI","#","#",1,2.24915790520965,0.000831743711132694,-0.0425486631229233,715
"BCHE","#","#",2,-4.51891421075421,0.0237006229810307,7.63361528326835,256
"BCL6","P41182","Oncogene",2,-3.33064121391509,0.0156947927852211,7.60609942008687,288
"BEX4","#","#",1,-2.32061967188979,0.00107247575295121,5.04012203415162,654
"BIRC5","#","#",10,3.20667249741073,0.101277676354875,7.50420988265971,358
"BLM","#","#",11,2.50793739454302,0.086187951591683,6.90736019285331,469
"BMP4","#","#",4,2.00217038091285,0.0202337532748671,7.53069338565702,348
"BMP7","#","#",3,3.00975020215602,0.0236717270409366,-0.0633857544743409,799
"BMX","#","#",2,-2.09413366894494,0.00736398878041645,7.79140128501294,60
"BOC","#","#",2,-3.43412275533965,0.0163919858134641,-0.0546750119481186,768
