"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCA4","#","#",1,-4.36145283774996,0.0180782938987931,6.19938468822171,177
"ACTA1","#","#",8,-4.33230638288577,0.250491709872229,0.359535127012191,238
"ADCY1","#","#",3,-2.25255669912191,0.0364600832291989,-0.187365950389608,297
"ADCY2","#","#",2,3.38529545508919,0.0365592009774526,-0.171109412337682,287
"ADIPOQ","#","#",3,-5.81409950853309,0.118423681501981,13.7475334629919,25
"ADRB1","#","#",1,-3.51816882666006,0.0116093191114069,13.3835071590789,65
"AGTR1","#","#",3,-3.28735263903482,0.0602743691305804,13.8007113523065,20
"AGTR2","#","#",1,-3.87863502838299,0.0143745165300521,6.18885476302804,185
"AHNAK2","#","#",1,4.30674065259249,0.0176585874396501,6.19819145299778,178
"ALB","#","#",4,-6.58147216823882,0.186571209415435,0.508695967644898,229
"ALK","Q9UM73","Oncogene",5,2.86478968226941,0.0945022884694381,13.7494480650058,24
"ALOX5","#","#",1,2.3909451624428,0.00296219504920392,6.15640926765515,207
"AMPH","#","#",1,-2.12517496225692,0.000923426731968793,6.15061300191605,217
"AMY2A","#","#",2,-4.61127198100269,0.0553685490304569,0.120416386789475,245
"ANGPT1","#","#",15,-2.24539461328746,0.242992897019784,12.3121287928904,121
"ANGPTL1","#","#",2,-2.24886650373186,0.0191237222127483,13.4774983275823,61
"ANK1","#","#",4,2.37351026055663,0.0574512492165183,13.8125387353696,18
"ANK2","#","#",2,-2.48402630462312,0.0227316237096738,12.8639296133989,88
"ANXA1","#","#",2,2.19715483216741,0.0183303441926156,13.5966128499852,52
"APOC2","#","#",2,3.09656214509999,0.0321293565169021,-0.190904413544272,303
"APOH","#","#",6,-2.83307472297754,0.115018831373117,13.6954783171479,31
"AQP2","#","#",3,-10.1865679044181,0.219049523233757,11.1983702493909,150
"ASF1B","#","#",1,2.06494679429463,0.000461406232451722,6.14929946689126,221
"ATP2B2","#","#",1,3.08678081771347,0.00830006847134146,6.17158496593088,194
"AURKB","#","#",12,2.33591277465404,0.199651049553877,12.4428906806176,109
"AVPR1A","#","#",1,-3.1678278618109,0.00892179410346964,6.17335254636177,193
"BBC3","#","#",2,2.13334548206991,0.0173513594815294,6.197317996768,179
"BDKRB1","#","#",2,-2.52301756328104,0.0233298408366902,13.6951057156886,32
"BDKRB2","#","#",4,-2.92177722908683,0.0742746451283871,13.8932837385497,14
"BIRC5","#","#",2,2.18981112039747,0.0182176744736103,13.6920306949281,33
"BMPR1B","#","#",2,-2.59868831290874,0.0244908071660566,-0.166469906067898,283
"BPI","#","#",2,-2.48389094764072,0.0227295470168991,12.4678016069509,108
"BUB1","#","#",1,2.50481580321387,0.00383571606286515,-0.202814274731436,315
"C1QA","#","#",8,2.06395191292588,0.11128425253116,12.7537965624922,95
"C1QB","#","#",4,2.14547816719128,0.0504541576397964,13.8962706494569,13
"C1QC","#","#",2,2.09610437763935,0.0167799938148085,6.19569359088994,180
"C3","#","#",6,2.7945295887245,0.113244713768275,13.0149028988317,83
"C7","#","#",2,-3.78709646201217,0.0427237684283918,13.5560572797097,54
"CA10","#","#",1,-2.78239823869549,0.00596509804205274,6.16494659069878,196
"CA9","#","#",1,6.51331835970481,0.0345856195735444,6.24631539900635,165
"CALB1","#","#",1,-8.12571690477381,0.0469546024999355,-0.0038176853743304,252
"CALCA","#","#",6,-6.45399026846633,0.281678777936657,0.602453067579492,228
"CAMK2A","#","#",8,-4.98820516305027,0.290743796867002,12.4808134418728,107
"CAMK2N2","#","#",1,2.76536652754878,0.00583444489489807,6.16457514076297,197
"CASQ2","#","#",2,-2.67498504960194,0.0256613776014909,-0.190426721393369,302
"CASR","#","#",1,-4.09668152343369,0.0160471882046138,6.19361020749815,183
"CAV3","#","#",4,-2.32799922863658,0.0560547578130671,13.8003559395601,21
"CCK","#","#",1,-2.17263110200182,0.00128747083511699,9.13892727927506,158
"CCKAR","#","#",4,-3.54448764259423,0.093382314249806,13.318251152919,71
"CCKBR","#","#",2,3.35655195391484,0.0361182084246405,11.6326688860483,139
"CD180","#","#",1,2.10899467070326,0.000799304969031651,-0.208716044565431,321
"CD300LF","#","#",1,2.84334097266747,0.00643260009871998,-0.18801558996686,299
"CDC45","#","#",3,2.44546055637318,0.0408994779261356,12.1026804723024,132
"CDK5R2","#","#",1,3.49405247695935,0.011424318499364,6.18046728141754,188
"CDKN1C","P49918","TS",2,-2.20481429594489,0.0184478582861115,-0.255396250509762,340
"CDKN2A","Q8N726/P42771","TS",10,4.33202760480923,0.316938039583066,0.977409350571685,222
"CDT1","Q9H211","Oncogene",4,2.18787336213068,0.0517550405858152,12.4427068688689,110
"CEACAM1","#","#",2,-2.60928852637351,0.0246534392395757,-0.246015814211042,335
