"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ACTA1","#","#",6,-4.309566639242,0.111538407867346,11.7671308023094,39
"ACTN2","#","#",1,3.11149790899597,0.00512300707446836,5.70558273242939,196
"ADAMTS13","#","#",1,-3.30686949750299,0.00603704187342851,-0.130067855378591,269
"ADCY1","#","#",1,-2.2719921150057,0.0011954272482532,5.69246014966554,221
"ADIPOQ","#","#",2,-2.4817168777937,0.0137871829772275,-0.153491764427623,284
"ADORA1","#","#",2,2.11606468951782,0.0103658172919291,10.7989250583047,102
"ADRA1A","#","#",1,-3.33364049186961,0.00616228843891353,5.70905511397815,191
"ADRA2B","#","#",1,-2.52936748381525,0.00239954318591258,5.69648326612614,209
"ADRA2C","#","#",1,3.33378487416078,0.00616296392320217,10.7087016489879,104
"AGR2","O95994","Oncogene",1,3.84377743024223,0.00854893491842871,-0.116822206150637,258
"AHSP","#","#",1,-3.00743385925905,0.00463614937163073,0.0138798781273554,241
"ALPI","#","#",1,4.34124947686599,0.0108763294264982,9.73880685559194,127
"AMPD1","#","#",2,-2.04843418421752,0.00973300639257445,-0.131535289560518,270
"ASF1B","#","#",2,2.78818326784786,0.0166547539210051,12.141114405454,14
"ASPM","#","#",1,3.37200356427526,0.00634176787828213,5.70965477939598,189
"AURKA","O14965","Oncogene",15,2.02099353011359,0.132392581167887,10.33169380797,119
"AURKB","#","#",26,2.88860518555408,0.341934568563637,10.3838283245954,114
"AZU1","#","#",1,-3.83851223783585,0.00852430201699494,5.71694692523066,178
"BCAS1","#","#",1,2.7294371456819,0.00333555765229308,5.69961061880815,206
"BDKRB1","#","#",1,2.33255414173219,0.00147876322533452,5.69340681401706,217
"BIK","#","#",1,2.34325662737477,0.0015288341920879,5.69357410798288,216
"BIRC5","#","#",9,3.32467233922251,0.1305546460362,11.5715546036373,52
"BLM","#","#",5,2.29243855289724,0.0441912551843584,12.2131224720275,8
"BMP7","#","#",1,3.20215014980372,0.00554711839656585,-0.122287428052549,260
"BUB1","#","#",9,3.14951998794339,0.123179683746597,11.6364255532604,46
"BUB1B","O60566","TS",12,2.94635167725534,0.155978095141989,11.8227372336051,36
"C1QL1","#","#",1,4.00681878443482,0.00931171456587095,11.1336183317168,83
"CA9","#","#",1,2.60113337092548,0.00273529578278845,5.69760506159197,207
"CACNG4","#","#",1,4.80352683185713,0.0130390675833719,5.7320313760695,167
"CALCA","#","#",4,-2.10520205365299,0.0299623115756774,-0.0393368937349947,242
"CALML5","#","#",2,-3.45861500643535,0.0229279069836297,-0.0837567783973078,248
"CAMP","#","#",3,-2.64657702666782,0.0277116197254629,-0.176041080618331,291
"CAPG","#","#",2,2.22998842654991,0.011431788663413,11.5119238076653,60
"CAPN3","#","#",2,-2.04362059861604,0.00968796622290445,11.6103168471197,48
"CCNA2","#","#",10,2.47091348744557,0.10616631594345,10.6618759852351,108
"CCNB1","#","#",21,3.09873015006688,0.295007908209733,10.5859938050994,109
"CCNB2","#","#",2,3.2686718935332,0.0211506310107812,12.1603944728,11
"CCNE1","#","#",10,3.0989293191856,0.135547677322291,10.8752562510528,96
"CCR8","#","#",1,2.19954050232449,0.000856466523526178,-0.142267748750438,279
"CD24","#","#",1,2.36324950858636,0.00162236974297591,5.69388662308436,214
"CDC20","#","#",13,3.78905723423047,0.221015579438792,11.2740974959741,77
"CDC25A","#","#",14,2.07897872696296,0.126735404528157,11.6498913402958,45
"CDC25C","#","#",7,3.88094268457485,0.117663420281963,11.7450676227249,40
"CDC45","#","#",6,2.35660169627001,0.0567173993675916,11.9256381034484,31
"CDCA2","#","#",1,2.86100593353095,0.00395109469874913,5.70166721248509,202
"CDCA5","#","#",3,2.91422569064101,0.0314681566094004,5.79360548957118,146
"CDCA7","#","#",1,3.84178526271735,0.0085396146766422,5.71699808692628,175
"CDCA8","#","#",6,2.59791618231622,0.0634912554668829,12.2819733611202,3
"CDH13","#","#",2,2.63553550772071,0.0152264462964855,-0.151946602135042,283
"CDH17","#","#",1,2.91227939995182,0.00419097467787059,5.70246868438857,201
"CDK1","#","#",65,3.31942783237276,1,10.2950822275101,122
"CDKN2A","Q8N726/P42771","TS",8,4.78303732103735,0.169583373748294,6.2494270446096,136
"CDKN2C","#","#",1,2.35400075823607,0.0015790999936144,5.69374205291843,215
"CDKN3","#","#",5,3.55194709344666,0.0736539484154246,12.2525973621786,5
"CDT1","Q9H211","Oncogene",7,3.06195487273258,0.0908423069374907,11.5614869399937,54
"CDX2","#","#",5,2.41458495669011,0.0470485299930369,10.9767009082737,90
"CEACAM3","#","#",1,-2.5172340611725,0.00234277766227265,5.69629360472777,210
"CENPA","#","#",7,3.51234247442537,0.105592095321733,12.1670890063444,10
"CENPE","#","#",1,2.92548533382572,0.00425275788394345,5.70267511055201,200
"CENPF","#","#",1,3.77421440192771,0.00822348827039555,5.71594186525457,180
"CENPU","#","#",1,2.01647392171426,0,5.68846606330766,226
"CEP55","#","#",1,3.15166050396742,0.00531090547720427,5.70621052675825,195
"CHAF1B","#","#",2,2.03889473618044,0.00964374686885972,5.7206871439832,173
