"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"A2M","#","#",11,-2.40392130002964,0.118825424495532,10.8832871064733,130
"ABCA4","#","#",3,4.34007626002684,0.0535414403764279,8.01386073968937,312
"ABCC3","#","#",1,2.08595810510712,0.000361243881541729,5.06188642564913,467
"ACE2","#","#",2,2.06245874578903,0.0102779785262949,8.75330584694494,308
"ACKR1","#","#",1,-3.15283852854945,0.00555015059893909,5.07034179167714,410
"ACTA1","#","#",14,-4.79930871681226,0.317004481405426,11.1288538393961,77
"ACTC1","#","#",5,-3.33810446583199,0.0713923732768458,11.0124457661159,105
"ACTG2","#","#",1,-2.7072645278467,0.00338304557522498,-0.0759303950111283,562
"ACTN2","#","#",6,-4.22692146797089,0.113564900558367,11.2900919297802,47
"ACVRL1","#","#",3,-2.85214967028617,0.031831287747734,5.11316712008027,333
"ADAM12","#","#",5,2.33225209640391,0.0469319276554179,11.3640781293791,20
"ADAM2","#","#",2,3.52510026895326,0.0245054594284251,-0.0769461950045375,568
"ADCYAP1R1","#","#",1,-2.31613339971508,0.00148073028894671,-0.0753284201858099,557
"ADH1A","#","#",1,-2.82181040112212,0.00394015379300558,5.06771828868518,425
"ADIPOQ","#","#",2,-3.50989999281498,0.0243576025304501,-0.0797588686278358,577
"ADM","#","#",8,-2.39218438619342,0.0832934348546381,10.2367814411682,227
"ADM2","#","#",3,2.77828463403533,0.0307535321501214,10.7655448653994,143
"ADRA1A","#","#",1,-4.84644101443248,0.0137871986527826,5.08376412899768,365
"ADRB2","#","#",5,-2.33336044049842,0.0469588805078221,11.0547427545948,95
"AFF3","#","#",1,-2.2766619166644,0.00128875578173205,5.06339781389304,452
"AFP","#","#",1,4.66191159961104,0.0128897167053353,5.0823016748079,370
"AGER","#","#",3,-3.65431058389064,0.0435355183107223,11.351120988022,27
"AGR2","O95994","Oncogene",3,3.73753160603968,0.0447497859400725,5.13421791877401,328
"AGTR1","#","#",1,-2.85594189097061,0.00410615657369039,5.06798879157699,424
"AHNAK2","#","#",1,2.68418564885333,0.00327079855334008,5.06662756883563,432
"AHSP","#","#",1,-4.45076729459047,0.0118627899021174,10.5737626216765,179
"AKR1C4","#","#",3,3.85491117694309,0.0464624567246223,5.13700872985572,326
"ALAS2","#","#",1,-5.0558721080026,0.0148057930372887,5.08542393689636,361
