"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"AGER","#","#",5,-2.27887726671131,0.27848890480242,0.131652270265709,39
"ANGPT4","#","#",3,-2.22181280924924,0.138227086684956,1.15702776668203,5
"ANGPTL3","#","#",1,3.11618792984486,0.0329553988368689,-0.224450977533842,123
"AQP2","#","#",3,-4.39865539487489,0.331924229197558,0.285264719354626,27
"AVP","#","#",1,-2.86996532009962,0.0256523725417236,0.057340898421446,51
"BMP1","#","#",1,-2.26642357288462,0.00775116820192069,-0.150499966254014,108
"CAMK2A","#","#",2,-2.03361348138023,0.0611634625572498,-0.112844994316383,90
"CAMK2N2","#","#",1,2.04839949197894,0.00128451756623572,-0.154404423543399,112
"CDC25C","#","#",1,2.22243855610807,0.0064465612267777,-0.0506810689542,75
"CENPA","#","#",2,2.05931690950604,0.0626882032110215,-0.106292422220135,88
"CENPF","#","#",2,2.06189408029431,0.0628410823154489,0.0783302176144166,49
"CGB5","#","#",1,-2.8688710545466,0.0256199163423687,-0.178488242056022,120
"CGB7","#","#",1,-3.16053686417178,0.03427079970069,-0.163622150505134,117
"CHAD","#","#",2,-2.12859248755137,0.0667976663395287,0.928581737276634,12
"CIDEA","#","#",2,-2.0385510500176,0.0614563616832083,-0.052371697009476,76
"CIDEC","#","#",2,-2.93297136019767,0.114513837200307,-0.0410022379700978,68
"CLDN18","#","#",1,-2.22858423272434,0.00662884358491092,-0.145011298674706,103
"CLDN19","#","#",1,-2.65494929520504,0.019274941625418,-0.131261176202091,94
"CLPS","#","#",4,-7.81842802292276,0.868114848949584,1.07847474882504,6
"COL2A1","#","#",6,5.95337323843662,1,1.1999519580902,1
"COL4A3","#","#",1,-2.85515260919163,0.0252130237046068,-0.00719604147825805,59
"COL4A6","#","#",1,-2.10295702533924,0.00290270811803268,-0.0353495349565541,64
"COL6A1","#","#",2,-2.38161112394142,0.0818068627462293,0.92303444706463,13
"COL7A1","#","#",1,-2.75957985907,0.0223783112143128,-0.135872823241622,96
"COL9A1","#","#",4,-2.4551363759007,0.231808378682508,0.835640513940662,15
"COMP","#","#",4,2.02068932695662,0.180265131284234,0.991338278090838,8
"CRHR2","#","#",1,-2.46203850090922,0.0135531575666047,-0.132686737765291,95
"CRP","#","#",2,-2.59710665243421,0.0945901689803514,0.265791617315166,28
"CSF3R","#","#",1,-2.02083399007733,0.000466917649499278,-0.058226809658861,78
"CYP17A1","#","#",1,-2.72638234636842,0.0213936644004239,-0.040942926058016,67
"CYP19A1","#","#",2,-3.81209920446017,0.166664155727808,0.142374598712254,38
"DEFA1B","#","#",2,-3.14308068219168,0.126977630878434,0.0544285392225238,53
"DEFA3","#","#",2,-3.27588850532199,0.134855859652999,0.055491474850838,52
"DEFA5","#","#",2,2.78517787765416,0.105746651356707,0.0510817486339108,54
"EEF1A2","#","#",1,2.16133907582994,0.00463433483720048,-0.140917636071034,99
"EFNA2","#","#",1,2.80930666775514,0.0238532212226869,-0.110883004565325,89
"ELANE","#","#",4,-2.92029623654716,0.286995425838934,0.114663542593744,42
"EPHA8","#","#",1,2.29147293215179,0.0084941386772721,-0.129777114045795,93
"ERG","P11308","Oncogene",2,2.55548333735327,0.092121052396446,0.184904792533521,33
"F5","#","#",2,2.54030915282894,0.0912209119202872,0.14732333139129,36
"FGF17","#","#",3,-2.88148063480513,0.196924841709329,1.16833081049046,2
"FOXL2","#","#",1,2.13558738372751,0.00387053298828368,-0.0258102117626077,60
"GATA5","#","#",2,-2.12413309866271,0.066533133083644,0.563410636233857,21
"GJB1","#","#",1,2.53202678685021,0.0156290282313988,-0.0276221912406769,62
"GNB3","#","#",1,-3.55398442887522,0.0459405562423947,-0.0906773186042602,83
"GNG13","#","#",1,3.64453170764537,0.0486262119524713,-0.0877998303434641,82
"GNRH1","#","#",1,-3.02175791918422,0.0301545802945789,-0.142512030990132,101
"GPRASP1","#","#",1,-2.04786146078046,0.00126855942171693,-0.15833064551611,115
"GSTM1","#","#",2,-2.00282296104286,0.0593369529617445,-0.0305861806624666,63
"GSTM2","#","#",2,-3.38739107453349,0.141470249743092,-0.00320841506868416,58
"HBA1","#","#",4,-2.68581795039822,0.259176679361377,0.780979692178378,17
"HBB","#","#",6,-2.89416193452617,0.455578008421405,0.793681345238361,16
"HBG2","#","#",4,-2.66060134973532,0.256184955767742,0.778313685308334,18
"HBZ","#","#",2,-2.69916101614614,0.100644086632298,0.544783805294724,23
"HJURP","#","#",2,2.10623903460179,0.0654716479462789,-0.105938968920419,87
"HMMR","#","#",1,2.00678465346463,5.02106914418702e-05,-0.166640406560527,119
"HNF1A","#","#",5,4.00872669723341,0.535027812639036,0.98890506931947,9
"HOXD3","#","#",1,-2.25080215019353,0.00728783276412864,-0.246492812841071,124
"HOXD9","#","#",1,-2.40292925765638,0.0117999621220097,-0.146350297980603,104
"HSD3B2","#","#",1,-2.84636841733113,0.0249524823018282,-0.036452036801482,65
"IDS","#","#",1,-2.21271817140397,0.00615825210209405,-0.155091356610265,113
"IL19","#","#",1,-2.41542351161834,0.0121705449263948,-0.138023515501356,97
"IL20RB","#","#",1,-2.01372245709469,0.000255987741702635,-0.151356472350892,109
"INS","#","#",4,-2.71463080782886,0.262595066578895,0.96686211448318,10
"INSRR","#","#",5,-2.50349864361253,0.311800545509556,0.539890425792495,24
"ISG15","#","#",2,2.37229622939367,0.0812542983827119,-0.102859762206377,85
"ITGA5","#","#",4,-2.18666706802863,0.199956902218055,0.057802968949421,50
"KLKB1","#","#",2,-2.25888162937048,0.0745264856357044,-0.042434572096119,70
