hallmark,set_size,NES,pvalue,p.adjust,gene_set
MYOGENESIS,198,-2.30143456738411,0.00100401606425703,0.00440063369125154,WWTR1/NOS1/COL4A2/FKBP1B/SCD/FLII/COX6A2/COL15A1/SGCG/PICK1/IGFBP7/ACTA1/EIF4A2/SH2B1/HDAC5/SVIL/PRNP/MYL4/SIRT2/TNNI2/TCAP/SLN/MEF2A/MYL1/NAV2/NOTCH1/CDKN1A/SSPN/MYLPF/SCHIP1/MAPK12/IFRD1/CSRP3/TPM2/DAPK2/DMPK/KIFC3/FOXO4/CRYAB/MAPRE3/ATP2A1/IGFBP3/CDH13/TAGLN/MYOM2/MYO1C/TNNC1/VIPR1/SORBS3/GADD45B/MYBPC3/MEF2C/SPEG/MYH7/PC/CAV3/MYLK/ACTN3/ACTC1/FGF2/DES/SGCA/PTGIS/BIN1/TNNC2/IGF1/LPIN1/CKMT2/MYH11/ABLIM1/MRAS/DMD/HBEGF/TNNT3/LAMA2/COX7A1/SMTN/SOD3/HSPB2/MYL3/MYH3/MYH1/HRC/CASQ2/MYH2/CD36/ACSL1/CFD/FXYD1/MYL2/CKM/LDB3/MYOM1/SORBS1/GSN/FHL1/PYGM/ITGA7/GPX3
TNFA_SIGNALING_VIA_NFKB,198,-1.79109972857065,0.00100401606425703,0.00440063369125154,SAT1/TNFAIP2/EGR3/EGR2/ZC3H12A/TIPARP/MYC/CEBPB/KDM6B/NAMPT/RCAN1/JUNB/GEM/JAG1/SNN/EIF1/BTG1/CDKN1A/PTPRE/NFKBIA/KLF10/SMAD3/VEGFA/FOSB/SOD2/FOS/GFPT2/CCRL2/CSF1/FOSL2/NFAT5/EGR1/IL15RA/EDN1/NR4A3/CXCL3/TANK/PTGER4/TNIP1/ATF3/TSC22D1/MAP3K8/IRS2/SOCS3/IL6/SGK1/DENND5A/GADD45B/PNRC1/PTX3/ACKR3/GADD45A/NR4A1/ABCA1/BMP2/F3/DNAJB4/JUN/HBEGF/PPP1R15A/CXCL2/KLF6/CEBPD/STAT5A/KLF2/NFIL3/PFKFB3/DUSP1/ZFP36/SLC2A3/ETS2/KLF4/MAFF/TRIP10/G0S2/CFLAR/KLF9/CCNL1/PER1/BCL6
ADIPOGENESIS,192,-1.99782053270545,0.00100704934541793,0.00440063369125154,PGM1/CDKN2C/SLC27A1/TANK/ADCY6/ARL4A/VEGFB/NABP1/HADH/ACAA2/LAMA4/IFNGR1/MYLK/ESYT1/RETSAT/ANGPT1/GADD45A/ACADS/ACADL/ABCA1/CD302/MRAP/ALDH2/PEMT/ADIPOQ/MGLL/STAT5A/ANGPTL4/PFKFB3/CIDEA/SPARCL1/GBE1/ENPP2/LEP/CD36/ITSN1/CAT/FABP4/PLIN2/LIFR/FZD4/LPL/ELMOD3/ITIH5/PHLDB1/SORBS1/PPARG/BCL6/LIPE/GPAM/ITGA7/GPX3
UV_RESPONSE_DN,139,-1.84142868833728,0.00104275286757039,0.00440063369125154,CACNA1A/YTHDC1/PRKCA/SNAI2/RASA2/RXRA/ADGRL2/MTA1/ITGB3/MYC/MET/ATP2B4/PRDM2/CITED2/NEK7/NFIB/PMP22/SMAD7/RND3/VLDLR/AKT3/SMAD3/MAP2K5/TJP1/SCHIP1/PDGFRB/PTEN/EFEMP1/MAP1B/ACVR2A/DAB2/ADD3/KIT/PTGFR/NRP1/LAMC1/NR3C1/FYN/LPAR1/TFPI/PTPN21/PRKAR2B/KALRN/F3/TGFBR3/SYNE1/FBLN5/MGLL/CELF2/ID1/DUSP1/DLC1/RBPMS/GRK5/PTPRM/TGFBR2/PPARG/CAV1
MYC_TARGETS_V2,58,2.26836494082628,0.00162866449511401,0.00440063369125154,PLK1/MCM4/PLK4/DCTPP1/CBX3/TMEM97/TFB2M/SORD/FARSA/HSPE1/RRP12/IPO4/BYSL/NOLC1/EXOSC5/HSPD1/CDK4/AIMP2/NPM1/UNG/PA2G4/SLC19A1/RABEPK/MCM5/MPHOSPH10/PHB/GRWD1/PES1/NOP56/MRTO4/TBRG4/NOP2/NIP7
INTERFERON_ALPHA_RESPONSE,95,2.17936316736863,0.00164473684210526,0.00440063369125154,CXCL10/CXCL11/ADAR/ISG15/TRIM14/IFI30/OASL/LAMP3/TRIM26/PARP9/OAS1/RSAD2/RIPK2/PSME2/UBE2L6/TAP1/SAMD9/PSME1/IFIH1/MX1/SELL/TRAFD1/USP18/IFIT2/CMPK2/LGALS3BP/IRF9/DDX60/BATF2/EIF2AK2/CNP/BST2/IRF7/SP110/IFI35/HELZ2/IFI27/EPSTI1/LY6E/IFIT3/NMI/PSMB8/PNPT1/RTP4/PARP12/PSMA3/HLA-C/PSMB9/CD74/HERC6/PARP14/ISG20/IRF1/TDRD7/LAP3/CASP8/TRIM21/SAMD9L
PROTEIN_SECRETION,94,1.98134153365129,0.00166666666666667,0.00440063369125154,TPD52/COPB2/ARF1/TMED2/SCAMP3/PPT1/KRT18/COG2/YKT6/TOM1L1/CLTC/ARFGEF1/COPB1/LAMP2/ERGIC3/COPE/SEC24D/RAB22A/LMAN1/VPS45/ATP6V1H/AP2B1/GNAS/AP2S1/AP3B1/ANP32E/M6PR/YIPF6/SEC31A/TMED10/AP2M1/TMX1/TSG101/GLA/CLCN3/SCAMP1/NAPA/RAB2A/ARFIP1/ICA1/SEC22B/SOD1/ARFGEF2/STAM/ARCN1/SH3GL2/ADAM10/ATP1A1/RAB5A
UNFOLDED_PROTEIN_RESPONSE,107,2.19499667038422,0.00174825174825175,0.00440063369125154,ALDH18A1/PARN/CALR/LSM4/SRPRB/SLC7A5/YWHAZ/BANF1/EIF4A3/CNOT6/EXOSC4/SERP1/SPCS1/KDELR3/SSR1/HYOU1/PDIA6/SLC1A4/CKS1B/DKC1/NOLC1/EXOSC5/HSPA5/ATF6/XBP1/MTHFD2/NFYA/NHP2/IFIT1/HSPA9/HSP90B1/PAIP1/YIF1A/EIF4E/NPM1/DNAJA4/LSM1/SLC30A5/EXOC2/EXOSC1/POP4/SEC31A/XPOT/EIF4G1/DNAJC3/KHSRP/NOP56/EIF2AK3/EDEM1/TATDN2/EIF2S1/PDIA5/IMP3/KIF5B/CHAC1/SDAD1
SPERMATOGENESIS,132,1.84722309469946,0.0018018018018018,0.00440063369125154,NEK2/BUB1/CDK1/AURKA/CCNB2/KIF2C/NCAPH/TTK/STRBP/CDKN3/CNIH2/EZH2/GRM8/DBF4/CLGN/RFC4/MAP7/RPL39L/TSN/OAZ3/IDE/MLF1/NEFH/COIL/CLPB/VDAC3/TOPBP1/CAMK4/PHKG2/HSPA2/GAD1/HSPA1L/PSMG1/IL12RB2/PCSK1N/GMCL1/DMRT1/NF2/ACRV1/TNNI3/ART3/HOXB1
PI3K_AKT_MTOR_SIGNALING,103,1.84605317945373,0.00180505415162455,0.00440063369125154,CDK1/E2F1/CALR/PPP1CA/ARF1/TRIB3/CFL1/ARPC3/ACTR2/PAK4/GRB2/RPS6KA1/CLTC/UBE2N/VAV3/TRAF2/YWHAB/SLC2A1/GSK3B/MYD88/ACTR3/HSP90B1/CDK4/EIF4E/PFN1/CXCR4/SFN/MAPK9/IL2RG/FASLG/DAPP1/CAMK4/LCK/AP2M1/RAC1/RIT1/PRKAG1/PLA2G12A/GNGT1
