hallmark,set_size,NES,pvalue,p.adjust,gene_set
EPITHELIAL_MESENCHYMAL_TRANSITION,198,1.9006672870867,0.00124843945068664,0.00466853408029879,CAP2/THY1/LAMC1/DKK1/PLOD3/CTHRC1/SPP1/MATN3/SPOCK1/CAPG/EDIL3/MCM7/COL4A1/LAMA3/SFRP4/APLP1/COPA/COL4A2/MSX1/PTHLH/MMP14/PPIB/SPARC/SLC6A8/COL11A1/GPX7/COL1A1/NTM/PLOD1/CADM1/COMP/ADAM12/COL1A2/FAP/GJA1/POSTN/CDH11/LGALS1/ITGA2/OXTR/PRRX1/IL32/COL5A2/CDH6/MMP1/LOXL2/ITGB1/TGFBI/MAGEE1/ITGAV/FOXC2/VIM/CD59/VCAM1/FBLN1/PDGFRB/SERPINE2/CD44/TPM4/DAB2/PMEPA1/COL7A1/TPM1/FN1/ITGB5/FBLN2/PCOLCE2/COLGALT1/SCG2/VCAN/LRRC15/FBN1/SNAI2/SERPINH1/MGP/COL3A1/COL5A3/COL6A3/CALU/TPM2/TGFB1/ITGA5
GLYCOLYSIS,198,1.96864229399294,0.00124843945068664,0.00466853408029879,GPC3/STMN1/CDK1/CENPA/KIF20A/DEPDC1/HMMR/G6PD/PPIA/AURKA/P4HA2/PYGB/HAX1/TXN/CLN6/PSMC4/XYLT2/GAL3ST1/ALG1/TALDO1/COG2/BPNT1/HS6ST2/RRAGD/PKM/BIK/SOX9/STC2/POLR3K/GNPDA1/ECD/SRD5A3/PGAM2/AGRN/TFF3/ALDOA/PLOD1/B3GNT3/STC1/KDELR3/SPAG4/SDC2/MIOX/MET/TGFBI/PGLS/KIF2A/TSTA3/MED24/MDH1/MIF/SDHC/ABCB6/CD44/NSDHL/CHPF2/ENO1/ARPP19/CHST6/B3GAT3/HK2/TPI1/LHX9/B4GALT7/HOMER1/GALK1/ME1/PFKP/VCAN/HSPA5/RPE/HS2ST1/SLC16A3/ADORA2B/PGK1/DPYSL4/EXT2/GALE/TKTL1
MITOTIC_SPINDLE,198,2.28415351858272,0.00124843945068664,0.00466853408029879,CENPF/NEK2/KIF4A/KIF2C/CCNB2/NDC80/CDK1/BIRC5/RACGAP1/TOP2A/KIF15/BUB1/TTK/CENPE/PRC1/DLGAP5/KIF11/ANLN/TPX2/KIF23/SPTAN1/CEP131/NUSAP1/AURKA/SAC3D1/PLK1/ECT2/KIFAP3/LMNB1/RALBP1/INCENP/KIF20B/DYNC1H1/NIN/MARCKS/PIF1/CEP250/ACTN4/MAP1S/KIF22/ARHGEF3/ALMS1/KATNB1/CAPZB/CEP72/MAPRE1/RFC1/SMC4/CDC42/LLGL1/GSN/MYH9/UXT/MID1/SMC3/WASF2/CDK5RAP2/CYTH2/CLIP2/FGD6/MARK4/LRPPRC/KNTC1/ARHGEF2/FSCN1/ARHGEF11/KIF3C/BIN1/RHOF/CCDC88A/ARHGAP4/KATNA1/TUBA4A/CDC42EP4/SASS6/CTTN/KIF5B/CD2AP/ABI1/PREX1/KIF3B/ESPL1/KPTN
OXIDATIVE_PHOSPHORYLATION,184,2.15846176219701,0.00127713920817369,0.00466853408029879,ATP6AP1/ATP6V1F/BAX/UQCRH/ATP6V1E1/ATP6V1C1/ATP6V1H/NDUFA1/COX6C/TOMM22/COX6B1/NDUFS6/UQCRB/TIMM9/ATP1B1/NDUFA7/NDUFA8/NDUFA6/ATP6V0E1/NDUFB3/MRPL15/NDUFS4/COX8A/COX6A1/CYC1/NDUFA2/ATP6V1D/NDUFA4/TIMM50/VDAC1/NDUFB4/COX7B/NDUFA3/SLC25A6/TIMM10/UQCR10/COX7C/NDUFC2/POLR2F/NDUFS8/VDAC2/MRPL11/MGST3/COX7A2/MRPS12/ATP6V0B/MTX2/HTRA2/SLC25A5/NDUFB7/NDUFB2/IDH3G/NDUFB6/LRPPRC/GPX4/NDUFB5/HCCS/COX4I1/COX17/TIMM17A/OGDH/COX7A2L/COX5A/UQCRQ/MDH1/UQCR11/TIMM13/SDHC/ACO2/NDUFS3/IDH3B/SLC25A3/ATP6V1G1/ETFB/TIMM8B/MRPS15/UQCRC1/ATP6V0C/COX5B/GPI/DLAT/NDUFS2/COX11/FH/NDUFB1/VDAC3
E2F_TARGETS,195,3.34751943153026,0.00127877237851662,0.00466853408029879,CDKN2A/PTTG1/CDKN3/UBE2T/STMN1/KIF4A/RNASEH2A/KIF2C/CCNB2/PRIM2/SPC24/CDC20/CDK1/BIRC5/RACGAP1/TOP2A/MYBL2/DIAPH3/CDKN2C/CENPE/DLGAP5/MSH2/CENPM/CDCA8/ASF1B/GINS1/MCM2/SNRPB/DEPDC1/TRIP13/MELK/MCM6/DSCC1/MAD2L1/PCNA/MKI67/HMMR/TK1/AURKB/BUB1B/MCM4/TCF19/CCNE1/HMGA1/MCM3/MCM5/CKS1B/UBE2S/CHEK1/SPC25/RAD51AP1/E2F8/KPNA2/ATAD2/KIF18B/CSE1L/TACC3/AURKA/PLK4/CDCA3/HMGB2/PLK1/RAD51C/RRM2/DCTPP1/RBBP7/POLD1/CDC25A/CDK4/NME1/POLA2/MCM7/RAD21/LMNB1/TUBG1/SUV39H1/DCLRE1B/DCK/ORC6/HELLS/NCAPD2/XRCC6/PA2G4/RFC3/CKS2/GINS3/GINS4/SLBP/PRKDC/MMS22L/NAP1L1/LIG1/TUBB/EZH2/PSMC3IP/KIF22/RPA3/LBR/ASF1A/RAN/TIPIN/SSRP1/DDX39A/CHEK2/PHF5A/ANP32E/BARD1/TMPO/CIT/RFC1/SMC4/RFC2/NUP107/USP1/SMC3/DEK/DUT
G2M_CHECKPOINT,189,3.15113302544812,0.00127877237851662,0.00466853408029879,CENPF/PTTG1/CDKN3/NEK2/STMN1/KIF4A/UBE2C/KIF2C/CCNB2/PRIM2/NDC80/CDC20/CDK1/BIRC5/RACGAP1/TOP2A/KIF15/MYBL2/CENPA/CDKN2C/BUB1/TTK/CENPE/E2F1/PRC1/KIF11/EXO1/MCM2/CHAF1A/MCM6/TRAIP/MAD2L1/MKI67/HMMR/AURKB/TPX2/PBK/KIF23/HMGA1/MCM3/TROAP/MCM5/CKS1B/UBE2S/CCNF/CHEK1/NUSAP1/CBX1/CCNA2/KPNA2/TACC3/AURKA/RAD54L/PLK4/GINS2/PLK1/UCK2/CDC45/DTYMK/HNRNPU/CDC25A/CDK4/POLA2/STIL/RAD21/LMNB1/SUV39H1/ORC6/SNRPD1/CDC6/EGF/POLQ/CKS2/INCENP/SMC2/KIF20B/HMGN2/MARCKS/E2F2/RBL1/EZH2/KIF22/BUB3/LBR/SQLE/SMARCC1/KPNB1/DBF4/DDX39A/BARD1/TMPO
MTORC1_SIGNALING,195,2.02686905926177,0.00127877237851662,0.00466853408029879,BUB1/MCM2/MCM4/G6PD/CCNF/GMPS/PSPH/PPIA/AURKA/CCT6A/PLK1/RRM2/CDC25A/PSMB5/SQSTM1/CACYBP/TUBG1/PSMC4/HSPA4/PIK3R3/PDAP1/SLC7A11/CANX/TXNRD1/PSMC2/ABCF2/PSMD14/UCHL5/GLA/CALR/RRP9/SQLE/IFI30/STIP1/CTSC/ATP6V1D/RPN1/DDX39A/BCAT1/ALDOA/SEC11A/ACLY/COPS5/SSR1/PRDX1/PSMD13/PSME3/STC1/LTA4H/GAPDH/TOMM40/SLC1A5/TCEA1/SKAP2/PSMA4/YKT6/NUP205/UNG/RPA1/FDXR/EIF2S2/TES/TM7SF2/ACTR3/CCNG1/TMEM97/ACTR2/FKBP2/NUPR1/PNO1/CYB5B/EEF1E1/TUBA4A/ENO1/SLC1A4/HK2/HMBS/TPI1
DNA_REPAIR,148,2.49372178803862,0.00128040973111396,0.00466853408029879,NELFE/POLR2K/PCNA/ZWINT/FEN1/RAD51/BCAP31/TYMS/PRIM1/BOLA2/RFC4/SAC3D1/POLR3C/POLR2G/POLD1/NME1/TAF6/POLA2/ALYREF/SUPT4H1/MPC2/RALA/CETN2/CANT1/DAD1/ZNRD1/RFC3/TSG101/POLA1/DDB1/VPS28/GTF2A2/BCAM/TAF9/LIG1/DCTN4/ITPA/RPA3/IMPDH2/SF3A3/GTF2H5/RBX1/SSRP1/ZNF707/POLR2F/GTF2F1/RFC2/CCNO/ERCC2/ADA/USP11/POLR2J/NELFB/DUT/SDCBP/EDF1/NELFCD/ADRM1/RPA2/BRF2/GPX4/RFC5/COX17/TAF12/NCBP2/POLR2I/POLH/GUK1/RAE1/POLR2D/POLR3GL/APRT/CLP1/GTF3C5/DGUOK/NT5C3A/ERCC1/RRM2B/NT5C/HPRT1/MRPL40/POLB
SPERMATOGENESIS,124,1.79287872768967,0.00128040973111396,0.00466853408029879,CDKN3/NEK2/KIF2C/CCNB2/CDK1/NCAPH/BUB1/TTK/RFC4/AURKA/CLVS1/SLC2A5/ACE/TALDO1/RPL39L/STRBP/IP6K1/DMC1/EZH2/TSN/ELOVL3/COIL/DBF4/TUBA3C/DCC/PCSK1N/ARL4A/GAD1/TOPBP1
UV_RESPONSE_UP,154,1.75299546151474,0.00129032258064516,0.00466853408029879,MAPK8IP2/FEN1/COL2A1/CCNE1/ATP6V1F/CTSV/BSG/RFC4/CDKN2B/HNRNPU/ATP6V1C1/CYB5R1/SQSTM1/MSX1/PDAP1/PPT1/KLHDC3/MMP14/SLC6A8/TYRO3/PSMC3/FMO1/GGH/PRKCD/SHOX2/HLA-F/STIP1/CDC5L/BTG3/PPP1R2/TAP1/RPN1/BAK1/ALDOA/EIF2S3/EPCAM/EPHX1/CHRNA5/CNP/BID/PLCL1/YKT6/GLS/POLE3/CLCN2/AP2S1/KCNH2/HYAL2/CEBPG/GRINA
