hallmark,set_size,NES,pvalue,p.adjust,gene_set
MYOGENESIS,192,-2.55398430036557,0.000984251968503937,0.00495000495000495,PGAM2/ATP2A1/SSPN/PRNP/ENO3/IGF1/CAMK2B/APOD/KCNH1/PPFIA4/MAPRE3/ADCY9/MYOZ1/KCNH2/SORBS3/MYO1C/ANKRD2/MEF2A/TCAP/MEF2D/MYBPC3/MRAS/MAPK12/CAV3/MEF2C/GADD45B/SH2B1/PTGIS/REEP1/NOS1/LAMA2/COX7A1/GSN/MYH3/COL6A2/FST/WWTR1/PPP1R3C/ACTN3/CASQ2/MYL3/DMD/CTF1/CLU/SGCG/PDLIM7/DTNA/TAGLN/MYH2/TPM2/MYLK/DES/SH3BGR/CKM/CASQ1/FGF2/SVIL/SORBS1/HSPB2/SMTN/MYH11/MYH1/SGCA/RYR1/DMPK/MYL2/CRYAB/ACTN2/HRC/SCHIP1/EFS/HSPB8/ACTA1/CD36/CACNA1H/TNNT3/MYOM1/CFD/ITGA7/LDB3/MYH7/FHL1/GNAO1/PYGM/GPX3/FXYD1/NCAM1/SPEG
KRAS_SIGNALING_DN,181,-1.59250450805848,0.00100300902708124,0.00495000495000495,KCNQ2/GP2/ACTC1/CACNA1F/P2RY4/C5/ITIH3/TAS2R4/PNMT/SPRR3/SYNPO/KLHDC8A/ATP4A/MTHFR/ABCB11/SLC25A23/IDUA/WNT16/DCC/SMPX/PDE6B/RYR2/GRID2/NTF3/SLC16A7/COPZ2/TGM1/NRIP2/CCDC106/KCNN1/NUDT11/KRT5/CPEB3/EPHA5/NOS1/CPB1/KCND1/THRB/ITGB1BP2/SNCB/KRT4/CCNA1/ABCG4/CLPS/KCNE2/FGF22/EFHD1/CKM/TCF7L1/RGS11/RYR1/KCNMB1/CNTFR/ARPP21/GDNF/KRT1/MYO15A/KRT13/P2RX6/NGB/MYH7/ZBTB16/SOX10/MYOT
WNT_BETA_CATENIN_SIGNALING,42,1.89732234999937,0.00160771704180064,0.00495000495000495,AXIN2/TCF7/SKP2/DKK4/HDAC2/NKD1/LEF1/TP53/CTNNB1/ADAM17/JAG2/AXIN1/MYC/DKK1/NCSTN
MYC_TARGETS_V2,58,3.1852094190377,0.00165562913907285,0.00495000495000495,CBX3/EXOSC5/SORD/PRMT3/WDR43/TMEM97/BYSL/CDK4/NIP7/RRP9/MCM4/HSPD1/PES1/TFB2M/NPM1/MRTO4/PA2G4/HSPE1/FARSA/DDX18/RRP12/GNL3/NOLC1/PUS1/PLK1/RCL1/RABEPK/NOP16/NOC4L/PLK4/MCM5/UTP20/TBRG4/WDR74/MPHOSPH10/UNG/GRWD1/AIMP2/NOP56/PHB/SLC19A1/IPO4/TCOF1/DCTPP1/NOP2/IMP4/PPAN/MYC/NDUFAF4
CHOLESTEROL_HOMEOSTASIS,73,1.61177125020523,0.00166666666666667,0.00495000495000495,TRIB3/S100A11/TMEM97/CXCL16/NSDHL/CTNNB1/SQLE/SCD/DHCR7/EBP/PDK3/CYP51A1/SC5D/ACTG1/ALDOC/GLDC/FDPS/PLAUR/MAL2/CD9/GUSB/FBXO6/TM7SF2/ACAT2/ATF5/TNFRSF12A/PLSCR1/FASN/ANXA13/FDFT1/IDI1/PPARG/MVK/HMGCS1/FADS2/PCYT2/FABP5/ALCAM/HMGCR/LGMN/HSD17B7/SREBF2/ADH4/LDLR/LGALS3/STX5
PROTEIN_SECRETION,94,2.22461488430507,0.00169204737732657,0.00495000495000495,ERGIC3/RAB22A/TMED2/GLA/LAMP2/ZW10/ICA1/SCAMP3/BET1/COPB2/ANP32E/TMX1/STAM/TOM1L1/YKT6/ARFGEF2/RAB2A/CLTA/ARCN1/YIPF6/SCAMP1/M6PR/IGF2R/ADAM10/CLCN3/AP3B1/TMED10/TSG101/AP2B1/COPB1/ARF1/KRT18/ARFGEF1/RPS6KA3/RAB5A/CTSC/TPD52/ARFIP1/COPE/AP2S1/GNAS/CLTC/LMAN1/CLN5/PPT1/GOSR2/RAB9A/ATP7A/AP3S1/RAB14/ATP6V1H/SEC24D/SOD1/COG2
INTERFERON_ALPHA_RESPONSE,95,2.10338192724112,0.00172711571675302,0.00495000495000495,EPSTI1/IFITM1/PNPT1/PSMB9/HELZ2/NCOA7/CXCL11/RIPK2/ELF1/NMI/TAP1/BATF2/PSMA3/USP18/LAMP3/IFIH1/PSMB8/EIF2AK2/TRIM26/CXCL10/LY6E/IFI27/ISG15/PROCR/PSME2/CASP8/CMPK2/IL7/OAS1/HERC6/CD47/LGALS3BP/TRIM21/PSME1/LAP3/NUB1/IFI30/UBE2L6/CCRL2/ADAR/PLSCR1/TRIM14/MVB12A/CD74/IFIT3/GBP4/PARP12/MX1/HLA-C/TRIM5/IFI35/RSAD2
UNFOLDED_PROTEIN_RESPONSE,107,2.76105272392464,0.00174216027874564,0.00495000495000495,EXOSC5/DKC1/CKS1B/RRP9/SRPRB/PSAT1/KDELR3/SLC1A4/EXOSC4/DDX10/NPM1/YWHAZ/SSR1/XPOT/PDIA6/NHP2/CALR/NOLC1/NFYA/SLC7A5/EIF4EBP1/NOP14/LSM4/KHSRP/EIF4E/MTHFD2/DNAJC3/SERP1/HYOU1/NOP56/SLC30A5/YIF1A/HSP90B1/BANF1/SPCS1/PDIA5/IGFBP1/EXOSC2/EXOSC1/HSPA9/CHAC1/SDAD1/PREB/CNOT6/PAIP1/RPS14/CEBPG/ALDH18A1/ASNS/GEMIN4/PARN/POP4/TATDN2/STC2/EIF4A3/EIF2S1/IMP3/EIF4A1/ATF6/GOSR2/EXOC2/HSPA5/XBP1
DNA_REPAIR,148,2.73927465583904,0.00191938579654511,0.00495000495000495,RFC3/RAE1/PRIM1/HPRT1/RPA3/POLB/NME1/NELFCD/ALYREF/PCNA/POLR2D/BCAP31/POLA1/ZNRD1/RALA/FEN1/RFC5/ADRM1/RFC4/UMPS/CSTF3/GTF2H3/RFC2/POLR1D/ARL6IP1/TMED2/TP53/NCBP2/POLR1C/BOLA2/ITPA/NUDT21/SSRP1/POLR2K/POLA2/POLR2J/POLR3C/IMPDH2/ERCC8/DGUOK/LIG1/SEC61A1/ZWINT/NT5C3A/TAF9/RPA2/SAC3D1/CCNO/APRT/RAD51/POLD1/POLR2C/SF3A3/POLR2F/ERCC2/TSG101/CMPK2/MPG/COX17/POLR2G/DDB1/TAF12/TARBP2/DAD1/UPF3B/CLP1/EDF1/TYMS/MRPL40/GTF3C5/ZNF707/NELFE/DCTN4/GTF2F1/NELFB/STX3
UV_RESPONSE_UP,154,1.5192496851678,0.00191938579654511,0.00495000495000495,PPAT/CYB5B/BID/SIGMAR1/FEN1/RFC4/ATP6V1F/RPN1/CCNE1/POLE3/CTSV/EIF2S3/DDX21/GGH/TAP1/CHRNA5/CDC5L/LYN/GRPEL1/E2F5/HNRNPU/TUBA4A/PDAP1/YKT6/IGFBP2/HSPA13/FKBP4/AQP3/CEBPG/TMBIM6/AMD1/ATP6V1C1/TFRC/ASNS/CREG1/LHX2/TGFBRAP1/DNAJA1/MSX1/STIP1/APOM/PPIF/AP2S1/MRPL23/SPR/GRINA/CASP3/PTPRD/GLS/CDK2/FGF18/PPP1R2/PPT1
