hallmark,set_size,NES,pvalue,p.adjust,gene_set
MYC_TARGETS_V2,58,2.38997552922123,0.00175438596491228,0.00600961538461538,CBX3/PHB/SLC19A1/PLK1/SRM/MCM5/HSPD1/CDK4/BYSL/HSPE1/NPM1/FARSA/DCTPP1/TBRG4/MRTO4/NIP7/PES1/TFB2M/TMEM97/MCM4/UTP20/IPO4/NDUFAF4/NOP56/AIMP2/RRP9/TCOF1/PLK4/GRWD1/IMP4/EXOSC5
MYOGENESIS,198,-1.63444390899389,0.00184842883548983,0.00600961538461538,BDKRB2/GPX3/MYOM1/DMPK/MYLPF/CASQ1/BHLHE40/ATP2A1/ACTN3/CDH13/STC2/SLN/CAV3/MEF2A/REEP1/CASQ2/ANKRD2/EFS/CACNA1H/TAGLN/EPHB3/MYH7/ACTC1/MB/HDAC5/MYL1/ITGB4/TCAP/MYBPC3/TNNT3/SPEG/CKM/MYH1/FHL1/MYH2/MAPRE3/LAMA2/PYGM/MYL7/MYL3/NOS1/DES/GADD45B/MYH3/MYH11/ACSL1/DAPK2/ABLIM1/TNNC1/ACTA1/MYL2/BAG1/SGCG/TNNI2/TNNC2/SPDEF/SGCA/VIPR1/CFD/TNNT2/KLF5
INTERFERON_ALPHA_RESPONSE,95,2.67287697365626,0.00196078431372549,0.00600961538461538,LGALS3BP/BATF2/RTP4/CNP/BST2/SAMD9/SELL/IFI35/TMEM140/EIF2AK2/IFI30/CXCL10/LY6E/ADAR/ISG15/CXCL11/GMPR/GBP4/TDRD7/OASL/IFIT2/IFIT3/PSMB9/TRIM21/CD74/PSME2/UBE2L6/SP110/IFI27/USP18/PARP9/IFIH1/ISG20/PNPT1/MX1/PSMB8/SAMD9L/EPSTI1/CMPK2/RSAD2/HELZ2/PARP14/OAS1/LAP3/PLSCR1/PSME1/PSMA3/TAP1/HLA-C/CCRL2/IFI44L/NMI/IFI44/IRF1/B2M/IRF9/HERC6/TRIM5/IFITM3/TRIM26/TRIM14/STAT2/IFITM1/NUB1/DDX60
PROTEIN_SECRETION,94,2.08397498085715,0.00196463654223969,0.00600961538461538,PPT1/CD63/GNAS/AP2B1/ADAM10/GLA/M6PR/CLTC/COPB2/TMED10/GOSR2/YKT6/CTSC/LAMP2/ANP32E/ATP1A1/LMAN1/SCAMP3/BET1/AP2M1/STX7/SEC22B/ERGIC3/TMX1/IGF2R/ARF1/STAM/SOD1/SH3GL2/TMED2/CLCN3/SEC31A/COPE/AP3B1/SCRN1/SNAP23/AP2S1/YIPF6/ARCN1/RPS6KA3/ATP6V1H/SEC24D/COPB1/CLN5
UNFOLDED_PROTEIN_RESPONSE,107,2.29935351963563,0.00203252032520325,0.00600961538461538,SSR1/CALR/KDELR3/PDIA6/SLC7A5/EXOSC4/HYOU1/HSP90B1/EIF4EBP1/FKBP14/ALDH18A1/GOSR2/SRPRB/NPM1/SEC11A/KHSRP/SPCS1/BANF1/PARN/SHC1/SLC1A4/LSM4/EXOC2/WIPI1/CKS1B/NFYA/HSPA9/NOP56/PAIP1/DNAJC3/YIF1A/RRP9/PDIA5/SLC30A5/LSM1/SEC31A/PREB/IFIT1/XPOT/EXOSC5/DKC1/POP4/HSPA5/ARFGAP1/DNAJB9/DCTN1/SDAD1/CHAC1/NOLC1/EIF4A1/MTHFD2/NHP2/EXOSC9/CNOT4/FUS/EEF2/EXOSC1/ATF6/SPCS3/YWHAZ
COAGULATION,138,1.79794882901785,0.00210084033613445,0.00600961538461538,S100A1/PLAT/CPN1/DUSP6/ARF4/APOC2/CTSB/RABIF/MMP9/TIMP1/APOC1/MMP8/FN1/USP11/MMP15/TFPI2/C1QA/C2/MMP1/OLR1/LAMP2/MSRB2/A2M/S100A13/ITGB3/LGMN/CAPN5/DCT/PLEK/WDR1/MMP14/CFI/SERPINA1/CPQ/CPB2/PRSS23/CASP9/MMP11/CTSO/TF
DNA_REPAIR,148,2.64240007303919,0.00219298245614035,0.00600961538461538,FEN1/TYMS/PCNA/SDCBP/POLR2D/NME4/NME1/SEC61A1/POLR2F/ARL6IP1/RFC4/SNAPC5/RPA3/USP11/NCBP2/GTF2A2/RAD51/ZWINT/DAD1/PDE6G/COX17/CANT1/RFC3/TAF6/HPRT1/MPG/BOLA2/DGUOK/SF3A3/MRPL40/POLE4/POLR2K/RFC5/RFC2/POLD1/POLA2/POLR2J/SUPT4H1/GTF2H5/ERCC2/TARBP2/STX3/POLA1/POLR3C/ALYREF/CMPK2/GTF2F1/TMED2/RRM2B/CETN2/POLH/NELFE/ZNRD1/NELFCD/POLR2E/POLB/POM121/BCAP31/ITPA/DDB1/PRIM1/POLR2G/ADRM1/RALA/SSRP1/RPA2/ERCC4/NUDT21/NT5C3A/POLR3GL/SAC3D1/POLR1C/LIG1/ERCC8/NUDT9/RBX1/TK2/AK1/TAF13/UMPS/CLP1/CSTF3/GPX4/POLR2I/HCLS1/DCTN4/SUPT5H/GTF2H1/BRF2
UV_RESPONSE_UP,154,1.76625783548463,0.00221729490022173,0.00600961538461538,PPT1/FEN1/CNP/RPN1/HSPA13/RAB27A/BSG/CHRNA5/CDK2/ATP6V1C1/RFC4/SPR/UROD/COL2A1/PPAT/YKT6/STIP1/HNRNPU/NAT1/DNAJA1/CYB5B/ATP6V1F/ALAS1/SQSTM1/SLC25A4/ONECUT1/ICAM1/CDC5L/IGFBP2/MMP14/PDAP1/ALDOA/LYN/ENO2/TMBIM6/GRINA/SLC6A12/NKX2-5/SLC6A8/PRKACA/CASP3/BID/MGAT1/CHKA/KLHDC3/NPTXR/EIF2S3/BAK1/AP2S1/GGH/ARRB2/CLCN2/TFRC/TAP1/PRKCD/MAPK8IP2/TGFBRAP1/CCNE1
APOPTOSIS,159,1.5492435065558,0.00223214285714286,0.00600961538461538,PPT1/PLAT/LEF1/BAX/PSEN2/CDK2/TIMP1/BRCA1/CTNNB1/DFFA/TOP2A/DIABLO/CD2/PRF1/GPX1/DNAJA1/CTH/FASLG/NEFH/CD14/DAP3/GSR/SQSTM1/SLC20A1/CD38/CDC25B/IGF2R/SOD1/ISG20/DAP/PTK2/BMF/DNAJC3/ENO2/CASP9/IL1B/CASP3/BID/PLCB2/ERBB3/BCAP31/TNFRSF12A/CCND1/TIMP2/CASP2/TAP1/PEA15/RARA/IRF1/CCNA1/AIFM3/IFITM3/BGN/DNM1L/RNASEL/GPX4/APP
ALLOGRAFT_REJECTION,194,2.5074577219504,0.00234741784037559,0.00600961538461538,CCL5/CD79A/CDKN2A/NME1/IRF4/MMP9/CXCL9/CXCR3/CCR5/TIMP1/BRCA1/PSMB10/STAT1/GZMB/IL12RB1/CXCL13/GZMA/MRPL3/CTSS/IFNAR2/C2/CD2/PRF1/NPM1/IGSF6/CCL4/LY86/IL2RA/CD3E/CD8A/CD86/CCR1/ITGAL/SIT1/LTB/ETS1/FASLG/CD3D/CD3G/IL27RA/ITGB2/HLA-G/AKT1/DYRK3/HLA-A/IL2RG/CRTAM/MTIF2/CD4/LCK/TAP2/CD74/GPR65/LCP2/ICAM1/CD96/HLA-DOA/CSK/CD80/TLR1/HLA-DRA/IFNG/TAPBP/WAS/CD8B/CD7/MAP4K1/ST8SIA4/LYN/CD28/CD247/NCR1/SRGN/CCL11/SPI1/IFNGR2/UBE2N/IL1B/HLA-DMA/PTPRC/BCAT1/KLRD1/HLA-DQA1/TLR6/CD1D/ABCE1/CCL7/IRF8/CCR2/TAP1/MBL2/HLA-DMB/TRAT1/EIF5A/TRAF2/IL10/B2M/TLR3/CAPG/IL2RB/FLNA/FCGR2B/NCF4/EIF4G3/HCLS1/NLRP3/GCNT1/ZAP70/THY1/IL12B
