hallmark,set_size,NES,pvalue,p.adjust,gene_set
ALLOGRAFT_REJECTION,194,2.72238354370541,0.00109649122807018,0.00314406086901842,F2R/BRCA1/INHBA/CXCL9/STAT1/RIPK2/C2/CDKN2A/TIMP1/LYN/UBE2D1/IGSF6/ABCE1/MRPL3/LY75/TAPBP/NME1/CD80/MMP9/TAP1/CD86/IL2RA/CTSS/TAP2/IL2RG/IL27RA/HIF1A/THY1/UBE2N/HLA-DOA/GZMB/GALNT1/ST8SIA4/TRAF2/CD4/TPD52/IFNAR2/CCR1/IL2RB/CCL7/IL7/NOS2/CSK/CCL22/LY86/CD74/PRKCG/HLA-DRA/LCP2/LTB/HLA-DQA1/SPI1/ACHE/CXCR3/CCL4/NCR1/IL12RB1/EIF5A/IRF8/HLA-A/IFNG/ITGB2/NCK1/TGFB1/CD3G/ICAM1/CD28/ABI1/IFNGR2/TRAT1/FAS/CAPG/LCK/CXCL13/HLA-DMB/CCL5/CCR5/ELF4/CRTAM/SOCS1/IL18/PTPRC/RPL39/GPR65/EIF3J/BCAT1/GZMA/EREG/ETS1/BCL3/FASLG/CD2/TLR1/B2M/HLA-G/CD96/HLA-DMA/IL12B/TGFB2/TLR6/EGFR/CD7/SRGN/CD40LG/ITGAL/IL11/PF4/CD47/GLMN/PTPN6/CD3E/CD3D/BCL10/HLA-E/IFNGR1/CCND2/PSMB10/WAS
IL2_STAT5_SIGNALING,194,1.82182304633826,0.00109649122807018,0.00314406086901842,ETV4/LCLAT1/TNFSF11/CDC6/SPP1/AHR/TNFRSF9/CCNE1/POU2F1/CXCL10/CSF2/F2RL2/GBP4/SLC39A8/CD86/IL2RA/PLSCR1/MYO1E/COCH/EOMES/PTRH2/PDCD2L/RABGAP1L/ANXA4/TLR7/BMPR2/SPRED2/ITGA6/IL2RB/BATF/CDC42SE2/CCR4/LRRC8C/CTLA4/AHCY/DCPS/GALM/CD83/PLEC/UMPS/LTB/SELL/TNFRSF21/CD44/NCOA3/HUWE1/NT5E/ICOS/CTSZ/IRF8/PHTF2/ITGAV/TNFSF10/CDCP1/NOP2/UCK2/SPRY4/SYNGR2/SLC1A5/CAPG/SOCS1/GPR65/CST7/IFITM3/NRP1/TNFRSF4/BCL2L1/FAM126B/GPX4/FURIN/CYFIP1/CASP3
INFLAMMATORY_RESPONSE,199,2.26370381045883,0.00109649122807018,0.00314406086901842,INHBA/CXCL9/MET/LY6E/CXCL11/NMI/RIPK2/AHR/EIF2AK2/TNFRSF9/LAMP3/TIMP1/CXCL10/LYN/TAPBP/OLR1/CXCL8/MSR1/CLEC5A/TNFSF9/CXCL6/APLNR/ATP2A2/ITGB8/CCL20/IRAK2/PTAFR/CYBB/TNFSF15/CD70/HIF1A/IFITM1/GNAI3/ATP2B1/ATP2C1/PSEN1/ADRM1/IL2RB/CCL7/CCL22/PVR/IL1A/CCRL2/LCP2/ADORA2B/SELL/C3AR1/SLC7A1/HRH1/RTP4/SRI/CALCRL/PTPRE/RASGRP1/OSM/RHOG/IFNAR1/MMP14/TNFSF10/GPR132/ROS1/PLAUR/ICAM1/CD55/ABI1/IFNGR2/BST2/LCK/LTA/CD14/CCL5/NFKB1/IL18/GCH1/CCL24/KCNJ2/EREG/FZD5/TLR1
MYC_TARGETS_V1,194,3.08368599187478,0.00109649122807018,0.00314406086901842,MAD2L1/MCM2/MCM4/KPNA2/PCNA/CCNA2/PSMB2/SRPK1/SNRPD1/TYMS/MCM6/TFDP1/CAD/RANBP1/FAM120A/CBX3/SF3B3/ABCE1/CCT5/PABPC1/PSMD1/CDC45/G3BP1/PSMB3/NME1/DEK/CSTF2/PSMD14/MCM5/BUB3/HDGF/PPIA/CDC20/SNRPB2/KPNB1/SRM/SNRPG/XPO1/SMARCC1/SET/SERBP1/RAN/NCBP1/CANX/RFC4/RUVBL2/PTGES3/AIMP2/NOLC1/HSPE1/DDX21/USP1/C1QBP/HNRNPR/GLO1/DDX18/SNRPD3/PA2G4/POLE3/LDHA/RRM1/LSM7/ILF2/PSMC4/CCT3/SYNCRIP/RAD23B/RNPS1/CCT2/HDAC2/PSMA4/MCM7/NOP56/PPM1G/RSL1D1/PSMD3/CDK4/ERH/FBL/HPRT1/EIF2S2/PHB/SNRPA/PSMA7/XPOT/CLNS1A/TRIM28/CCT4/YWHAE/UBA2/SSBP1/YWHAQ/HSPD1/PGK1/SSB/HNRNPU/EIF4G2/UBE2L3/LSM2/PRDX3/HSP90AB1/PSMA2/MRPL9/EIF3J/VBP1/RPS2/POLD2/CCT7/SNRPD2/EIF1AX/EIF2S1
DNA_REPAIR,148,1.73612363603583,0.0011001100110011,0.00314406086901842,RFC3/PCNA/RAD51/TYMS/FEN1/ARL6IP1/NME1/POLA1/PRIM1/RPA3/NT5C3A/ZWINT/RAE1/RFC5/GTF2H3/POLR2D/POLH/TP53/POLR2K/RFC4/RRM2B/POLD3/POLD1/ALYREF/CSTF3/NUDT21/SAC3D1/POLA2/ADRM1/TMED2/POLR3C/RFC2/RALA/CMPK2/UMPS/NELFCD/HPRT1/CANT1/GTF2A2
E2F_TARGETS,195,3.56481628383315,0.00110132158590308,0.00314406086901842,TRIP13/CHEK1/BRCA1/BRCA2/RFC3/MAD2L1/MCM2/MCM4/DCLRE1B/TOP2A/CENPE/UBE2T/GINS4/RAD51AP1/PLK4/PRIM2/GINS1/HELLS/KPNA2/PAICS/MMS22L/DSCC1/KIF2C/PCNA/NCAPD2/HMGB3/CSE1L/PRKDC/MSH2/MYBL2/CKS2/AURKA/CDKN3/CKS1B/LMNB1/MKI67/RACGAP1/DCK/MCM6/PLK1/SPAG5/ATAD2/BUB1B/CDK1/ORC6/HUS1/SMC4/KIF4A/MELK/ANP32E/CCNB2/CCNE1/RANBP1/LYAR/DEPDC1/HMMR/CDKN2A/TACC3/TIPIN/CDC25A/TUBB/BARD1/CDCA8/NBN/UBE2S/SNRPB/DLGAP5/PTTG1/STMN1/SPC25/MCM3/NME1/ASF1B/TMPO/KIF18B/DEK/RPA3/RNASEH2A/SMC3/MCM5/RRM2/HMGA1/TK1/DNMT1/BIRC5/CDC20/CTCF/SMC6/TIMELESS/EZH2/DIAPH3/TFRC/XPO1/TP53/DCTPP1/AURKB/SMC1A/SPC24/SUV39H1/RAN/SLBP/PMS2/KIF22/NUP205/RAD21/NOLC1/CDCA3/POLD3/USP1/POLD1/PA2G4/CENPM/CHEK2/NUDT21/HMGB2/SYNCRIP/TCF19/POLA2/IPO7/NUP153/GINS3/PDS5B/CBX5/RFC2/MCM7/NOP56/NUP107/CDK4/ESPL1
KRAS_SIGNALING_UP,195,1.74889763674833,0.00110132158590308,0.00314406086901842,MMP11/ETV4/INHBA/EPHB2/SPP1/CXCL10/CSF2/AMMECR1/SOX9/MMP9/AVL9/FCER1G/CCL20/IGFBP3/CTSS/ITGA2/TMEM158/ADAM17/IL2RG/ADAM8/RABGAP1L/LAPTM5/PLAU/ST6GAL1/LCP1/HOXD11/MAP3K1/TMEM176A/JUP/IGF2/GABRA3/CBX8/ANKH/PDCD1LG2/HKDC1/PRRX1/PSMB8/TMEM176B/ADAMDEC1/C3AR1/PPBP/STRN/MAP7/IRF8/ITGB2/TLR8/PLEK2/PLAUR/ANO1/PTPRR/LY96/RBP4/CFB/TSPAN13/ETV5/TOR1AIP2/EREG/ETS1/CLEC4A/NRP1/USH1C/ZNF639/CXCR4/DUSP6/MAFB/TNFAIP3/CD37/MMP10/TNFRSF1B/GALNT3/PRKG2/YRDC/IKZF1/GPNMB/CCND2/ITGBL1/CBL/ZNF277/FBXO4/LIF/LAT2/WNT7A/EVI5
MTORC1_SIGNALING,195,2.33673075777331,0.00110132158590308,0.00314406086901842,MCM2/MCM4/CCNF/BUB1/AURKA/PLK1/DHFR/ACTR2/CDC25A/CTSC/SSR1/GMPS/PSME3/CYB5B/GSK3B/PSMD14/RPN1/RRM2/PPIA/ATP2A2/IFI30/TFRC/PPA1/TOMM40/POLR3G/CANX/ACTR3/NUP205/GLA/HSPE1/SCD/CACYBP/LDHA/PNO1/CALR/GAPDH/PSMC4/SLC2A1/CCT6A/PSMG1/PSMA4/HSP90B1/DHCR7/SERPINH1/ACLY/GPI/PSMD12/NUFIP1/HPRT1/EIF2S2/STIP1/G6PD/ITGB2/ENO1/TUBG1/UCHL5/SRD5A1/HSPD1/PGK1/LGMN/PSPH/SLC1A5/TCEA1/PSMC2/ACACA/SKAP2/SORD/BCAT1/CYP51A1/EEF1E1/PSMA3/SLC1A4/HSPA4/UNG/TBK1/SLC6A6/HSPA5/SQLE/CXCR4/ADD3/RDH11/RRP9/GTF2H1/ABCF2
COMPLEMENT,200,2.02484154531204,0.00110253583241455,0.00314406086901842,PLA2G7/APOC1/MMP13/VCPIP1/C2/TIMP1/LYN/F5/CTSC/KIF2A/RABIF/CXCL1/OLR1/MMP12/FCER1G/CTSB/DYRK2/SH2B3/PLSCR1/PDP1/GATA3/PSMB9/CTSS/USP14/SERPINB2/GMFB/GNAI3/KYNU/GZMB/PCSK9/CR2/PSEN1/KLK1/LAP3/CTSV/PREP/LCP2/LIPA/C1QC/APOBEC3F/HNF4A/PRSS3/LAMP2/RASGRP1/RHOG/GPD2/PLEK/MMP14/CDH13/PLAUR/CD55/LGMN/CFB/SPOCK2/LCK/APOBEC3G/PPP4C/CCL5/CP/PIK3CG/F7/CTSD/DOCK10/GNAI2/DPP4/GZMA/ADAM9/CASP5/C1QA/CASP1/PFN1/CTSH/ERAP2/HSPA5/PLA2G4A/GZMK/CASP3/USP8/DUSP6/LGALS3
EPITHELIAL_MESENCHYMAL_TRANSITION,198,1.99090682530173,0.00110619469026549,0.00314406086901842,CTHRC1/ADAM12/MEST/INHBA/MXRA5/COL11A1/COL1A1/BGN/SPP1/SFRP4/FAP/TNFRSF11B/LAMC2/PMEPA1/TIMP1/PLOD3/THBS2/CXCL1/COL1A2/CXCL8/VCAN/CXCL6/DKK1/IL32/COL3A1/IGFBP3/COPA/MATN3/LOXL2/LOX/ITGA2/CDH11/COL12A1/LUM/SPARC/THY1/WNT5A/LRRC15/COMP/VCAM1/PVR/COL4A1/OXTR/SERPINH1/PRRX1/PLOD1/MCM7/CD44/MSX1/COL5A2/NT5E/CDH6/MMP14/ITGAV/COL5A1/TGFB1/PLAUR/P3H1/MMP1/TPM4/FAS/LOXL1/CAPG/MMP3/FOXC2/COLGALT1/TGFBI/PPIB/FBN2/LAMA1/LAMA3/SERPINE2/BDNF/PDGFRB/TNFRSF12A/ECM1/CALU/TNFAIP3/ITGB1/GPX7/NTM/COL6A3/WIPF1/GREM1
