hallmark,set_size,NES,pvalue,p.adjust,gene_set
MYC_TARGETS_V2,58,2.21926693575317,0.00172413793103448,0.00310655483069276,MCM4/CBX3/HK2/NPM1/CDK4/EXOSC5/PLK4/PA2G4/PHB/FARSA/NIP7/RRP9/MRTO4/PES1/MCM5/TMEM97/WDR74/GRWD1/UNG/DCTPP1/RRP12/TFB2M/NOC4L/BYSL/WDR43/IPO4/MPHOSPH10/AIMP2/HSPD1/RABEPK/IMP4/DDX18
TGF_BETA_SIGNALING,54,1.86105534580767,0.00172711571675302,0.00310655483069276,TGFBR1/ACVR1/CTNNB1/XIAP/IFNGR2/PPP1CA/ID2/PMEPA1/TGIF1/CDH1/HDAC1/RHOA/SMURF2/TGFB1
CHOLESTEROL_HOMEOSTASIS,73,1.85479758021971,0.00174520069808028,0.00310655483069276,LGALS3/CXCL16/SC5D/S100A11/ACTG1/CTNNB1/TM7SF2/TNFRSF12A/CLU/ANXA5/CD9/DHCR7/CYP51A1/FBXO6/ETHE1/ECH1/PMVK/ATF5/GUSB/PLAUR/ALCAM/TMEM97/EBP/MAL2/NSDHL/FDPS/PDK3/TRIB3/PCYT2/GPX8/LPL
IL6_JAK_STAT3_SIGNALING,85,1.68596900887463,0.00179533213644524,0.00310655483069276,CD44/PDGFC/CSF2/IL13RA1/CRLF2/GRB2/TNFRSF21/IFNAR1/TNFRSF12A/IFNGR2/CD9/STAT1/EBI3/TGFB1/IL10RB/FAS/SOCS1/HAX1/CCR1/CD14/CCL7/PTPN11/HMOX1/CBL/TNFRSF1B/TLR2/MYD88/IFNGR1/IL1B/STAM2/CXCL10/LTB/BAK1/CXCL11/ITGB3/IRF9/CXCL9
PROTEIN_SECRETION,94,2.81735585080183,0.00184842883548983,0.00310655483069276,CD63/PPT1/CTSC/ANP32E/IGF2R/ARFIP1/LAMP2/PAM/VAMP3/STAM/SCAMP1/AP2M1/CLTA/M6PR/SGMS1/TSG101/RAB14/KRT18/RAB5A/TMED2/MAPK1/ARCN1/AP2B1/SNAP23/RAB2A/CLTC/RAB22A/ERGIC3/RPS6KA3/CLCN3/TPD52/LMAN1/VPS4B/SCRN1/ARF1/COPB2/SCAMP3/AP3B1/AP3S1/TMED10/RAB9A/TMX1/COPE/YIPF6/SNX2/ARFGEF1/ADAM10/COPB1/SOD1/YKT6/SSPN/BET1/ATP7A/AP2S1/GNAS/SEC31A/ATP6V1H/ZW10/USO1/EGFR
INTERFERON_ALPHA_RESPONSE,95,2.18364958497135,0.0018796992481203,0.00310655483069276,CNP/LGALS3BP/IFIT2/NUB1/CD47/TRIM14/LY6E/IFI30/PSMB8/PSME1/RIPK2/IRF2/PARP9/DDX60/TRIM21/GMPR/IFIT3/USP18/B2M/NMI/RSAD2/LAMP3/RTP4/CD74/ISG15/IFIH1/UBE2L6/PARP14/TRAFD1/OASL/HERC6/HLA-C/ADAR/PSMB9/GBP2/TRIM26/OAS1/SAMD9/TAP1/TDRD7/CMPK2/EPSTI1/PSMA3/MX1/MVB12A/PARP12/EIF2AK2/LAP3/SP110/ELF1/IFI35/CXCL10/IFI27/CXCL11/CCRL2/IRF9/BATF2/SELL/PSME2/GBP4
ANDROGEN_RESPONSE,96,1.94658385400526,0.00188679245283019,0.00310655483069276,CCND1/KRT19/TMEM50A/UBE2I/TSC22D1/ALDH1A3/VAPA/DBI/MYL12A/XRCC5/PMEPA1/PA2G4/PTK2B/RAB4A/CCND3/GNAI3/XRCC6/MAP7/ITGAV/RPS6KA3/NCOA4/TPD52/ACSL3/LMAN1/UBE2J1/GSR/B2M/KRT8/ADRM1/ZBTB10/STK39/SAT1/SLC26A2/B4GALT1/ANKH/AKT1/SRP19/RRP12/PDLIM5/CENPN
PEROXISOME,104,2.40198482501721,0.00188679245283019,0.00310655483069276,RXRG/ISOC1/CDK7/ACOX1/SLC27A2/IDH1/CRABP2/SLC35B2/PEX11B/MSH2/HMGCL/DHRS3/PABPC1/CNBP/NUDT19/BCL10/SMARCC1/PEX14/TOP2A/SULT2B1/ABCD3/MVP/VPS4B/ECH1/PEX2/FIS1/SCP2/IDE/TSPO/PRDX5/CADM1/PEX13/HSD3B7/IDH2/RDH11/GNPAT/CLN6/ACSL4/ACAA1/SOD1/CTBP1/ABCB9/FDPS/CLN8/ACSL5/ITGB1BP1/HRAS/SLC25A17/EPHX2/ALDH9A1/CAT/FABP6/EHHADH/YWHAH/DLG4/STS/SLC25A19/SLC25A4/ECI2
UNFOLDED_PROTEIN_RESPONSE,107,1.97288334305394,0.00188679245283019,0.00310655483069276,YWHAZ/KDELR3/NPM1/SEC11A/PARN/EXOSC5/PAIP1/BANF1/EEF2/SPCS1/EDEM1/LSM1/LSM4/EXOSC4/CKS1B/EXOSC1/NHP2/RRP9/EIF4A2/IMP3/SSR1/SLC1A4/SLC30A5/DKC1/EIF4E/RPS14/EXOC2/KIF5B/IFIT1/YIF1A/NOP14/ALDH18A1/ATF6/SERP1/POP4/EIF2S1/EIF4A3/CNOT6/SEC31A/DDX10/DCTN1/SDAD1/DNAJC3/DNAJB9/ATP6V0D1/SRPRB/HSPA9/CNOT2/IGFBP1/SPCS3/BAG3/CALR
PI3K_AKT_MTOR_SIGNALING,102,2.16512402050612,0.00190114068441065,0.00310655483069276,E2F1/TIAM1/GSK3B/SFN/CDK4/ARPC3/GRB2/PRKAG1/RAC1/AP2M1/YWHAB/ITPR2/PPP1CA/CFL1/MAPK1/ACTR2/RALB/CAB39/CLTC/PFN1/SLC2A1/RPS6KA3/RIT1/CDK1/ARF1/SQSTM1/CDKN1A/PLA2G12A/EIF4E/ACTR3/MAPK9/CSNK2B/ATF1/UBE2N/MAPKAP1/PTPN11/PRKAR2A/AKT1/RPTOR/TRIB3/PAK4/TBK1/HRAS/VAV3/EGFR/RPS6KA1/MYD88/MAP2K3/NOD1/DUSP3/SMAD2
DNA_REPAIR,148,2.60694545450235,0.00203665987780041,0.00310655483069276,NT5C3A/AK1/TP53/PCNA/MPC2/DDB1/NCBP2/GPX4/POLR2D/CANT1/ARL6IP1/DCTN4/TAF12/TYMS/RFC2/FEN1/MPG/TSG101/RPA2/SUPT4H1/RRM2B/HPRT1/GTF2H5/ZWINT/TMED2/RALA/POLR2C/TK2/GTF2B/GTF2F1/PNP/BCAP31/SF3A3/POLR3C/GMPR2/PRIM1/UMPS/POLR2E/NME1/IMPDH2/GTF2H3/POLR2K/RAD51/POLR2I/DGUOK/MRPL40/BRF2/SEC61A1/DDB2/POLR2J/NELFB/TAF13/NUDT21/SAC3D1/ADRM1/APRT/RFC5/DAD1/EDF1/ZNRD1/RPA3/SNAPC5/ALYREF/TAF6/POLA1/CLP1/CSTF3/GTF2A2/POLB/STX3/TAF9/POLR2G/RBX1/POLD4/ITPA/POLH/COX17/SURF1/BOLA2/CETN2/PDE6G/POLR2A/NELFE/CMPK2/CDA/XPC/SSRP1/POLA2/POLR2F/POLR3GL/NUDT9/AK3/GUK1/RFC4/NME4/EIF1B
COAGULATION,137,2.03978851741227,0.00206611570247934,0.00310655483069276,SERPINA1/DPP4/FN1/DUSP6/TMPRSS6/ITGA2/CTSH/S100A1/PROS1/CTSB/ANXA1/LAMP2/FYN/RABIF/LTA4H/MMP7/RAC1/MMP11/PLAU/CFI/ISCU/CLU/APOC1/PRSS23/S100A13/CD9/TIMP1/WDR1/HPN/PREP/GNB2/PROC/C8A/SPARC/OLR1/CFB/APOC2/MMP9/CTSO/MMP1/GNG12/MMP10/C8B/C1QA/ARF4/CRIP2/ADAM9/COMP/KLK8/SERPINB2
UV_RESPONSE_UP,154,1.92196614537972,0.0020703933747412,0.00310655483069276,NPTXR/RAB27A/BID/PPT1/CDKN2B/TYRO3/CNP/PPP1R2/CYB5B/ATP6V1F/TMBIM6/FEN1/POLE3/EPCAM/SIGMAR1/RPN1/PRKCD/BSG/PRKACA/LYN/CCND3/HNRNPU/CDC5L/TST/PSMC3/CASP3/CDC34/SQSTM1/EIF2S3/PDAP1/GGH/BTG3/TUBA4A/HSPA13/UROD/ICAM1/GRINA/ALDOA/ACAA1/YKT6/ALAS1/GRPEL1/HMOX1/AP2S1/CLTB/KLHDC3/TAP1/ATP6V1C1/MAOA/COL2A1/CREG1/NAT1/RET/CTSV/PPAT/FURIN/MRPL23/CXCL2/MARK2/LHX2/BTG2/DLG4/RFC4/DNAJA1/CCNE1/GLS/CYB5R1/SLC25A4/BAK1
FATTY_ACID_METABOLISM,156,1.87963713078511,0.00212314225053079,0.00310655483069276,ACOX1/IDH1/BLVRA/ALDH3A2/GPD2/APEX1/MDH1/HMGCL/ODC1/ERP29/RAP1GDS1/PSME1/SUCLG2/PCBD1/ACSM3/ECH1/ADSL/CCDC58/CPT2/LGALS1/HCCS/REEP6/ECHS1/OSTC/HIBCH/UROD/IL4I1/TDO2/PDHB/RDH11/UBE2L6/CRYZ/NBN/DECR1/CBR3/ALDOA/ACSL4/HADH/S100A10/HSDL2/PRDX6/GSTZ1/ACAA1/GRHPR/ACAA2/UROS/HADHB/SERINC1/NSDHL/ACOT2/MDH2/ACO2/ACSL5/AUH/PTS/NTHL1/MAOA/SDHC/DLST/ECI1/ALDH9A1/EHHADH/MIF/HSD17B10/LDHA/YWHAH/CBR1/INMT/DLD/SDHD/ECI2/METAP1/ALAD/PDHA1/IDH3G/PTPRG/HPGD
