hallmark,set_size,NES,pvalue,p.adjust,gene_set
G2M_CHECKPOINT,190,2.21995364411827,0.001230012300123,0.00316435668628568,CCND1/SNRPD1/MEIS2/RASAL2/NCL/STMN1/SYNCRIP/MNAT1/EFNA5/MEIS1/UCK2/SS18/NASP/CDK4/DKC1/ORC6/DTYMK/ORC5/FANCC/G3BP1/MCM3/PURA/CUL1/HMGB3/SLC12A2/CKS1B/DMD/EZH2/SRSF1/SMC4/NOLC1/CUL5/TTK/CBX1/SMC2/MAD2L1/KIF20B/PBK/CHEK1/GINS2/UBE2C/CCNF/NDC80/PLK4/CENPF/CHAF1A/TRAIP/AURKB/POLA2/FBXO5/KIF11/TOP2A/CDK1/CDC45/TNPO2/ABL1/CCNB2/BIRC5/HMGN2/SFPQ/SQLE/MCM2/KIF15/TMPO/CENPE/CENPA/PTTG1/CDC6/EXO1/CDC20/CCNA2/CKS2/CDC25A/RAD54L/KIF23/SRSF10/CDKN3/MKI67/HMMR/RBL1/BRCA2/HNRNPD/NEK2/KIF2C/PLK1/INCENP/CDC7/PRIM2/KPNA2/NUSAP1/TPX2/BUB3/KIF22/BARD1/SUV39H1/RACGAP1/POLQ/ILF3/KIF4A/WRN/MCM6/BUB1/CDKN2C/STIL/CTCF/MTF2/PRC1/MCM5/ESPL1
E2F_TARGETS,195,2.81642286281184,0.00123152709359606,0.00316435668628568,CBX5/PAICS/GINS3/CSE1L/PSIP1/RAD1/STMN1/NUDT21/SYNCRIP/RAD51C/RAN/BRMS1L/PCNA/NASP/UBR7/MSH2/CDK4/RAD50/TIPIN/RPA3/UNG/ORC6/ASF1A/NME1/DSCC1/HELLS/RANBP1/RFC3/NUP107/EIF2S1/PSMC3IP/MCM3/POLD2/CDKN2A/HMGB3/GINS1/CKS1B/RFC1/RPA1/EZH2/SRSF1/SMC4/NOLC1/RBBP7/MCM4/RNASEH2A/TP53/MAD2L1/DUT/UBE2T/PHF5A/ZW10/CHEK1/SSRP1/TUBB/EXOSC8/PLK4/NAP1L1/SPC25/CHEK2/BUB1B/AURKB/ATAD2/TRIP13/POLA2/MCM7/WEE1/TOP2A/CDK1/CDCA3/SPC24/CIT/CCNB2/CDCA8/BIRC5/RAD51AP1/MCM2/TMPO/WDR90/MELK/ANP32E/CENPE/PTTG1/IPO7/PPP1R8/CDC20/CKS2/CDC25A/CENPM/NCAPD2/TIMELESS/SMC3/CDKN3/PRDX4/POP7/MKI67/HMMR/BRCA2/HNRNPD/SHMT1/KIF2C/PLK1/CTPS1/PRIM2/KPNA2/TCF19/NAA38/KIF22/BARD1/ASF1B/SUV39H1/RACGAP1/MMS22L/ILF3/CCNE1/KIF4A/DONSON/DEPDC1/DLGAP5/MCM6/MLH1/SPAG5/TK1/DCTPP1/USP1/E2F8/LIG1/CDKN2C/POLD1/CTCF/MCM5/ESPL1/NUP205/KIF18B/AURKA/DCK/XRCC6/RRM2/BRCA1/DIAPH3/LUC7L3/NOP56/SMC6/POLE/MYC/XPO1/DEK/SNRPB/SMC1A/TUBG1/DNMT1/TRA2B
MYC_TARGETS_V1,194,2.59132355793233,0.00123762376237624,0.00316435668628568,NCBP2/SNRPD1/PRPS2/CLNS1A/SERBP1/NPM1/SSB/SNRPD3/SNRPG/SYNCRIP/SSBP1/PWP1/RAN/MRPS18B/PSMD14/PCNA/ILF2/CDK4/RFC4/YWHAQ/PPIA/SNRPD2/SET/HDDC2/GLO1/RPL6/RPL34/SNRPB2/NME1/ABCE1/YWHAE/RANBP1/G3BP1/ERH/CSTF2/EIF2S1/EXOSC7/C1QBP/UBA2/EIF1AX/HDAC2/NDUFAB1/MRPL9/APEX1/POLD2/CUL1/HNRNPA1/LSM7/CCT2/RRM1/CCT4/PSMA2/SRSF1/PSMA4/NHP2/NOP16/NOLC1/UBE2E1/MCM4/STARD7/MAD2L1/DUT/EEF1B2/PSMD3/CCT7/RUVBL2/AIMP2/PHB/NAP1L1/HNRNPR/GNL3/RPS6/RPL22/CCT3/MCM7/XPOT/IMPDH2/CDC45/PRPF31/LSM2/TYMS/MCM2/EIF3B/PSMB2/GOT2/CDC20/VDAC1/CCNA2/FBL/SNRPA1/CBX3/COX5A/RSL1D1/PRDX4/POLE3/NCBP1/HNRNPD/TXNL4A/VDAC3/CTPS1/KPNA2/PSMA6/BUB3/EIF4E/DHX15/RPLP0/MRPL23/MCM6/RPL14/HPRT1/RRP9/RPS10/USP1/TRIM28/CAD/VBP1/EIF3J/MCM5/SRM/XRCC6/HNRNPA2B1/SF3B3/TUFM/RPL18/NOP56/RPS3/DDX18/ACP1/SMARCC1/MYC/PPM1G/PHB2/XPO1/PSMC6/DEK
EPITHELIAL_MESENCHYMAL_TRANSITION,198,1.86208440569927,0.0012453300124533,0.00316435668628568,GPC1/FZD8/PFN2/CDH2/IGFBP2/ITGA2/COL16A1/SGCB/THY1/MMP14/SFRP4/SLIT3/ITGAV/SNAI2/PLOD2/COL4A2/COL4A1/MEST/COL11A1/COL8A2/MXRA5/LAMC1/PRRX1/CDH11/COL5A1/CTHRC1/FBLN1/DST/WNT5A/LAMA1/COL12A1/SDC1/SERPINE2/GJA1/NID2/SLIT2/PMP22/VEGFC/CADM1/GAS1/LAMA3/SPOCK1/FBLN5/FMOD/CXCL12/COL1A1/COL6A3/FN1/COL6A2/MATN3/LAMC2/CALD1/COL7A1/EDIL3/OXTR/BGN/COL1A2/CRLF1/COL5A2/FBLN2/BDNF/FERMT2/FGF2/BMP1/MCM7/IGFBP4/FSTL1/ADAM12/TFPI2/MAGEE1/PDLIM4/TNC/FUCA1/CDH6/HTRA1/GEM/LOXL2/ACTA2/COL3A1/SFRP1/COMP/DPYSL3/THBS2/LUM/VCAM1/SDC4/CAP2/LRRC15/POSTN/LOXL1/IGFBP3/TIMP3/FAP/DCN/PCOLCE/MMP2/CALU/FBN1/MATN2/ITGB5/EFEMP2/APLP1/PMEPA1/ECM2/MSX1/GPX7
OXIDATIVE_PHOSPHORYLATION,184,1.98031306053766,0.0012453300124533,0.00316435668628568,NDUFA5/COX6C/BDH2/IDH3A/NDUFB5/MDH1/MTX2/COX11/UQCRB/ATP1B1/LRPPRC/NDUFC1/NDUFS4/MRPL35/FDX1/PDHA1/PDHX/TIMM9/NDUFA8/AFG3L2/DLAT/TIMM13/COX17/TOMM22/UQCRH/FH/NDUFB2/AIFM1/NDUFA6/NDUFA1/NDUFAB1/MRPS30/NDUFS6/COX7B/UQCRQ/ECI1/COX7C/MRPL11/TIMM17A/SLC25A4/NDUFS3/NDUFA7/MRPL34/NDUFA4/NDUFB1/SUCLA2/ETFB/TIMM8B/NDUFB4/ACADM/MRPL15/TIMM10/LDHB/ATP6V1G1/SLC25A5/GOT2/VDAC1/NDUFB8/HSPA9/ACADSB/POLR2F/COX5A/TIMM50/MRPS11/MRPS22/ALDH6A1/NDUFB7/UQCR10/COX7A2/UQCRC2/MRPS15/VDAC3/NDUFS8/COX4I1/PMPCA/COX7A2L/NDUFC2/COX6A1/NDUFA3/HSD17B10/CASP7/MDH2/NDUFA9/SLC25A12/OPA1/ABCB7/NDUFV2/NDUFS1/MRPS12/NDUFA2/MPC1/IDH2/NNT/MGST3/PDHB/ECHS1/PHB2/PDP1/ATP6V1H/SUPV3L1/CYB5A/UQCRFS1
ESTROGEN_RESPONSE_LATE,196,1.55861304752462,0.00124843945068664,0.00316435668628568,MDK/CCND1/PLXNB1/SFN/HR/COX6C/PKP3/ABCA3/PERP/TSPAN13/CDH1/MOCS2/NBL1/OLFM1/CPE/TPBG/FLNB/RBBP8/FGFR3/FABP5/MEST/CYP26B1/TRIM29/FOXC1/UNC13B/FARP1/ASCL1/CELSR2/ALDH3A2/KRT19/HSPA4L/FRK/CXCL12/MAPT/LAMC2/SCUBE2/GJB3/RNASEH2A/TFAP2C/HSPB8/GINS2/MYB/EMP2/PLK4/WFS1/CXCL14/KLK10/SLC26A2/CD9/ETFB/TOP2A/IGFBP4/DHRS2/LSR/TFPI2/AGR2/DYNLT3/UGDH/KLK11/CKB/CAV1/CDC6/IGSF1/NPY1R/CDC20/ACOX2/ARL3/OVOL2/HOMER2/SLC22A5/KIF20A/DLG5/ST14/TIAM1/CALCR/NMU/TPD52L1/GALE/ASS1/HPRT1/BTG3/RABEP1/DNAJC1/NRIP1/STIL/NAB2/PRSS23/SLC1A4/PDCD4/IL6ST/IDH2/RPS6KA2/BCL2
DNA_REPAIR,148,1.68247634743445,0.00126742712294043,0.00316435668628568,NCBP2/POLR2D/GTF2H5/RALA/SNAPC5/MRPL40/NUDT21/CSTF3/SMAD5/UMPS/PCNA/RFC4/RPA3/POLR2K/SAC3D1/FEN1/COX17/NUDT9/NME1/RFC3/BCAM/POLA1/RFC5/SRSF6/GTF2H3/ADA/DDB1/AK3/POLR2I/ERCC8/ADCY6/BRF2/DGCR8/TP53/DUT/POLR1C/SSRP1/ALYREF/NPR2/EDF1/POLA2/UPF3B/POLR2H/ZWINT/VPS37D/IMPDH2/ITPA/USP11/TYMS/PRIM1/CETN2/ERCC4/CCNO/POLR2F/GTF2A2/TAF9/ZNRD1/RAD51/ERCC2/BOLA2/SF3A3/GTF2H1/NELFCD/HPRT1/GTF3C5/LIG1/POLD1/POLH
MYC_TARGETS_V2,58,1.99538811414222,0.00129032258064516,0.00316435668628568,NPM1/MPHOSPH10/CDK4/MRTO4/UNG/TMEM97/TFB2M/NIP7/NDUFAF4/WDR43/BYSL/GRWD1/PRMT3/NOP16/NOLC1/UTP20/PES1/MCM4/AIMP2/PHB/PLK4/GNL3/EXOSC5/LAS1L/CBX3/FARSA/PLK1/RRP9/DCTPP1/PUS1/MCM5/IPO4/SRM/RCL1/NOP56/DDX18/NOC4L/MYC/TCOF1/WDR74/SUPV3L1
REACTIVE_OXYGEN_SPECIES_PATHWAY,47,-2.04092785249245,0.00137362637362637,0.00316435668628568,GLRX/MGST1/OXSR1/IPCEF1/SRXN1/CAT/HHEX/MSRA/CDKN2D/JUNB/G6PD/MPO/EGLN2/FTL/FES/MBP/LSP1/SBNO2/SOD2
INTERFERON_ALPHA_RESPONSE,95,-2.10105621970642,0.00137741046831956,0.00316435668628568,PSME1/PSMB8/NCOA7/BATF2/SAMD9/OAS1/UBA7/EIF2AK2/STAT2/TDRD7/PSMB9/PARP14/IFIT2/TRIM5/TRIM26/ELF1/NMI/RNF31/SLC25A28/SAMD9L/IRF9/CCRL2/HELZ2/ISG20/IFITM3/OASL/ADAR/TRIM21/RIPK2/PARP9/TAP1/GMPR/B2M/TRAFD1/IRF2/IRF7/OGFR/PLSCR1/CASP8/SP110/IFI30/TXNIP/IRF1/IFITM1/HLA-C/CASP1/TRIM25/TMEM140/IL4R/GBP2/SELL/IFITM2
