"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABLIM3","#","#",2,-2.28703566614785,0.00938201425605473,8.50145421272275,169
"ACAN","#","#",2,2.80586345921514,0.0131664315019006,5.38906915422345,363
"ACE2","#","#",2,-2.04356331185094,0.00760608592530624,8.54964036476385,122
"ACKR1","#","#",3,-3.15248341135429,0.0271921080682905,5.41383950087373,336
"ACTA1","#","#",11,-2.05846483279906,0.0752813303927228,8.56323695062874,109
"ACTC1","#","#",7,-3.77223471088006,0.0890035932625644,8.6167388740468,57
"ACTN3","#","#",1,-2.53188001756415,0.00193397067198222,5.36923182607918,433
"ACVR1C","#","#",1,-4.76264110277447,0.0100697440779539,5.3836001830408,372
"ADAMTS1","#","#",1,-2.82538528043126,0.00300440906539799,8.4866871495905,181
"ADAMTS5","#","#",3,-2.81603765474757,0.0235109701051524,8.65489214132262,31
"ADCYAP1R1","#","#",1,-2.89679454116723,0.00326484464870073,5.37158224458449,412
"ADH1B","#","#",1,-5.43379771350167,0.0125175087180125,5.38792311023547,367
"ADIPOQ","#","#",2,-4.91962019423181,0.0285845288906856,8.59393079983769,86
"ADM","#","#",5,-3.54777936102561,0.057395240632572,7.44399507890086,294
"ADORA2A","#","#",3,2.15884705224756,0.0163204818068907,8.4739621245467,190
"ADRA2B","#","#",3,-2.40508303479645,0.0190146118574322,8.62335070195829,51
"ADRB2","#","#",10,-3.8270665432061,0.132276328652277,7.95373700132962,270
"ADRB3","#","#",2,-3.26688407428804,0.0165291934620064,8.57150603440053,105
"AGR2","O95994","Oncogene",2,3.41568678203495,0.0176145854570974,5.39692491183361,350
"AIRE","#","#",2,-2.80603175181297,0.0131676590564342,8.62597492133208,50
"AKAP12","#","#",4,-3.1954287766409,0.0393159818095915,8.70528346667152,9
"AKAP5","#","#",3,2.03986267878302,0.0150186437376636,8.42794437169335,217
"ALDH1A1","#","#",3,-2.29686982552566,0.0178306238149694,5.39730645100492,349
"ALDH1A2","#","#",2,-2.80463968841783,0.0131575051117338,5.38905338958082,364
"ALPP","#","#",2,3.14206833494545,0.0156187664516711,-0.0800494455862066,528
"ALX4","#","#",2,-2.05865595160469,0.00771617417989214,8.44107903809965,210
"AMY2A","#","#",2,-3.31321332531842,0.0168671268166364,-0.0598646788853967,486
"ANGPT1","#","#",4,-2.2461539804798,0.0254676415408467,8.31589552642916,237
"ANGPT4","#","#",3,-5.53563744084642,0.0532667979631724,8.7464365267625,4
"ANGPTL4","#","#",1,-3.22132975073942,0.00444845186905438,5.37367257947901,400
"ANXA1","#","#",2,-2.02074183073414,0.00743962220098729,8.53316097468295,140
"AOC1","#","#",2,3.52325698012956,0.0183992205869959,8.57708420371841,98
"AOC3","#","#",2,-3.71469911230462,0.0197956317204504,8.45056832355149,204
"APCS","#","#",6,-2.76586645542269,0.0532240775146816,8.42909123017164,216
"APOA4","#","#",2,-3.58979541444918,0.0188845631259182,8.47734343361523,186
"APOB","#","#",4,-5.26167637028165,0.0694590972403693,8.5459254416684,127
"ARNT2","#","#",4,2.67249689179575,0.0316872754455359,7.66423766760824,282
"ARX","#","#",1,2.26638004195448,0.000965669917960573,-0.072231595526294,519
"ASCL1","#","#",5,5.95881054666487,0.101361408796302,8.68210794429331,17
"ASF1B","#","#",3,3.75881921371983,0.0338261811593257,8.50921395548738,165
"ASPM","#","#",1,4.37686212852091,0.0086627756938792,5.38111537637678,377
"ATAD2","#","#",3,2.31762576840225,0.0180577198260897,8.27326578451888,241
"ATP1B2","#","#",2,-2.1611327354056,0.00846365708866661,-0.0831997685912058,540
"AURKA","O14965","Oncogene",23,3.6107138280851,0.295577266508721,6.98789022000387,315
"AURKB","#","#",29,3.76076753462813,0.390459226005673,6.95828884949999,319
"AVP","#","#",6,-4.03243294416757,0.0809397249437403,7.58722171003701,285
"AVPR1A","#","#",3,-2.46261883578185,0.0196441255816742,5.40050922466076,345
"AVPR2","#","#",3,-3.18010429699794,0.0274943151513693,5.41437322016867,335
"BAMBI","#","#",1,2.08807906159569,0.000315391237792112,5.36637329918558,453
"BCAS1","#","#",1,2.54335194204526,0.00197580974597697,5.36930571687236,430
"BCL6","P41182","Oncogene",4,-2.45734814806127,0.0285486131491418,8.61317791469006,64
"BGN","#","#",4,2.03952595539201,0.0224532823562921,8.64396663331328,38
"BIRC5","#","#",9,4.36549487363929,0.135991935794473,8.32154661409384,235
"BLM","#","#",7,2.41530192338769,0.0543616567882626,8.31750674972841,236
"BMP10","#","#",1,-2.73531416485917,0.00267591212703199,8.52096130302561,153
"BMP2","#","#",5,-2.55511499221094,0.0392935881822007,8.65871910551067,27
"BMP6","#","#",3,-2.44828976103306,0.0194873475572865,8.36889992503516,226
"BMPR1B","#","#",8,5.19710088546735,0.144334105482089,7.5763130839045,286
"BMX","#","#",2,-2.89919997939911,0.0138472437894675,8.60961349030611,66
"BPIFB1","#","#",1,4.38152260456559,0.0086797728422134,5.38114539455482,376
"BRIP1","#","#",4,2.69398904874754,0.0320008102657811,8.58679605506785,91
"BRS3","#","#",1,-3.76087033540358,0.00641620178600224,-0.0640076557760547,495
"BUB1","#","#",9,4.03387370419286,0.12510688298351,7.93860103515008,271
"BUB1B","O60566","TS",9,3.52826412906398,0.108510876955928,8.16779392940529,251
"C1QTNF1","#","#",1,-2.90479646507814,0.00329402833860039,8.61616512346018,59
"C4B","#","#",1,2.08883412898978,0.000318145032120551,5.36637816258307,451
"C4BPA","#","#",3,-2.05849310254563,0.015222483907543,8.5764712885332,101
"CACNG4","#","#",1,2.82005773005454,0.00298497904083765,5.3710879819306,418
"CAPN3","#","#",1,-3.09974972142337,0.00400503927065256,5.3728894811579,408
"CARD17","#","#",1,2.78302306446042,0.00284991049878834,-0.0686934663552452,508
"CASQ2","#","#",2,-3.38673622443936,0.0174034152173655,-0.0351375756211643,475
"CAV1","#","#",19,-3.06312849083236,0.204958251429626,8.57073828982607,106
"CAV2","#","#",3,-2.69602246012148,0.0221978535613526,8.62770052177795,45
"CAV3","#","#",2,-3.25040367989566,0.0164089826915152,-0.0816440985835091,533
"CCL11","#","#",1,4.45654529323944,0.0089533869012912,8.55697675843619,116
"CCL17","#","#",4,2.61255589646796,0.0308128360285164,8.01112678185188,265
"CCL20","#","#",1,2.64791864910935,0.00235717332638112,8.47084562244379,193
"CCL21","#","#",2,-2.2962850878241,0.00944948109451911,8.65101465134937,34
"CCL7","#","#",5,3.35444621386003,0.0538697293448981,8.72099261567788,6
"CCNA2","#","#",14,2.93639873236303,0.142630097205691,7.11100191793052,309
"CCNB1","#","#",26,3.17709653959302,0.29396559078393,7.23351544685252,304
"CCNB2","#","#",4,3.66569047307501,0.0461763177354086,8.65473088681603,33
