"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCA4","#","#",2,-6.625432231384,0.0484882566861432,-0.0131809466374199,418
"ABCB1","#","#",4,-3.59432789341659,0.0533436219064574,9.50645266671038,259
"ABCC2","#","#",2,-6.66788947082729,0.0488542665977476,10.6310120072934,75
"ABCC6","#","#",1,-2.9585962293722,0.00412512526604352,6.3877143746057,372
"ACKR1","#","#",3,-2.02906749024847,0.0176104685062663,6.41387015730362,329
"ACTA1","#","#",12,-6.11593331957628,0.30771329253455,10.1259531286589,218
"ACTN3","#","#",1,-2.52127367395712,0.00224011823368678,6.38405826934801,384
"ADAM2","#","#",3,6.63841460205614,0.0772139690306147,10.7053234684894,52
"ADCY1","#","#",1,3.30647184982611,0.00562458597947206,10.6386315466166,70
"ADCYAP1","#","#",5,5.16675016815538,0.102724721318936,10.3272838911821,180
"ADCYAP1R1","#","#",2,2.32757710085867,0.0114378596975803,9.28316149610321,275
"ADORA1","#","#",4,-3.40951993838747,0.0501572845858524,10.7304185575011,41
"ADRA2A","#","#",3,-3.29645938179412,0.0339991221354938,10.1865909399769,210
"ADRB1","#","#",2,2.68060969933067,0.0144812377375685,10.1763525018951,211
"ADRB2","#","#",7,2.37890307494691,0.0631496785645108,10.5854401799987,98
"AFF3","#","#",1,-2.20117823819357,0.00086039944267474,6.38138220658573,397
"AFP","#","#",1,-4.13367232126418,0.00919009772022735,6.39753824905388,356
"AGER","#","#",4,-2.66617266280013,0.0373409793245295,10.7635777852449,25
"AGR2","O95994","Oncogene",2,-5.03676065101551,0.0347928409614383,6.44719659120789,313
"AGT","#","#",12,-4.10704401279213,0.203805444463364,9.20201772180496,279
"AHSP","#","#",1,-2.79178062806917,0.00340609402086895,10.4398245940593,157
"AKAP12","#","#",2,-2.74161692575175,0.0150071609921748,10.5243864507919,126
"AKAP5","#","#",1,-3.028968603321,0.00442845382327108,10.6367531959886,71
"ALAS2","#","#",1,-2.83026929740386,0.00357199310716941,6.38664153542816,374
"ALB","#","#",14,-6.88322607666516,0.406738795562615,9.35878914973487,269
"ALDOB","#","#",1,-9.76160405207415,0.0334483728968446,6.44458889973758,314
"AMPH","#","#",3,-4.26092949405479,0.0464706920666424,10.8176865753904,13
"ANGPT1","#","#",3,2.73818764410104,0.0267801062959015,10.082564726074,224
"ANKS4B","#","#",2,-8.38688320291666,0.0636731467741434,-0.00402898364601415,413
"ANOS1","#","#",1,2.50688454857569,0.00217809627255625,10.7349161819685,37
"ANPEP","#","#",2,-6.02498710223217,0.0433120165083582,-0.069387771520231,438
"ANXA13","#","#",2,-8.24423404084745,0.0624434152163689,-0.0353519668334402,428
"AOC1","#","#",4,-5.83220376221705,0.0919276070953894,10.7115979366619,48
"APOA1","#","#",7,-3.65113028883058,0.101535763404226,10.1142719639113,220
"APOA2","#","#",8,-3.29995746982669,0.105163978742517,9.88302767947473,237
"APOC1","#","#",2,2.636345189967,0.0140996479457722,10.1309143239111,217
"APOD","#","#",2,-2.17481328389338,0.0101209330231904,10.4749941722149,146
"AQP2","#","#",2,-10.5151045995451,0.0820198441917921,10.626297745081,77
"ARAP1","#","#",1,2.12995688463204,0.000553411498295733,6.38078678162538,401
"ART1","#","#",2,-2.16722884953514,0.0100555501065093,10.0344018452138,227
"ASCL1","#","#",1,5.13426327708994,0.0135029806595807,-0.0746747743277351,441
"ATP7A","#","#",2,2.05950811928031,0.00912692508341517,10.5054786446065,133
"AURKA","O14965","Oncogene",10,2.36598827499809,0.0933546200336799,9.24004488642324,277
"AVPR1A","#","#",2,3.88950271764387,0.0249027072578153,6.42801397320573,322
"AVPR2","#","#",1,-2.2276298840946,0.000974414916890394,6.38160334771018,395
"BAIAP2L1","#","#",2,2.12488490616601,0.00969051688313592,10.5115298340842,130
"BGLAP","#","#",1,-2.07748351058743,0.000327233639731603,6.38034809357612,405
"BLK","#","#",4,-3.15948973302144,0.0458464280834318,10.207711129389,207
"BMPR1B","#","#",3,3.22160875677382,0.0330312281671232,-0.108347351050439,487
"BPI","#","#",2,-5.30779122642412,0.0371293065029607,10.4996393227192,136
"BSN","#","#",2,2.22046753937462,0.010514503359655,10.378924638283,167
"BST1","#","#",1,-2.69002068192501,0.00296747449000134,10.564906405105,106
"BUB1","#","#",1,2.40678125046923,0.00174661745090324,-0.103870475899412,477
"C1QL1","#","#",1,-2.26224058163799,0.00112359864285243,10.3991946365283,165
"C1R","#","#",1,-3.00613439035352,0.00433003069944849,10.5833917384663,100
"C1S","#","#",5,-2.7683919555948,0.051036075937997,10.1203906760898,219
"C4A","#","#",5,-3.34390309908232,0.063439307137037,9.75253029433893,243
"C4B","#","#",2,-3.18430064172136,0.0188233918605804,10.7223189936533,46
"C4BPA","#","#",2,-3.57567895337121,0.0221973356951107,10.5236433825183,127
"C4BPB","#","#",2,3.83282912786516,0.0244141428608549,10.4986267067251,138
"C5AR2","#","#",1,2.30634786560025,0.0013137158444866,6.38226144600054,392
"C7","#","#",2,-2.18039973285544,0.0101690919642237,10.5927171742159,92
"CACNA1E","#","#",4,-6.23621581231183,0.0988933173809034,10.7227993964461,45
"CACNA1I","#","#",1,2.22414011513117,0.000959372841068072,-0.101571699701911,474
"CALB1","#","#",1,-8.84962305705053,0.0295174286368039,10.4138921960831,161
"CAMK2A","#","#",14,-4.24823694643248,0.247731166734942,8.96245162048726,286
"CAMK2B","#","#",2,2.95960075868582,0.0168863279957188,10.7549099038728,29
"CAMP","#","#",7,-2.03475423051875,0.0527658991613158,10.7424766860818,33
"CASP14","#","#",2,-4.02312736411537,0.0260546414316925,-0.082835982535445,450
"CAV1","#","#",14,2.16164760915564,0.121816558947472,10.7607379562632,26
"CAV2","#","#",4,2.8467319259576,0.0404540634917611,10.8140460484806,14
"CCDC17","#","#",1,-2.12045747173614,0.000512465839558702,6.38070736460696,402
"CCK","#","#",1,-2.88666442199893,0.0038150750272214,10.6434006870444,67
"CCL11","#","#",1,-2.96994638590269,0.00417404825117978,6.38780926421625,371
"CCL17","#","#",3,-2.09205509781586,0.0184249617109662,10.6280672987366,76
"CCL2","#","#",3,-2.14182272160146,0.0190685072106752,10.1118492505585,221
"CCL20","#","#",1,-2.40242435478953,0.00172783776782084,6.38306466493566,386
"CD19","#","#",3,-2.05198733425077,0.0179068451732588,9.52690051727792,258
"CD22","#","#",3,2.77929213550147,0.0273116287686749,8.8765809060346,294
