"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCB1","#","#",1,2.13510898979204,0.000541078095361264,6.94076285891711,672
"ABCG2","#","#",1,2.02677255599949,0.00010313978551764,6.94027790739314,689
"ABCG5","#","#",2,2.61770030800773,0.0130736714924312,-0.0672742219636912,802
"ABCG8","#","#",2,4.01176727356786,0.0243444011875823,-0.0664851393712652,798
"ACAN","#","#",7,2.3343448558139,0.0579644863166628,10.2289586846435,173
"ACTA1","#","#",32,-5.06008293131829,0.646464936390332,9.42825772694318,432
"ACTA2","#","#",1,2.72585730945372,0.0029291142490249,10.3190602007292,120
"ACTB","#","#",20,2.11467426419481,0.16287696847533,9.68743509513971,396
"ACTN2","#","#",6,-3.21344383168609,0.0698501247140901,10.3761240878875,75
"ADAM12","#","#",4,4.68159393473617,0.0676094784841164,10.4175544157455,53
"ADAM19","#","#",1,3.20891487966534,0.00488182220192589,9.98917799080883,310
"ADAM28","#","#",1,3.05394336962805,0.00425536664303604,9.92974978116922,334
"ADAM9","#","#",2,2.45239495107215,0.0117372134590592,10.4196200091243,48
"ADAMTS12","#","#",2,3.75387994445059,0.0222594379468693,10.1258450399884,227
"ADAMTSL1","#","#",2,2.09120238992741,0.00881704977601403,-0.0738440552803152,819
"ADGRB2","#","#",1,2.46915938668864,0.00189144067513402,-0.0767337718115933,830
"ADORA2B","#","#",1,2.16737108947547,0.000671494142048037,10.1044045999955,235
"AFAP1","#","#",3,2.03573081997065,0.0165977956793374,10.2746085497739,158
"AFF3","#","#",1,2.18049710171899,0.000724554626094625,6.94096603187821,668
"AGR2","O95994","Oncogene",3,5.10777345900628,0.0538529954494259,6.99979787591712,508
"AHNAK2","#","#",1,4.79869044174415,0.0113083178720775,6.95268597507593,560
"AHR","#","#",3,2.59456880583596,0.023374921926863,-0.106786520112467,856
"AIF1","#","#",4,2.14754079879694,0.0266349361789044,10.3917470703224,64
"AIM2","O14862","TS",1,3.64835077426869,0.00665819425175466,6.94753665498762,601
"ALB","#","#",5,-4.80465995156456,0.0890217206171696,10.4055953677338,58
"ALPI","#","#",1,5.68479307871446,0.0148902918913242,9.97993223153351,313
"AMHR2","#","#",1,-3.78605184111739,0.00721483591299726,6.94815305281319,597
"AMY2A","#","#",2,-4.06492929485087,0.0247742046236661,-0.0434338793850259,726
"ANGPT2","#","#",10,2.51824284566705,0.0937073729456987,9.2731997895279,455
"ANK1","#","#",1,2.15587920682853,0.000625039450056244,6.9408558336261,671
"ANKS4B","#","#",2,4.47375460833089,0.0280794688000662,-0.0492261345721483,734
"ANPEP","#","#",4,-3.02484470083465,0.0408205605206955,10.4150675661548,54
"ANTXR1","#","#",1,3.6065302957118,0.00648913949284386,10.3109200500615,128
"ANXA1","#","#",8,3.17762797100493,0.0946718686720174,9.24283037179269,458
"ANXA2","#","#",9,2.61687858536702,0.0871161674906147,9.82206295356527,376
"AOC1","#","#",2,7.13021259797571,0.049556356702493,10.3132283211189,126
"APCS","#","#",6,2.4054609070873,0.0502530234992464,10.2215575328348,177
"APLN","#","#",1,2.42099595434338,0.00169674521194441,-0.0607510631217794,772
