"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"A1BG","#","#",2,2.2429225399079,0.00449894059738433,-0.0214300248913604,1203
"A2M","#","#",17,2.83048612562282,0.0837913389920103,4.39454364404492,710
"ABCA4","#","#",1,-2.36407790220141,0.000643091850309536,4.20892855092553,1002
"ABCB11","#","#",1,-4.46280145174003,0.00445706383287338,4.21191966596068,877
"ABCC2","#","#",3,2.70556100043071,0.011097196050698,5.44205446433846,22
"ABCC8","#","#",6,-2.01571832223499,0.0183256648404649,5.15774843293362,472
"ABLIM2","#","#",2,-2.92054612734905,0.0069618065406317,-0.023331889225522,1219
"ABRA","#","#",2,-3.60688458750115,0.00945634724195617,-0.0232101084983707,1218
"ACAP3","#","#",1,-2.28371050736232,0.00049704165122766,4.2088140107694,1011
"ACE2","#","#",2,-2.51431542256807,0.00548533525709135,5.34275069607191,295
"ACKR1","#","#",6,-2.9994660671187,0.0290521457180107,4.23120840734461,755
"ACKR2","#","#",9,-2.26832011546799,0.0334464867721745,4.79395626906629,619
"ACKR3","#","#",1,-2.64180545455393,0.0011478010597199,5.26215645636447,364
"ACKR4","#","#",5,-2.7710786786966,0.0215260496539635,4.37460011031236,717
"ACOT7","#","#",1,2.87547002819405,0.00157243542253393,4.20965739045146,958
"ACP5","#","#",3,2.92531088822814,0.0122952384256671,5.44349191597701,19
"ACPP","#","#",4,-2.60873924569154,0.0153101530240891,5.26920705015576,358
"ACR","#","#",1,-2.11146289777003,0.000184019215665334,4.20856852230812,1034
"ACTA1","#","#",23,-5.40428965053406,0.222232584860461,4.31925836114175,728
"ACTC1","#","#",5,-4.37506785902923,0.036100550891797,5.33178963480036,304
"ACTG2","#","#",1,-2.65532963357026,0.00117237830328626,-0.0209604589911662,1197
"ACTN3","#","#",2,-2.24150642230291,0.00449379362805563,4.21194847137485,876
"ACVR1B","#","#",5,-2.14550047813354,0.0158417904518053,5.17989191696997,453
"ACVR2A","#","#",6,-2.45694142464486,0.0231366249624527,4.99358298586849,554
"ADAM12","#","#",1,3.78610745134751,0.00322732018281833,4.21095523708237,912
"ADAM19","#","#",5,2.73284761002194,0.0211786665390681,4.70260210830967,640
"ADAMTS5","#","#",2,-2.36389054246726,0.00493860648158288,5.4172297337772,86
"ADCY1","#","#",2,4.04142505471501,0.0110357121541269,-0.0231240442591164,1215
"ADCYAP1","#","#",4,-2.38515776312694,0.0136849108419847,-0.0332052751927342,1270
"ADCYAP1R1","#","#",3,-2.17385590510613,0.00819842216930684,-0.0266774175479974,1253
"ADH1A","#","#",1,-3.65120689022049,0.00298216785645133,4.21076297588783,921
"ADH1B","#","#",1,-6.49128280527915,0.00814338595531404,4.21481067134174,820
"ADIPOQ","#","#",2,-3.73874582155511,0.00993560526751047,5.40149181803991,141
"ADM","#","#",7,-2.8097216905108,0.0320892876943429,4.25604774653108,748
"ADM2","#","#",1,2.893696647322,0.00160555832464562,5.36843695425662,274
"ADRB2","#","#",12,-4.18521036449419,0.0876153726980338,4.56006478512147,675
"AFF3","#","#",1,2.4446952689623,0.000789596318800254,4.20904344734334,994
"AGR2","O95994","Oncogene",3,-2.44127484751831,0.0096563488517293,4.21599721547152,798
