"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"ABCC8","#","#",2,-3.86355309267515,0.0321729744318285,9.1026469784684,160
"ACAN","#","#",3,3.35922591815634,0.0453900976595383,9.23517014405448,147
"ACHE","#","#",4,2.07181592381198,0.0353227065788993,-0.115256177601763,392
"ACTA1","#","#",5,-3.79007164402628,0.0952806487984346,9.82644453327523,126
"ACTC1","#","#",3,-2.34947393713392,0.0283567728232291,8.48957337347247,186
"ACTN2","#","#",5,-2.82883749696391,0.0682558384516279,10.6170438028786,94
"ADAM12","#","#",3,4.38761454743989,0.0627378007685897,10.7632572091847,77
"ADAMTS1","#","#",1,-2.23833034643546,0.00130991644827063,9.998133113684,118
"ADAMTS12","#","#",2,3.20437604185465,0.024759948235107,9.13190381110089,156
"ADCYAP1R1","#","#",1,-4.01043237805462,0.0112743400938637,-0.0880017238549947,347
"ADRA1A","#","#",1,-2.39293963466556,0.00217927522106132,4.32058297399515,270
"AGER","#","#",1,-2.04600174552901,0.000228464238182589,10.2078805551316,114
"AGT","#","#",1,2.49287096429686,0.00274118310567893,9.39985785278988,139
"AIM2","O14862","TS",1,2.18071647204173,0.000985957081326866,-0.104923054154236,383
"AMH","#","#",1,2.1466105086834,0.000794181290949291,-0.108333867587549,388
"ANGPT4","#","#",6,-2.07982282735773,0.0588922344559422,10.6035310808557,97
"APBB3","#","#",1,-2.39253296659059,0.00217698855081896,4.32057764733573,271
"APCS","#","#",6,-3.18452264595195,0.0961622001710368,10.9723589435787,45
"APELA","#","#",1,4.61991924868843,0.0147014482834937,-0.119765180135965,397
"APLN","#","#",1,2.06130473719168,0.0003145120442632,-0.136738555794774,413
"APLNR","#","#",2,2.17832979300806,0.0132211549590366,-0.0845240783479285,340
"APOA2","#","#",5,3.85787020411271,0.0971867850231223,10.9956123314174,44
"APOC1","#","#",2,3.3981715018831,0.0269393487773565,9.68690374449272,131
"APOC2","#","#",3,3.56486183221156,0.0488589329655778,10.6522829932337,87
"APOE","#","#",4,2.75481241189805,0.050684500051984,7.51765194995563,199
"ASF1B","#","#",2,2.41824605127615,0.015919224476698,11.035293221937,39
"ASPM","#","#",1,3.20292873929355,0.00673379547035723,4.33119245223943,249
"AURKA","O14965","Oncogene",21,2.5737661244423,0.292638708785711,10.6057688196088,96
"AURKB","#","#",25,2.1793279923334,0.295079690049519,10.6236873874461,92
"AVPR1B","#","#",1,-3.51058764579912,0.00846374308514572,-0.0873014138381337,346
"BAMBI","#","#",1,2.68374884612562,0.00381447800923331,-0.0936190088592953,357
"BGN","#","#",2,2.64680506168266,0.0184895717446,9.28476164500422,144
"BIRC5","#","#",8,2.33060920896214,0.0935629274689237,11.0758935373683,28
"BLM","#","#",8,2.47055568089864,0.0998582125448389,11.1123047151551,22
"BRCA1","P38398","TS",15,2.15056506383227,0.170111398210335,10.7599786851902,78
"BRCA2","P51587","TS",7,2.78079754795949,0.0981777259704732,11.1541630957067,10
"BRIP1","#","#",4,2.40584404382088,0.0428355870743153,11.1271111065647,18
"BUB1","#","#",9,3.10802782641178,0.146010208686503,11.142443291493,14
"BUB1B","O60566","TS",12,2.73040770037138,0.172958947577523,11.0860128390069,24
"C4BPA","#","#",2,3.82085430526261,0.0316927889804943,8.01248474307148,193
"CA9","#","#",1,-2.6956036833318,0.00388113704921194,4.32454735773971,259
"CAMK2A","#","#",10,-2.05529452655016,0.104291899823533,10.7428747109525,80
"CAMK2B","#","#",1,-2.62059163734866,0.00345934880487718,8.71160610970217,182
"CAMK2N2","#","#",2,2.27413854306478,0.0142986086919321,4.34881422509436,236
"CARD11","#","#",1,2.0554489980439,0.000281585573560354,4.31616242124152,283
"CCKAR","#","#",2,-3.85273160715941,0.0320512773012689,9.11567717419001,158
"CCKBR","#","#",3,-5.37187154398428,0.0793410552901359,8.64640124847969,184
"CCL1","#","#",1,2.16163294589593,0.00087865155615078,-0.160064811630197,419
"CCL18","#","#",1,4.18060556811241,0.0122312137549748,-0.148604560437283,415
"CCL20","#","#",2,3.70901715152652,0.0304350817387442,-0.047046554524953,304
"CCL22","#","#",1,2.17874201756133,0.000974854841974615,10.4540285613319,106
"CCL7","#","#",4,3.28294795607841,0.0625631982547067,4.46124365451979,211
"CCNA2","#","#",10,2.47872238545442,0.128100994865388,10.8556515017073,65
"CCNB1","#","#",26,2.2115595049775,0.312046053417246,10.8217662300603,71
"CCNB2","#","#",2,2.54629725533017,0.0173592729871742,10.5909465485942,99
"CCNE1","#","#",9,3.21582453937065,0.151465418864716,10.8218725578514,70
"CCNF","#","#",2,2.3488232917024,0.015138504433838,9.97042253399402,119
"CCR4","#","#",2,2.03046011378514,0.0115582302494826,4.34243067998426,240
"CCR8","#","#",3,3.978880546121,0.0558429403009136,0.00796491425713058,295
"CDC20","#","#",12,2.44701482221991,0.153836933298481,10.9968720383826,43
"CDC25A","#","#",14,2.1867693034145,0.160868939397183,10.9494347698755,50
"CDC25C","#","#",7,2.44232823685073,0.0848553772415645,11.1216669641015,20
"CDC45","#","#",7,2.48572001149214,0.0865633027011738,11.1541485210219,11
"CDC6","#","#",10,3.45385309689524,0.182932011055505,2.52409254082637,287
"CDCA2","#","#",1,3.22915752853646,0.00688127838221222,4.33153600472335,248
"CDCA5","#","#",3,2.48367378951381,0.0306205660333764,4.38683523320048,219
"CDCA8","#","#",6,2.22756178916589,0.0638765984874134,11.1345389855369,16
"CDH16","#","#",2,4.0763605994709,0.034566182175897,-0.0864017222183898,342
"CDH17","#","#",1,2.36307916797486,0.00201137160430998,4.32019185271968,274
"CDH7","#","#",1,2.65748617220494,0.00366680456586356,-0.101642266173788,374
"CDK1","#","#",68,2.64482756441091,1,10.6076212498786,95
"CDK3","#","#",5,-2.43315630953175,0.0571313802945462,10.8557153979984,64
"CDKN2A","Q8N726/P42771","TS",4,3.73890942257167,0.0728185743834806,0.0710142826823781,288
"CDKN3","#","#",4,2.68072195133018,0.0490180751531405,9.31143522678394,143
"CDT1","Q9H211","Oncogene",7,2.65515620662571,0.0932324097805554,11.31613903362,2
"CDX1","#","#",3,2.60278343761374,0.0326298052974285,7.76899363214277,194
"CDX2","#","#",5,3.25162949116402,0.0801425088267127,10.7307920013809,82
"CEACAM6","#","#",2,3.87316016818062,0.032281014452802,-0.0359348745647583,301
"CEACAM8","#","#",2,2.05995202461627,0.0118898927479121,-0.0752878337428873,329
"CEL","#","#",2,2.02821955501533,0.0115330331937975,-0.0810494360550787,336
"CENPA","#","#",6,2.84457881827198,0.0846932974071952,11.0584195414743,35
"CENPE","#","#",4,2.96206256443287,0.0553459208587393,7.75342561228698,195
"CENPF","#","#",1,3.24087540403427,0.00694716729470323,4.3316894889424,247
"CENPU","#","#",1,2.18683507377291,0.00102036161260119,4.31788335514555,279
"CEP55","#","#",1,3.03141905895335,0.00576940680439058,4.32894596742642,255
"CFTR","#","#",4,3.08076206563901,0.0580156816184127,7.46345978808609,201
"CHAD","#","#",2,-3.22736284650079,0.0250184550881728,9.56649758714137,137
"CHEK1","#","#",25,2.11567800060462,0.286132187714615,10.6560372207838,86
"CHRM2","#","#",2,-2.13099668668963,0.0126888525121083,-0.116053057557494,393
"CHRNA1","#","#",2,3.79359221765077,0.031386202807034,8.88771206417803,173
