"source_genesymbol","target_genesymbol","interact"
"DNAJC14","AGTR1",0
"DNAJC14","DRD1",0
"DBN1","PTEN",0
"NCOA3","PTEN",0
"UBE2I","PTEN",0
"DLC1","PTEN",0
"PRDX1","PTEN",0
"PTEN","MME",0
"NDFIP1","PTEN",0
"SHARPIN","PTEN",0
"PARK7","PTEN",0
"MVP","PTEN",0
"USP10","PTEN",0
"MCRS1","PTEN",0
"USP13","PTEN",0
"PTEN","WWP2",0
"ECSCR","PTEN",0
"CASP3","CALB1",0
"RANBP9","CALB1",0
"BCL2L1","CASP1",0
"RYR2","PKD2",0
"RYR2","ITPR1",0
"RYR2","CALM1",0
"RYR2","HOMER1",0
"RYR2","AKAP6",0
"RYR2","RTN1",0
"RYR2","FKBP1B",0
"ITPR3","UBC",0
"ITPR1","ITPR3",0
"ITPR3","TRPC1",0
"ITPR3","ANK1",0
"BAP1","ITPR3",0
"PKD2","EGFR",0
"B4GALT1","EGFR",0
"NCL","EGFR",0
"STUB1","EGFR",0
"CHIA","EGFR",0
"RET","EGFR",0
"DNAJA3","EGFR",0
"NF2","EGFR",0
"AGER","EGFR",0
"STAP2","EGFR",0
"LINGO1","EGFR",0
"EEA1","EGFR",0
"IL13RA2","EGFR",0
"RRAD","EGFR",0
"EGFR","HIP1",0
"SEC61B","EGFR",0
"AKTIP","EGFR",0
"RAB31","EGFR",0
"IGFBP2","EGFR",0
"SLC5A1","EGFR",0
"HOMER3","IKBKB",0
"MDFI","TCF3",0
"PHB2","ARFGEF3",0
"DYNC1H1","NF1",0
"DYNC1H1","HTT",0
"NDEL1","DYNC1H1",0
"PKD1","FN1",0
"SIAH1","PKD1",0
"PKD1","NPHP1",0
"PKD1","COL2A1",0
"PKD1","RGS7",0
"SEC13","SEC31A",0
"SEC13","NUP98",0
"WDR44","SEC13",0
"USP8","NTRK1",0
"GGA3","NTRK1",0
"PKD2","HAX1",0
"XIAP","HAX1",0
"GRB7","HAX1",0
"SAV1","HAX1",0
"RNF217","HAX1",0
"TRPV1","PACS1",0
"MARCKS","CTSB",0
"NMT1","MARCKS",0
"TOB1","MARCKS",0
"EIF2AK3","PKD2",0
"PKD2","RP2",0
"NEK8","PKD2",0
"HAVCR1","PKD2",0
"PKD2","PKHD1",0
"ITPR1","PKD2",0
"CBY1","PKD2",0
"PKD2","TPM1",0
"HDAC6","PKD2",0
"PKD2","FLNA",0
"PKD2","DIAPH1",0
"PKD2","ID2",0
"CD2AP","PKD2",0
"PKD2","ACTN2",0
"PKD2","BCAP31",0
"CABP1","CACNA1C",0
"CABP1","CACNA1A",0
"ARL3","RP2",0
"MYH9","PTPN6",0
"MYH9","NCL",0
"MYH9","S100A4",0
"MYBPC3","MYH9",0
"CD163","MYH9",0
"OVGP1","MYH9",0
"PPP1CA","AKAP5",0
"KCNJ2","AKAP5",0
"AKAP5","PRKAR2A",0
"PRKAR2B","AKAP5",0
"CALM2","PCNT",0
"DLG1","CALM2",0
"USP6","CALM2",0
"IQCB1","CALM2",0
"NTRK2","TRPC3",0
"NTRK2","NR3C1",0
"NDFIP1","NTRK2",0
"NTRK2","UCHL1",0
"SRSF7","PRKACA",0
"ESPL1","PCNT",0
"DISC1","PCNT",0
"CUL1","MDM2",0
"CUL1","PTTG1",0
"CUL1","RAC2",0
"COMMD1","CUL1",0
"RNF7","CUL1",0
"POP1","CUL1",0
"CUL1","MYOG",0
"FBXW2","CUL1",0
"SEC31A","PDCD6",0
"STAM","SEC31A",0
"ORAI3","ORAI1",0
"VAMP2","SYP",0
"VAMP2","PRKD3",0
"STX4","VAMP2",0
"SYPL1","VAMP2",0
"TRPC3","SLC2A4",0
