hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr
HGNC:31499	MIR1-1	microRNA 1-1	non-coding RNA	"RNA, micro"	Approved	20q13.33	20q13.33	hsa-mir-1-1		MIRN1-1				2004/4/23	2008/12/18		2019/1/18	406904	ENSG00000199017		uc011aak.3		NR_029780				MGI:2676869	RGD:9685084			609326	MI0000651																			HGNC:31499
HGNC:31500	MIR1-2	microRNA 1-2	non-coding RNA	"RNA, micro"	Approved	18q11.2	18q11.2	hsa-mir-1-2		MIRN1-2				2004/4/23	2008/12/18		2019/1/18	406905	ENSG00000284453		uc021uic.2		NR_029662				MGI:3618746	RGD:2325528			610252	MI0000437																			HGNC:31500
HGNC:31638	MIR7-1	microRNA 7-1	non-coding RNA	"RNA, micro"	Approved	9q21.32	09q21.32	hsa-mir-7-1		MIRN7-1				2004/4/23	2008/12/18		2019/1/24	407043	ENSG00000284179		uc004ano.1		NR_029605				MGI:3619436	RGD:2325464			615239	MI0000263																			HGNC:31638
HGNC:31639	MIR7-2	microRNA 7-2	non-coding RNA	"RNA, micro"	Approved	15q26.1	15q26.1	hsa-mir-7-2		MIRN7-2				2004/4/23	2008/12/18		2019/1/24	407044	ENSG00000207703		uc010upm.2		NR_029606				MGI:3619436	RGD:2325398				MI0000264																			HGNC:31639
HGNC:31640	MIR7-3	microRNA 7-3	non-coding RNA	"RNA, micro"	Approved	19p13.3	19p13.3	hsa-mir-7-3		MIRN7-3				2004/4/23	2008/12/18		2019/1/24	407045	ENSG00000207630		uc010xij.1		NR_029607				MGI:3619435	RGD:2325434				MI0000265																			HGNC:31640
HGNC:31641	MIR9-1	microRNA 9-1	non-coding RNA	"RNA, micro"	Approved	1q22	01q22	hsa-mir-9-1		MIRN9-1				2004/4/23	2008/12/18		2019/1/24	407046	ENSG00000207933		uc057lzy.1		NR_029691				MGI:2676911	RGD:4888599			611186	MI0000466																			HGNC:31641
HGNC:31642	MIR9-2	microRNA 9-2	non-coding RNA	"RNA, micro"	Approved	5q14.3	05q14.3	hsa-mir-9-2		MIRN9-2				2004/4/23	2008/12/18		2019/1/24	407047	ENSG00000284447		uc021ybf.1		NR_030741				MGI:3619442				611187	MI0000467																			HGNC:31642
HGNC:31646	MIR9-3	microRNA 9-3	non-coding RNA	"RNA, micro"	Approved	15q26.1	15q26.1	hsa-mir-9-3		MIRN9-3				2004/4/23	2008/12/18		2019/1/24	407051	ENSG00000284329		uc002bnu.3		NR_029692				MGI:3619443	RGD:2325463			611188	MI0000468																			HGNC:31646
HGNC:31497	MIR10A	microRNA 10a	non-coding RNA	"RNA, micro"	Approved	17q21.32	17q21.32	hsa-mir-10a		MIRN10A				2004/4/23	2008/12/18		2019/1/24	406902	ENSG00000284038		uc002inq.3		NR_029608				MGI:3619064	RGD:2325601			610173	MI0000266																			HGNC:31497
HGNC:31498	MIR10B	microRNA 10b	non-coding RNA	"RNA, micro"	Approved	2q31.1	02q31.1	hsa-mir-10b		MIRN10B				2004/4/23	2008/12/18		2019/1/24	406903	ENSG00000207744		uc010zey.2		NR_029609				MGI:2676804	RGD:2325397			611576	MI0000267																			HGNC:31498
HGNC:31543	MIR15A	microRNA 15a	non-coding RNA	"RNA, micro"	Approved	13q14.2	13q14.2	hsa-mir-15a		MIRN15A				2004/4/23	2008/12/18		2019/1/24	406948	ENSG00000283785		uc058xbg.1		NR_029485				MGI:2676841				609703	MI0000069																			HGNC:31543
HGNC:31544	MIR15B	microRNA 15b	non-coding RNA	"RNA, micro"	Approved	3q25.33	03q25.33	hsa-mir-15b		MIRN15B				2004/4/23	2008/12/18		2011/9/12	406949	ENSG00000207779		uc011boz.1		NR_029663					RGD:7488977				MI0000438																			HGNC:31544
HGNC:31545	MIR16-1	microRNA 16-1	non-coding RNA	"RNA, micro"	Approved	13q14.2	13q14.2	hsa-mir-16-1		MIRN16-1				2004/4/23	2008/12/18		2019/1/24	406950	ENSG00000208006		uc001vea.2		NR_029486				MGI:2676843				609704	MI0000070																			HGNC:31545
HGNC:31546	MIR16-2	microRNA 16-2	non-coding RNA	"RNA, micro"	Approved	3q25.33	03q25.33	hsa-mir-16-2		MIRN16-2				2004/4/23	2008/12/18		2019/1/24	406951	ENSG00000198987		uc003fdk.3		NR_029525				MGI:3618690	RGD:7488974				MI0000115																			HGNC:31546
HGNC:31547	MIR17	microRNA 17	non-coding RNA	"RNA, micro"	Approved	13q31.3	13q31.3	hsa-mir-17		MIRN17				2004/4/23	2008/12/18		2019/1/24	406952	ENSG00000284536		uc058xst.1		NR_029487				MGI:3619065	RGD:2325600			609416	MI0000071																			HGNC:31547
HGNC:31548	MIR18A	microRNA 18a	non-coding RNA	"RNA, micro"	Approved	13q31.3	13q31.3	hsa-mir-18a		MIRN18|MIRN18A	microRNA 18			2004/4/23	2008/12/18	2005/6/30	2019/1/24	406953	ENSG00000283815		uc058xsu.1		NR_029488				MGI:2676844	RGD:2325396			609417	MI0000072																			HGNC:31548
HGNC:32025	MIR18B	microRNA 18b	non-coding RNA	"RNA, micro"	Approved	Xq26.2	Xq26.2	hsa-mir-18b		MIRN18B				2005/6/30	2008/12/18		2019/1/24	574033	ENSG00000283931		uc022cee.2		NR_029949				MGI:3718454					MI0001518																			HGNC:32025
HGNC:31574	MIR19A	microRNA 19a	non-coding RNA	"RNA, micro"	Approved	13q31.3	13q31.3	hsa-mir-19a		MIRN19A				2004/4/23	2008/12/18		2019/1/24	406979	ENSG00000284204		uc058xsv.1		NR_029489				MGI:3618743	RGD:2325462			609418	MI0000073																			HGNC:31574
HGNC:31575	MIR19B1	microRNA 19b-1	non-coding RNA	"RNA, micro"	Approved	13q31.3	13q31.3	hsa-mir-19b-1		MIRN19B1				2004/4/23	2008/12/18		2019/1/24	406980	ENSG00000284375		uc058xsx.1		NR_029490				MGI:3629917	RGD:2325433			609419	MI0000074																			HGNC:31575
HGNC:31576	MIR19B2	microRNA 19b-2	non-coding RNA	"RNA, micro"	Approved	Xq26.2	Xq26.2	hsa-mir-19b-2		MIRN19B2				2004/4/23	2008/12/18		2019/1/24	406981	ENSG00000284107		uc011mvi.2		NR_029491				MGI:2676868	RGD:2325599			300722	MI0000075																			HGNC:31576
HGNC:31577	MIR20A	microRNA 20a	non-coding RNA	"RNA, micro"	Approved	13q31.3	13q31.3	hsa-mir-20a		MIRN20|MIRN20A	microRNA 20			2004/4/23	2008/12/18	2005/6/30	2019/1/24	406982	ENSG00000283762		uc058xsw.1		NR_029492				MGI:2676872	RGD:2325401			609420	MI0000076																			HGNC:31577
HGNC:32024	MIR20B	microRNA 20b	non-coding RNA	"RNA, micro"	Approved	Xq26.2	Xq26.2	hsa-mir-20b		MIRN20B				2005/6/30	2008/12/18		2019/1/24	574032	ENSG00000284043		uc022ced.1		NR_029950				MGI:3618748	RGD:2325420			300950	MI0001519																			HGNC:32024
HGNC:31586	MIR21	microRNA 21	non-coding RNA	"RNA, micro"	Approved	17q23.1	17q23.1	hsa-mir-21		MIRN21				2004/4/23	2008/12/18		2018/8/17	406991	ENSG00000284190		uc002ixv.3		NR_029493					RGD:2325598			611020	MI0000077																			HGNC:31586
HGNC:31599	MIR22	microRNA 22	non-coding RNA	"RNA, micro"	Approved	17p13.3	17p13.3	hsa-mir-22		MIRN22				2004/4/23	2008/12/18		2019/1/24	407004	ENSG00000283824		uc032gnj.2		NR_029494			20180843	MGI:2676896	RGD:2325597			612077	MI0000078																			HGNC:31599
HGNC:31605	MIR23A	microRNA 23a	non-coding RNA	"RNA, micro"	Approved	19p13.12	19p13.12	hsa-mir-23a		MIRN23A				2004/4/23	2008/12/18		2019/1/24	407010	ENSG00000207980		uc060ujx.1		NR_029495				MGI:2676897	RGD:2325395			607962	MI0000079																			HGNC:31605
HGNC:31606	MIR23B	microRNA 23b	non-coding RNA	"RNA, micro"	Approved	9q22.32	09q22.32	hsa-mir-23b		MIRN23B				2004/4/23	2008/12/18		2019/1/24	407011	ENSG00000207563		uc004avg.5		NR_029664				MGI:2676898	RGD:2325596			610723	MI0000439																			HGNC:31606
HGNC:38913	MIR23C	microRNA 23c	non-coding RNA	"RNA, micro"	Approved	Xp22.12	Xp22.12	hsa-mir-23c						2010/9/15			2016/11/16	100500809	ENSG00000264566		uc022btr.2		NR_037414									MI0016010																			HGNC:38913
HGNC:31607	MIR24-1	microRNA 24-1	non-coding RNA	"RNA, micro"	Approved	9q22.32	09q22.32	hsa-mir-24-1		MIRN24-1				2004/4/23	2008/12/18		2019/1/24	407012	ENSG00000284459				NR_029496				MGI:2676899				609705	MI0000080																			HGNC:31607
HGNC:31608	MIR24-2	microRNA 24-2	non-coding RNA	"RNA, micro"	Approved	19p13.12	19p13.12	hsa-mir-24-2		MIRN24-2				2004/4/23	2008/12/18		2019/1/24	407013	ENSG00000284387		uc060ujv.1		NR_029497				MGI:3618755	RGD:2325349			610724	MI0000081																			HGNC:31608
HGNC:31609	MIR25	microRNA 25	non-coding RNA	"RNA, micro"	Approved	7q22.1	07q22.1	hsa-mir-25		MIRN25				2004/4/23	2008/12/18		2019/1/24	407014	ENSG00000207547		uc003usy.1		NR_029498				MGI:3619266	RGD:2325594			612150	MI0000082																			HGNC:31609
HGNC:31610	MIR26A1	microRNA 26a-1	non-coding RNA	"RNA, micro"	Approved	3p22.2	03p22.2	hsa-mir-26a-1		MIRN26A1				2004/4/23	2008/12/18		2019/1/24	407015	ENSG00000199075		uc011ayg.2		NR_029499				MGI:2676900	RGD:2325337			612151	MI0000083																			HGNC:31610
HGNC:31611	MIR26A2	microRNA 26a-2	non-coding RNA	"RNA, micro"	Approved	12q14.1	12q14.1	hsa-mir-26a-2		MIRN26A2				2004/4/23	2008/12/18		2019/1/24	407016	ENSG00000207789		uc001sqn.2		NR_029847				MGI:3619045				613057	MI0000750																			HGNC:31611
HGNC:31612	MIR26B	microRNA 26b	non-coding RNA	"RNA, micro"	Approved	2q35	02q35	hsa-mir-26b		MIRN26B				2004/4/23	2008/12/18		2019/1/24	407017	ENSG00000199121		uc010zkd.3		NR_029500			22215805	MGI:2676901	RGD:2325394			612152	MI0000084																			HGNC:31612
HGNC:31613	MIR27A	microRNA 27a	non-coding RNA	"RNA, micro"	Approved	19p13.12	19p13.12	hsa-mir-27a		MIRN27A				2004/4/23	2008/12/18		2019/1/24	407018	ENSG00000207808		uc060ujw.1		NR_029501				MGI:2676902	RGD:2325592			612153	MI0000085																			HGNC:31613
HGNC:31614	MIR27B	microRNA 27b	non-coding RNA	"RNA, micro"	Approved	9q22.32	09q22.32	hsa-mir-27b		MIRN27B				2004/4/23	2008/12/18		2019/1/24	407019	ENSG00000207864		uc064uma.1		NR_029665				MGI:2676903	RGD:2325593			610636	MI0000440																			HGNC:31614
HGNC:31615	MIR28	microRNA 28	non-coding RNA	"RNA, micro"	Approved	3q28	03q28	hsa-mir-28		MIRN28				2004/4/23	2008/12/18		2019/2/13	407020	ENSG00000207651		uc021xiq.1		NR_029502				MGI:3619267	RGD:2325461			612154	MI0000086																			HGNC:31615
HGNC:31616	MIR29A	microRNA 29a	non-coding RNA	"RNA, micro"	Approved	7q32.3	07q32.3	hsa-mir-29a		MIRN29|MIRN29A	microRNA 29			2004/4/23	2008/12/18	2004/7/22	2019/1/24	407021	ENSG00000284032		uc011kpj.3		NR_029503				MGI:2676904				610782	MI0000087																			HGNC:31616
HGNC:31619	MIR29B1	microRNA 29b-1	non-coding RNA	"RNA, micro"	Approved	7q32.3	07q32.3	hsa-mir-29b-1		MIRN29B1				2004/4/23	2008/12/18		2019/1/24	407024	ENSG00000283797		uc003vqm.1		NR_029517				MGI:2676905	RGD:2325591			610783	MI0000105																			HGNC:31619
HGNC:31620	MIR29B2	microRNA 29b-2	non-coding RNA	"RNA, micro"	Approved	1q32.2	01q32.2	hsa-mir-29b-2		MIRN29B2				2004/4/23	2008/12/18		2019/1/24	407025	ENSG00000284203		uc057pas.1		NR_029518				MGI:3619047	RGD:2314889				MI0000107																			HGNC:31620
HGNC:31621	MIR29C	microRNA 29c	non-coding RNA	"RNA, micro"	Approved	1q32.2	01q32.2	hsa-mir-29c		MIRN29C				2004/4/23	2008/12/18		2019/1/24	407026	ENSG00000284214		uc057par.1		NR_029832				MGI:2676906				610784	MI0000735																			HGNC:31621
HGNC:31624	MIR30A	microRNA 30a	non-coding RNA	"RNA, micro"	Approved	6q13	06q13	hsa-mir-30a		MIRN30A				2004/4/23	2008/12/18		2019/1/24	407029	ENSG00000207827		uc003pfy.1		NR_029504				MGI:2676907	RGD:2325588			612329	MI0000088																			HGNC:31624
HGNC:31625	MIR30B	microRNA 30b	non-coding RNA	"RNA, micro"	Approved	8q24.22	08q24.22	hsa-mir-30b		MIRN30B				2004/4/23	2008/12/18		2019/1/24	407030	ENSG00000207582		uc011ljk.2		NR_029666				MGI:2676908	RGD:2325392				MI0000441																			HGNC:31625
HGNC:31626	MIR30C1	microRNA 30c-1	non-coding RNA	"RNA, micro"	Approved	1p34.2	01p34.2	hsa-mir-30c-1		MIRN30C1				2004/4/23	2008/12/18		2019/1/24	407031	ENSG00000207962		uc001cgg.3		NR_029833				MGI:2676909	RGD:2325590			615151	MI0000736																			HGNC:31626
HGNC:31627	MIR30C2	microRNA 30c-2	non-coding RNA	"RNA, micro"	Approved	6q13	06q13	hsa-mir-30c-2		MIRN30C2				2004/4/23	2008/12/18		2019/1/24	407032	ENSG00000199094		uc011dya.3		NR_029598				MGI:3619048	RGD:2325587				MI0000254																			HGNC:31627
HGNC:31628	MIR30D	microRNA 30d	non-coding RNA	"RNA, micro"	Approved	8q24.22	08q24.22	hsa-mir-30d		MIRN30D				2004/4/23	2008/12/18		2019/1/24	407033	ENSG00000199153		uc011ljl.1		NR_029599				MGI:2676910	RGD:2325589				MI0000255																			HGNC:31628
HGNC:31629	MIR30E	microRNA 30e	non-coding RNA	"RNA, micro"	Approved	1p34.2	01p34.2	hsa-mir-30e		MIRN30E				2004/4/23	2008/12/18		2019/1/24	407034	ENSG00000198974		uc001cgf.3		NR_029846				MGI:3619329	RGD:2325460				MI0000749																			HGNC:31629
